m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements
0.05,0.05,42.82262322623226,42.81260158111498,2713163,63373
0.08,0.08,42.82262322623226,42.807891395644106,2629860,61434
0.3,0.6,42.82262322623226,42.78123801304181,1784491,41712
0.7,0.9,42.82262322623226,42.68652710681696,715725,16767
0.09,0.09,42.82262322623226,42.794330558389,2601125,60782
0.2,0.8,42.82262322623226,42.90895051213918,1889324,44031
0.3,0.8,42.82262322623226,42.87547521142059,1657866,38667
0.01,0.04,42.82262322623226,42.82021614360728,2805238,65512
0.03,0.06,42.82262322623226,42.84144441674975,2750078,64192
0.06,0.06,42.82262322623226,42.83800951195378,2684144,62658
0.2,0.3,42.82262322623226,42.82073874567141,2225822,51980
0.7,0.7,42.82262322623226,42.75972325179145,865243,20235
0.2,0.4,42.82262322623226,42.82221690494706,2147577,50151
0.3,0.7,42.82262322623226,42.79813134933386,1731484,40457
0.07,0.08,42.82262322623226,42.82722411278561,2642868,61710
0.03,0.05,42.82262322623226,42.83592559181261,2754093,64294
0.04,0.09,42.82262322623226,42.82254135956727,2707498,63226
0.05,0.07,42.82262322623226,42.811606178096994,2694220,62932
0.06,0.09,42.82262322623226,42.80791569463438,2660726,62155
0.05,0.08,42.82262322623226,42.82344327008786,2690340,62824
0.03,0.03,42.82262322623226,42.81895952686113,2772913,64759
0.5,0.9,42.82262322623226,42.944189828503845,1161898,27056
0.02,0.09,42.82262322623226,42.8040135238303,2747290,64183
0.2,0.9,42.82262322623226,42.855731505554246,1813226,42310
0.04,0.04,42.82262322623226,42.81648051237991,2740897,64015
0.02,0.04,42.82262322623226,42.84004983542006,2785203,65014
0.1,0.5,42.82262322623226,42.86662083828775,2307253,53824
0.4,0.6,42.82262322623226,42.78482871125612,1573626,36780
0.8,0.9,42.82262322623226,42.82248219735504,505134,11796
0.7,0.8,42.82262322623226,42.835965912175,789167,18423
0.1,0.7,42.82262322623226,42.87159971532501,2168617,50584
0.1,0.6,42.82262322623226,42.81658152038728,2237723,52263
0.04,0.08,42.82262322623226,42.82155429617819,2712617,63347
0.4,0.5,42.82262322623226,42.81589652654637,1641904,38348
0.6,0.6,42.82262322623226,42.87247890415106,1132991,26427
0.1,0.4,42.82262322623226,42.79994945939604,2371160,55401
0.6,0.7,42.82262322623226,42.85796545105566,1071792,25008
0.3,0.9,42.82262322623226,42.904113283884016,1590670,37075
0.1,0.2,42.82262322623226,42.81727960644313,2506652,58543
0.1,0.8,42.82262322623226,42.8734073832081,2099768,48976
0.3,0.5,42.82262322623226,42.797930670582026,1865519,43589
0.04,0.07,42.82262322623226,42.80907414121987,2715508,63433
0.04,0.05,42.82262322623226,42.82617743702081,2737021,63910
0.4,0.8,42.82262322623226,42.93532323561668,1448509,33737
0.3,0.4,42.82262322623226,42.863877704526345,1937533,45202
0.9,0.9,42.82262322623226,42.8997202179355,291332,6791
0.5,0.7,42.82262322623226,42.91172582457532,1298423,30258
0.1,0.3,42.82262322623226,42.804495924798,2431595,56807
0.06,0.08,42.82262322623226,42.80390176653522,2670193,62382
0.01,0.05,42.82262322623226,42.81285467366199,2798976,65377
0.05,0.06,42.82262322623226,42.86507057408697,2708901,63196
0.04,0.06,42.82262322623226,42.842771339407534,2731955,63767
0.01,0.06,42.82262322623226,42.821155909857424,2793224,65230
0.5,0.6,42.82262322623226,42.69888885391419,1356501,31769
