m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,42.822623226232274,0.0344852106533905,0.0365091399342052
0.1,0.8,42.822623226232274,0.0314110123313165,0.0334141581771302
0.1,0.7,42.822623226232274,0.0306310906017034,0.0336350842885237
0.1,0.6,42.822623226232274,0.0281014616761742,0.0297206683224148
0.1,0.5,42.822623226232274,0.02628878872104,0.0270626024630044
0.1,0.4,42.822623226232274,0.024870654332341,0.0271048261877645
0.1,0.3,42.822623226232274,0.0231248123915223,0.024912161777265
0.1,0.2,42.822623226232274,0.0197806530389886,0.0218809241162352
0.1,0.1,42.822623226232274,0.0187776051858546,0.0208124595356688
0.2,0.9,42.822623226232274,0.0436113771126975,0.0449441846202229
0.2,0.8,42.822623226232274,0.0375135541284399,0.0390201088325518
0.2,0.7,42.822623226232274,0.0365419062972305,0.0381453291124367
0.2,0.6,42.822623226232274,0.0318619828773188,0.0341824077593614
0.2,0.5,42.822623226232274,0.0334725613761889,0.0364907748643955
0.2,0.4,42.822623226232274,0.0298928231238927,0.0323300776684448
0.2,0.3,42.822623226232274,0.0292681241200691,0.0316204948727314
0.2,0.2,42.822623226232274,0.0277733824526732,0.0307671176593587
0.3,0.9,42.822623226232274,0.0452251596683006,0.0473086734007693
0.3,0.8,42.822623226232274,0.0433246852126054,0.0444508201489407
0.3,0.7,42.822623226232274,0.0406902675620449,0.0438823831921296
0.3,0.6,42.822623226232274,0.0396993944590861,0.0428701785957704
0.3,0.5,42.822623226232274,0.0394906465831456,0.0412038114557947
0.3,0.4,42.822623226232274,0.0370264369715996,0.0387788484720934
0.3,0.3,42.822623226232274,0.0344693871473663,0.0366521538576756
0.4,0.9,42.822623226232274,0.0549542625343261,0.0564801639514548
0.4,0.8,42.822623226232274,0.0534117073114127,0.0562580511404628
0.4,0.7,42.822623226232274,0.0508501100292758,0.0513717254559859
0.4,0.6,42.822623226232274,0.0508818027218765,0.0528142602447268
0.4,0.5,42.822623226232274,0.0429912574827266,0.0453568006398877
0.4,0.4,42.822623226232274,0.0435059486222298,0.0454842833470464
0.5,0.9,42.822623226232274,0.0644395339020846,0.0697050672731508
0.5,0.8,42.822623226232274,0.0620851299398856,0.0653638369345141
0.5,0.7,42.822623226232274,0.0575674163718792,0.0632689080944629
0.5,0.6,42.822623226232274,0.0543686706496739,0.0576384627198924
0.5,0.5,42.822623226232274,0.0525299297667566,0.0554114190304545
0.6,0.9,42.822623226232274,0.0755488240833679,0.079429070285637
0.6,0.8,42.822623226232274,0.0762531064333626,0.081201065445634
0.6,0.7,42.822623226232274,0.068696956328903,0.0723999465965253
0.6,0.6,42.822623226232274,0.0675200521616455,0.0711344699980715
0.7,0.9,42.822623226232274,0.0939586428510144,0.0984221808183821
0.7,0.8,42.822623226232274,0.0871085083152666,0.0938941080094283
0.7,0.7,42.822623226232274,0.0816441767114559,0.0855069621508696
0.8,0.9,42.822623226232274,0.1148000521474714,0.1217175875659096
0.8,0.8,42.822623226232274,0.1099258120040491,0.1149890917748383
0.9,0.9,42.822623226232274,0.1515020313219242,0.1800138292764887
0.01,0.09,42.822623226232274,0.0090083842045946,0.0126994785309849
0.01,0.08,42.822623226232274,0.0089056154376181,0.0129023990195794
0.01,0.0699999999999999,,,
0.01,0.06,42.822623226232274,0.0080150050837088,0.0121076749281605
0.01,0.05,42.822623226232274,0.0078069631933634,0.0114635298898622
0.01,0.04,42.822623226232274,0.0070393940962467,0.0110597429121183
0.01,0.03,42.822623226232274,0.0069047471421935,0.0114517190188686
0.01,0.02,42.822623226232274,0.0063178047949853,0.0107224881733017
0.01,0.01,42.822623226232274,0.0060867444637226,0.0100794113383987
0.02,0.09,42.822623226232274,0.0108363770627665,0.0136649690366005
0.02,0.08,42.822623226232274,0.0101660331167542,0.013357831289299
0.02,0.0699999999999999,,,
0.02,0.06,42.822623226232274,0.0096699738677391,0.0134204360333482
0.02,0.05,42.822623226232274,0.0096135899735504,0.0135969579655279
0.02,0.04,42.822623226232274,0.0087901704231238,0.0120034558134456
0.02,0.03,42.822623226232274,0.0083444711826277,0.0116686277357439
0.02,0.02,42.822623226232274,0.0078707341440401,0.0120874957901555
0.03,0.09,42.822623226232274,0.0119154467404703,0.0147308984339482
0.03,0.08,42.822623226232274,0.0114515645988491,0.014867248311845
0.03,0.0699999999999999,,,
0.03,0.06,42.822623226232274,0.0104601468202859,0.0132398600924337
0.03,0.05,42.822623226232274,0.0101736142554508,0.0134518043331466
0.03,0.04,42.822623226232274,0.0100638482709841,0.0132647285102868
0.03,0.03,42.822623226232274,0.0096334929721481,0.0125219121666332
0.04,0.09,42.822623226232274,0.0121158509924161,0.0145397203012975
