m,M,delta_suppression,epsilon_suppression,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,2.0250405006075078e-10,8.029507033393072,42.82262322623226,0.0003886823219429,0.0021722123532315
0.1,0.8,2.0250405006075078e-10,7.055250284336993,42.82262322623226,0.0004927530516858,0.0025253473807144
0.1,0.7,2.0250405006075078e-10,6.08177132813837,42.82262322623226,0.0005158608388648,0.0027867490956818
0.1,0.6,2.0250405006075078e-10,5.10760714011372,42.82262322623226,0.0006481317963229,0.0034677703060283
0.1,0.5,2.0250405006075078e-10,4.132792239318897,42.82262322623226,0.0008234653058273,0.0040923002123806
0.1,0.4,2.0250405006075078e-10,3.15735860038312,42.82262322623226,0.0011042987156301,0.0057232297759843
0.1,0.3,2.0250405006075078e-10,2.181335897592665,42.82262322623226,0.0014480038373014,0.0076609671550447
0.1,0.2,2.0250405006075078e-10,1.204751720390425,42.82262322623226,0.0027714673697695,0.0142399895026528
0.1,0.1,2.0250405006075078e-10,0.2276317642164649,42.82262322623226,0.0148161965485587,0.080610510507345
0.2,0.9,1.8000360005400076e-10,4.184423931697394,42.82262322623226,0.0008022191314007,0.0040599178764695
0.2,0.8,1.8000360005400076e-10,3.0573522448022388,42.82262322623226,0.0010526870747916,0.0057056636275941
0.2,0.7,1.8000360005400076e-10,2.5817713281383705,42.82262322623226,0.0013498796906029,0.0066411020168722
0.2,0.6,1.8000360005400076e-10,2.1076071401137213,42.82262322623226,0.0016517916739091,0.0080827594283448
0.2,0.5,1.8000360005400076e-10,1.632792239318899,42.82262322623226,0.0022211291236965,0.0109855369593193
0.2,0.4,1.8000360005400076e-10,1.1573586003831198,42.82262322623226,0.0027557334444655,0.0148064603012968
0.2,0.3,1.8000360005400076e-10,0.6813358975926657,42.82262322623226,0.0050822320256875,0.0257946280749881
0.2,0.2,1.8000360005400076e-10,0.2047517203904248,42.82262322623226,0.0176436319009542,0.0830477266256694
0.3,0.9,1.5750315004725067e-10,3.1680653810118526,42.82262322623226,0.0010502621275194,0.0051323236100294
0.3,0.8,1.5750315004725067e-10,1.831825639857176,42.82262322623226,0.0019406747229258,0.0091892186528045
0.3,0.7,1.5750315004725067e-10,1.4170752389268555,42.82262322623226,0.0024985676889717,0.0129171807589748
0.3,0.6,1.5750315004725067e-10,1.107607140113722,42.82262322623226,0.002783699253372,0.01589044631991
0.3,0.5,1.5750315004725067e-10,0.7994589059855651,42.82262322623226,0.0041286879574363,0.0218272874832522
0.3,0.4,1.5750315004725067e-10,0.4906919337164526,42.82262322623226,0.0068059444549518,0.0359154519498887
0.3,0.3,1.5750315004725067e-10,0.1813358975926657,42.82262322623226,0.0171182861934768,0.0933208518417788
0.4,0.9,1.3500270004050048e-10,2.594772667953173,42.82262322623226,0.001289418388938,0.0071704021355809
0.4,0.8,1.3500270004050048e-10,1.2587587916218517,42.82262322623226,0.0026554799372306,0.01449181620023
0.4,0.7,1.3500270004050048e-10,0.8614405358423055,42.82262322623226,0.0041895795850212,0.0196433587301343
0.4,0.6,1.3500270004050048e-10,0.608842815911888,42.82262322623226,0.0053214738772266,0.0272977934150952
0.4,0.5,1.3500270004050048e-10,0.3827922393188983,42.82262322623226,0.0089174310876532,0.0432657163685706
0.4,0.4,1.3500270004050048e-10,0.1573586003831194,42.82262322623226,0.0197859531294923,0.1112528139065333
0.5,0.9,1.1250225003375047e-10,2.0817713281383723,42.82262322623226,0.001595681591058,0.008842500735454
0.5,0.8,1.1250225003375047e-10,0.8877165533807067,42.82262322623226,0.0037849940737538,0.0198827976160682
0.5,0.7,1.1250225003375047e-10,0.5281196739639038,42.82262322623226,0.006536130659664,0.034581887063199
0.5,0.6,1.1250225003375047e-10,0.3136329875496595,42.82262322623226,0.0105742173282818,0.0557579823679117
0.5,0.5,1.1250225003375047e-10,0.1327922393188982,42.82262322623226,0.0249229415631689,0.1331284811180299
0.6,0.9,9.000180002700038e-11,1.5685987243816586,42.82262322623226,0.0019996188390056,0.0111869338314398
0.6,0.8,9.000180002700038e-11,0.5900686112809056,42.82262322623226,0.0054109276464239,0.0310072332464535
0.6,0.7,9.000180002700038e-11,0.2850142197159535,42.82262322623226,0.0119366231608794,0.0612903242293378
0.6,0.6,9.000180002700038e-11,0.1076071401137224,42.82262322623226,0.0305807319477346,0.1669853651469952
0.7,0.9,6.750135002025028e-11,1.0552502843369955,42.82262322623226,0.0031483682198541,0.0176354919595266
0.7,0.8,6.750135002025028e-11,0.3190579893061341,42.82262322623226,0.0105299526317618,0.0562902062209904
0.7,0.7,6.750135002025028e-11,0.08177132813837,42.82262322623226,0.046364708784192,0.2302644834452409
0.8,0.9,4.5000900013500165e-11,0.5417212500717896,42.82262322623226,0.0067244992857418,0.0351112550939342
0.8,0.8,4.5000900013500165e-11,0.0552502843369952,42.82262322623226,0.0619058528214985,0.3365870966390913
0.9,0.9,2.250045000675008e-11,0.02800666788532,42.82262322623226,0.126620329034742,0.684789896030545
0.01,0.09,2.2275445506682583e-10,8.229891237735247,42.82262322623226,0.0004173610911923,0.001980281258415
0.01,0.08,2.2275445506682583e-10,7.232145617540397,42.82262322623226,0.0004931282312398,0.002348886540192
0.01,0.07,2.2275445506682583e-10,6.234394926546605,42.82262322623226,0.000551517678065,0.0028714604045979
0.01,0.06,2.2275445506682583e-10,5.23663918751428,42.82262322623226,0.0006590312111072,0.0032628492243297
0.01,0.05,2.2275445506682583e-10,4.238878423050941,42.82262322623226,0.0008033161158239,0.0044324107686585
0.01,0.04,2.2275445506682583e-10,3.241112655612566,42.82262322623226,0.0010717667539513,0.0051588583969347
0.01,0.03,2.2275445506682583e-10,2.243341907504956,42.82262322623226,0.0016012826282737,0.0074861963613178
0.01,0.02,2.2275445506682583e-10,1.2455662008850723,42.82262322623226,0.0027025334451905,0.0139521914376875
0.01,0.01,2.2275445506682583e-10,0.2477855577623472,42.82262322623226,0.0142108273051092,0.0666155618680681
0.02,0.09,2.2050441006615078e-10,3.7298912377352456,42.82262322623226,0.0008833725534724,0.0044469434789986
0.02,0.08,2.2050441006615078e-10,3.232145617540396,42.82262322623226,0.0010541926108064,0.005329416690268
0.02,0.07,2.2050441006615078e-10,2.734394926546604,42.82262322623226,0.0011759490128931,0.0061872547003356
0.02,0.06,2.2050441006615078e-10,2.236639187514281,42.82262322623226,0.0015461617474202,0.0074850462425242
0.02,0.05,2.2050441006615078e-10,1.7388784230509404,42.82262322623226,0.0020224622697581,0.0100540862634465
0.02,0.04,2.2050441006615078e-10,1.2411126556125651,42.82262322623226,0.0026866358432357,0.0136363920905404
0.02,0.03,2.2050441006615078e-10,0.7433419075049564,42.82262322623226,0.0044218140257076,0.0236818952893276
0.02,0.02,2.2050441006615078e-10,0.2455662008850724,42.82262322623226,0.0131496316326959,0.0653764851079615
0.03,0.09,2.1825436506547587e-10,2.2298912377352464,42.82262322623226,0.001490603166909,0.0078644931467711
0.03,0.08,2.1825436506547587e-10,1.8988122842070636,42.82262322623226,0.001759762902407,0.0094911159942305
0.03,0.07,2.1825436506547587e-10,1.5677282598799365,42.82262322623226,0.0021858033134295,0.0113103986286303
0.03,0.06,2.1825436506547587e-10,1.2366391875142804,42.82262322623226,0.0027725741077213,0.0130830175262798
0.03,0.05,2.1825436506547587e-10,0.905545089717607,42.82262322623226,0.0037982579966619,0.0197287321159545
0.03,0.04,2.1825436506547587e-10,0.5744459889458984,42.82262322623226,0.0059133525498344,0.0297225415326152
0.03,0.03,2.1825436506547587e-10,0.2433419075049565,42.82262322623226,0.0134858942697944,0.0709971843122516
0.04,0.09,2.1600432006480083e-10,1.479891237735247,42.82262322623226,0.0023589516444105,0.0115228794597946
0.04,0.08,2.1600432006480083e-10,1.2321456175403964,42.82262322623226,0.0026508151526331,0.0140438434243932
0.04,0.07,2.1600432006480083e-10,0.9843949265466037,42.82262322623226,0.0037361521356852,0.0170962720668593
0.04,0.06,2.1600432006480083e-10,0.73663918751428,42.82262322623226,0.0044605560793351,0.0249668587303286
0.04,0.05,2.1600432006480083e-10,0.48887842305094,42.82262322623226,0.0069249810678687,0.0350277337296268
0.04,0.04,2.1600432006480083e-10,0.241112655612565,42.82262322623226,0.0148724820265365,0.0694991499840779
0.05,0.09,2.1375427506412579e-10,1.0298912377352465,42.82262322623226,0.003323898288269,0.0179921811977717
0.05,0.08,2.1375427506412579e-10,0.8321456175403962,42.82262322623226,0.0040097394819339,0.0203887878597348
0.05,0.07,2.1375427506412579e-10,0.6343949265466036,42.82262322623226,0.0052792623805154,0.0276506753455838
0.05,0.06,2.1375427506412579e-10,0.4366391875142801,42.82262322623226,0.0082353339545694,0.0375846639504926
0.05,0.05,2.1375427506412579e-10,0.2388784230509401,42.82262322623226,0.0136393011472108,0.0742244532055483
0.06,0.09,2.115042300634508e-10,0.7298912377352469,42.82262322623226,0.0046265268989816,0.0236359355753576
0.06,0.08,2.115042300634508e-10,0.5654789508737297,42.82262322623226,0.006063984304524,0.0306418707733834
0.06,0.07,2.115042300634508e-10,0.40106159321327,42.82262322623226,0.0086733059716773,0.0431412037034578
0.06,0.06,2.115042300634508e-10,0.2366391875142802,42.82262322623226,0.0135896995513142,0.0731131644298046
0.07,0.09,2.0925418506277583e-10,0.5156055234495325,42.82262322623226,0.0067711680554002,0.0335462629016027
0.07,0.08,2.0925418506277583e-10,0.3750027603975389,42.82262322623226,0.0096159041994956,0.0479425178396621
0.07,0.07,2.0925418506277583e-10,0.2343949265466034,42.82262322623226,0.0133224203594727,0.0754506034784716
0.08,0.09,2.0700414006210086e-10,0.354891237735247,42.82262322623226,0.0093706660284182,0.0506414985338601
0.08,0.08,2.0700414006210086e-10,0.2321456175403962,42.82262322623226,0.0152216129613167,0.0756329685841116
0.09,0.09,2.0475409506142587e-10,0.2298912377352469,42.82262322623226,0.0142685891326705,0.075658153462931
