m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,0.5,2.2500450006750092e-10,42.82262322623226,0.0067463002810117,0.0342103163444925
0.1,0.8,0.5,2.2500450006750092e-10,42.82262322623226,0.0070973325854473,0.0324977331470304
0.1,0.7,0.5,2.2500450006750092e-10,42.82262322623226,0.0067206851762715,0.0344869787099348
0.1,0.6,0.5,2.2500450006750092e-10,42.82262322623226,0.0067897235179749,0.035380558924039
0.1,0.5,0.5,2.2500450006750092e-10,42.82262322623226,0.0068352348286682,0.0359070198153048
0.1,0.4,0.5,2.2500450006750092e-10,42.82262322623226,0.0069335217012765,0.0351796300777061
0.1,0.3,0.5,2.2500450006750092e-10,42.82262322623226,0.0071771757201713,0.035943222018317
0.1,0.2,0.5,2.2500450006750092e-10,42.82262322623226,0.0059499818110833,0.0335500787036587
0.1,0.1,0.5,2.2500450006750092e-10,42.82262322623226,0.0064604048381853,0.033591655077859
0.2,0.9,0.5,2.2500450006750092e-10,42.82262322623226,0.0069981136179882,0.0360059783577271
0.2,0.8,0.5,2.2500450006750092e-10,42.82262322623226,0.0065847984207968,0.0359733781666938
0.2,0.7,0.5,2.2500450006750092e-10,42.82262322623226,0.0064685806812968,0.0333007186419859
0.2,0.6,0.5,2.2500450006750092e-10,42.82262322623226,0.0067884455728338,0.0341071410915053
0.2,0.5,0.5,2.2500450006750092e-10,42.82262322623226,0.0068567304762259,0.0350038428119299
0.2,0.4,0.5,2.2500450006750092e-10,42.82262322623226,0.0065736812057718,0.0361738214975213
0.2,0.3,0.5,2.2500450006750092e-10,42.82262322623226,0.0066965384879803,0.0338622001052332
0.2,0.2,0.5,2.2500450006750092e-10,42.82262322623226,0.0063291421299336,0.0367530720652478
0.3,0.9,0.5,2.2500450006750092e-10,42.82262322623226,0.0067808220906519,0.0320434784603769
0.3,0.8,0.5,2.2500450006750092e-10,42.82262322623226,0.006813754627332,0.0368674446734554
0.3,0.7,0.5,2.2500450006750092e-10,42.82262322623226,0.0063638546609696,0.0353445771060673
0.3,0.6,0.5,2.2500450006750092e-10,42.82262322623226,0.0068584700955789,0.0339282685846155
0.3,0.5,0.5,2.2500450006750092e-10,42.82262322623226,0.0065409421871925,0.0359262918814413
0.3,0.4,0.5,2.2500450006750092e-10,42.82262322623226,0.0067055591700945,0.0351004333080782
0.3,0.3,0.5,2.2500450006750092e-10,42.82262322623226,0.0068365652024852,0.0353060821042585
0.4,0.9,0.5,2.2500450006750092e-10,42.82262322623226,0.00645904022928,0.0339849479041286
0.4,0.8,0.5,2.2500450006750092e-10,42.82262322623226,0.0064827229898805,0.0354883207749532
0.4,0.7,0.5,2.2500450006750092e-10,42.82262322623226,0.0070593681617992,0.0339648967011562
0.4,0.6,0.5,2.2500450006750092e-10,42.82262322623226,0.006457169935877,0.0332727863579842
0.4,0.5,0.5,2.2500450006750092e-10,42.82262322623226,0.0065879156547344,0.0368646578455336
0.4,0.4,0.5,2.2500450006750092e-10,42.82262322623226,0.0070142864174839,0.035174644271719
0.5,0.9,0.5,2.2500450006750092e-10,42.82262322623226,0.0072996087669869,0.0351157815573731
0.5,0.8,0.5,2.2500450006750092e-10,42.82262322623226,0.0064376066398312,0.0341045250330116
0.5,0.7,0.5,2.2500450006750092e-10,42.82262322623226,0.0070013067973246,0.0357018314008594
0.5,0.6,0.5,2.2500450006750092e-10,42.82262322623226,0.0065773790425164,0.0345646010650506
