m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0333736362143626,0.0475695640178249
0.1,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.0341831698687876,0.0469972844414781
0.1,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.0307581282736229,0.0444632674566137
0.1,0.6,0.75,2.2500450006750092e-10,42.822623226232274,0.0284244263952211,0.0380128299924814
0.1,0.5,0.75,2.2500450006750092e-10,42.822623226232274,0.0282310223136863,0.0391964466155835
0.1,0.4,0.75,2.2500450006750092e-10,42.822623226232274,0.0244650144642392,0.0346593022355526
0.1,0.3,0.75,2.2500450006750092e-10,42.822623226232274,0.0227138540920978,0.0348117509064737
0.1,0.2,0.75,2.2500450006750092e-10,42.822623226232274,0.0193850482406715,0.0338701811455763
0.1,0.1,0.75,2.2500450006750092e-10,42.822623226232274,0.0186285251061407,0.0303751093523688
0.2,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0409155077468895,0.0545100517879028
0.2,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.0404406281172611,0.0527891368392448
0.2,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.0371421840580797,0.0489742659438452
0.2,0.6,0.75,2.2500450006750092e-10,42.822623226232274,0.0352322502191392,0.0452440020107292
0.2,0.5,0.75,2.2500450006750092e-10,42.822623226232274,0.0324829766151145,0.0462120467350279
0.2,0.4,0.75,2.2500450006750092e-10,42.822623226232274,0.029814581023184,0.0414559612642116
0.2,0.3,0.75,2.2500450006750092e-10,42.822623226232274,0.0286404783721127,0.0392932216657669
0.2,0.2,0.75,2.2500450006750092e-10,42.822623226232274,0.0270383264541065,0.0400657956505181
0.3,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0484752972822158,0.0687192241110716
0.3,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.0453978980353685,0.0582959065635832
0.3,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.0448482919097575,0.058315498337668
0.3,0.6,0.75,2.2500450006750092e-10,42.822623226232274,0.0408414789334154,0.0536565114087207
0.3,0.5,0.75,2.2500450006750092e-10,42.822623226232274,0.0417456704094247,0.0560061936387585
0.3,0.4,0.75,2.2500450006750092e-10,42.822623226232274,0.038871743949022,0.0525044614133074
0.3,0.3,0.75,2.2500450006750092e-10,42.822623226232274,0.0350850007055269,0.0460633550095639
0.4,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0549369367005527,0.0730020605396322
0.4,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.0538427233672498,0.0684430447046618
0.4,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.0521210598205116,0.0675213318726471
0.4,0.6,0.75,2.2500450006750092e-10,42.822623226232274,0.0490159511930702,0.0608931136050005
0.4,0.5,0.75,2.2500450006750092e-10,42.822623226232274,0.043052305287564,0.0604758399936545
0.4,0.4,0.75,2.2500450006750092e-10,42.822623226232274,0.0451135945020778,0.0572144104839104
0.5,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0671159968739201,0.0893935728398611
0.5,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.060148835677125,0.0841193147159386
0.5,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.0588616096434845,0.0822168330766487
0.5,0.6,0.75,2.2500450006750092e-10,42.822623226232274,0.0588537891460333,0.0732668557072518
0.5,0.5,0.75,2.2500450006750092e-10,42.822623226232274,0.0547161828865373,0.0709258478178459
0.6,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0781830439453903,0.1065064845597019
0.6,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.069056872600946,0.0857317337543975
0.6,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.068026684816543,0.0961268839981668
0.6,0.6,0.75,2.2500450006750092e-10,42.822623226232274,0.0668494116954451,0.088821987386905
0.7,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.0915639618542272,0.1348234285525066
0.7,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.0860284890071255,0.121344138778368
0.7,0.7,0.75,2.2500450006750092e-10,42.822623226232274,0.0859701965535236,0.1152674465459084
0.8,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.1169715252691664,0.162195458529245
0.8,0.8,0.75,2.2500450006750092e-10,42.822623226232274,0.1134796574961461,0.1563181325165238
0.9,0.9,0.75,2.2500450006750092e-10,42.822623226232274,0.1757064780084366,0.2816143120477217
0.01,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0108496790318183,0.0270490491114881
0.01,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.0102464523568942,0.0246124357483757
0.01,0.07,0.75,2.2500450006750092e-10,42.822623226232274,0.0092945993911368,0.0244420153582355
0.01,0.06,0.75,2.2500450006750092e-10,42.822623226232274,0.0092764157747364,0.0256813291216718
0.01,0.05,0.75,2.2500450006750092e-10,42.822623226232274,0.0089909261774726,0.0245114195936161
0.01,0.04,0.75,2.2500450006750092e-10,42.822623226232274,0.0087157205367026,0.0232540062007925
0.01,0.03,0.75,2.2500450006750092e-10,42.822623226232274,0.0080398778826905,0.0247655827622293
0.01,0.02,0.75,2.2500450006750092e-10,42.822623226232274,0.0077944064599813,0.0251570135443673
0.01,0.01,0.75,2.2500450006750092e-10,42.822623226232274,0.007292150373648,0.0234312254022434
0.02,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0112857123575004,0.0265342796251655
0.02,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.0116243199968244,0.0254347495935988
0.02,0.07,0.75,2.2500450006750092e-10,42.822623226232274,0.0106631706089244,0.0266775271669529
0.02,0.06,0.75,2.2500450006750092e-10,42.822623226232274,0.0109749765248194,0.0250894201925264
0.02,0.05,0.75,2.2500450006750092e-10,42.822623226232274,0.0103697597803229,0.0266876566334752
0.02,0.04,0.75,2.2500450006750092e-10,42.822623226232274,0.0101382894027332,0.0255974974019961
0.02,0.03,0.75,2.2500450006750092e-10,42.822623226232274,0.0094093683376481,0.0251034291482335
0.02,0.02,0.75,2.2500450006750092e-10,42.822623226232274,0.0093071544565485,0.0245302627884737
0.03,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0121021627203871,0.026549495581382
0.03,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.0126518593979415,0.0273586779923006
0.03,0.07,0.75,2.2500450006750092e-10,42.822623226232274,0.0119820967171393,0.0272017357074959
0.03,0.06,0.75,2.2500450006750092e-10,42.822623226232274,0.0116835658735546,0.0270112817974314
0.03,0.05,0.75,2.2500450006750092e-10,42.822623226232274,0.0111868511775318,0.0279495605202377
0.03,0.04,0.75,2.2500450006750092e-10,42.822623226232274,0.0108173665175301,0.0262551620590481
0.03,0.03,0.75,2.2500450006750092e-10,42.822623226232274,0.0110912969573734,0.024992305060084
0.04,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0132274007465453,0.028174621264277
0.04,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.01322550099126,0.0265855725736942
0.04,0.07,0.75,2.2500450006750092e-10,42.822623226232274,0.0129637915608259,0.0277487115088767
0.04,0.06,0.75,2.2500450006750092e-10,42.822623226232274,0.0121826464075938,0.0272392489162199
0.04,0.05,0.75,2.2500450006750092e-10,42.822623226232274,0.0118542867222528,0.0263582217644262
0.04,0.04,0.75,2.2500450006750092e-10,42.822623226232274,0.0122663907959592,0.0269844836918136
0.05,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0146304158699793,0.0273496741756975
0.05,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.0133809485807358,0.0280793365499645
0.05,0.07,0.75,2.2500450006750092e-10,42.822623226232274,0.0136816657040635,0.0271642351291953
0.05,0.06,0.75,2.2500450006750092e-10,42.822623226232274,0.0137302321248522,0.0273371542504276
0.05,0.05,0.75,2.2500450006750092e-10,42.822623226232274,0.0127762790544845,0.0276255950951582
0.06,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0150551728265188,0.0295912521330633
0.06,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.0150121360164311,0.0285284368180186
0.06,0.07,0.75,2.2500450006750092e-10,42.822623226232274,0.014354892938307,0.0268182632288811
0.06,0.06,0.75,2.2500450006750092e-10,42.822623226232274,0.0146850689360636,0.0290966388538251
0.07,0.09,0.75,2.2500450006750092e-10,42.822623226232274,0.0158035608658976,0.0286869177954047
0.07,0.08,0.75,2.2500450006750092e-10,42.822623226232274,0.0156186735490051,0.0280651913584608
