m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,,2.50005000075001e-10,42.822623226232274,,
0.1,0.8,,2.50005000075001e-10,42.822623226232274,,
0.1,0.7,,2.50005000075001e-10,42.822623226232274,,
0.1,0.6,,2.50005000075001e-10,42.822623226232274,,
0.1,0.5,,2.50005000075001e-10,42.822623226232274,,
0.1,0.4,,2.50005000075001e-10,42.822623226232274,,
0.1,0.3,,2.50005000075001e-10,42.822623226232274,,
0.1,0.2,,2.50005000075001e-10,42.822623226232274,,
0.1,0.1,0.806971777059995,2.50005000075001e-10,42.822623226232274,0.0195905121515383,0.0306391810208112
0.2,0.9,,2.8125562508437606e-10,42.822623226232274,,
0.2,0.8,,2.8125562508437606e-10,42.822623226232274,,
0.2,0.7,,2.8125562508437606e-10,42.822623226232274,,
0.2,0.6,,2.8125562508437606e-10,42.822623226232274,,
0.2,0.5,,2.8125562508437606e-10,42.822623226232274,,
0.2,0.4,,2.8125562508437606e-10,42.822623226232274,,
0.2,0.3,0.3405713879183368,2.8125562508437606e-10,42.822623226232274,0.0308312700381916,0.0725841352475176
0.2,0.2,0.8739050165931117,2.8125562508437606e-10,42.822623226232274,0.0274806943975357,0.0366523200604922
0.3,0.9,,3.214350000964298e-10,42.822623226232274,,
0.3,0.8,,3.214350000964298e-10,42.822623226232274,,
0.3,0.7,,3.214350000964298e-10,42.822623226232274,,
0.3,0.6,,3.214350000964298e-10,42.822623226232274,,
0.3,0.5,0.1602532415164581,3.214350000964298e-10,42.822623226232274,0.0537271630963279,0.1664677709407105
0.3,0.4,0.6213797386317867,3.214350000964298e-10,42.822623226232274,0.0391541896735758,0.0557573384117992
0.3,0.3,0.9538617353634998,3.214350000964298e-10,42.822623226232274,0.0351366517575867,0.0438349125389862
0.4,0.9,,3.750075001125015e-10,42.822623226232274,,
0.4,0.8,,3.750075001125015e-10,42.822623226232274,,
0.4,0.7,,3.750075001125015e-10,42.822623226232274,,
0.4,0.6,0.5266041229989408,3.750075001125015e-10,42.822623226232274,0.0506221341006455,0.0731646090133418
0.4,0.5,0.8305754872671981,3.750075001125015e-10,42.822623226232274,0.0430431010541013,0.0559877468546663
0.4,0.4,1.0514042110176187,3.750075001125015e-10,42.822623226232274,0.0448041577582209,0.0500039440493181
0.5,0.9,,4.5000900013500184e-10,42.822623226232274,,
0.5,0.8,,4.5000900013500184e-10,42.822623226232274,,
0.5,0.7,0.7193207640249707,4.5000900013500184e-10,42.822623226232274,0.0583064738438641,0.079509873697019
0.5,0.6,1.0087843406163954,4.5000900013500184e-10,42.822623226232274,0.0586022429514113,0.0685147725274981
0.5,0.5,1.1737197670118975,4.5000900013500184e-10,42.822623226232274,0.0551466703969643,0.0606880871150898
0.6,0.9,,5.62511250168752e-10,42.822623226232274,,
0.6,0.8,0.6583579414695853,5.62511250168752e-10,42.822623226232274,0.0684238752954254,0.0948045221558871
0.6,0.7,1.1673812931642664,5.62511250168752e-10,42.822623226232274,0.0677674643917613,0.0759940280211336
0.6,0.6,1.3330254357409743,5.62511250168752e-10,42.822623226232274,0.065015266406902,0.0712720900393469
0.7,0.9,,7.500150002250029e-10,42.822623226232274,,
0.7,0.8,1.2795120173702066,7.500150002250029e-10,42.822623226232274,0.084831368466334,0.0958339156524981
