m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,8.124460256902678,2.0250405006075078e-10,42.822623226232274,-0.0286183193851057,-0.0248989516293966,,,-0.0329739336282125,
0.1,0.8,7.20163387054215,2.0250405006075078e-10,42.822623226232274,-0.0299893726585579,-0.0222878474848591,,,-0.0337284672999039,
0.1,0.7,6.289006199146817,2.0250405006075078e-10,42.822623226232274,-0.0263114300186712,-0.0216971001112891,,,-0.0302067840055628,
0.1,0.6,5.369354225688749,2.0250405006075078e-10,42.822623226232274,-0.0236301919294335,-0.0152529583935362,,,-0.0277925710958793,
0.1,0.5,4.4437238255549545,2.0250405006075078e-10,42.822623226232274,-0.023606153302145,-0.0160678777669607,,,-0.0274203535522519,
0.1,0.4,3.5129433857049017,2.0250405006075078e-10,42.822623226232274,-0.0198918810851711,-0.0121929334263897,,,-0.0235361533316634,
0.1,0.3,2.57768021727734,2.0250405006075078e-10,42.822623226232274,-0.0181166603773111,-0.0101604514537639,,,-0.0214094640700639,
0.1,0.2,1.6384797862360887,2.0250405006075078e-10,42.822623226232274,-0.0148715111434129,-0.010772765605716,,,-0.0172907386050489,-0.0242267103219098
0.1,0.1,0.6957936829567963,2.0250405006075078e-10,42.822623226232274,-0.0139712880031126,-0.0053450847130783,-0.0149332750485102,-0.0056091563815207,-0.0136490960734616,-0.0038110234798897
0.2,0.9,4.401828373024444,1.8000360005400076e-10,42.822623226232274,-0.0365046064763525,-0.0321641689990734,,,-0.0401138404635039,
0.2,0.8,3.223680689207993,1.8000360005400076e-10,42.822623226232274,-0.036008716508851,-0.0305151465857843,,,-0.0392822692762833,
0.2,0.7,2.7890061991468182,1.8000360005400076e-10,42.822623226232274,-0.0322080679418992,-0.0257483931815366,,,-0.0358880846840797,
0.2,0.6,2.3693542256887485,1.8000360005400076e-10,42.822623226232274,-0.0306192102345752,-0.021824106351633,,,-0.0337890727565341,
0.2,0.5,1.9437238255549547,1.8000360005400076e-10,42.822623226232274,-0.027781973652258,-0.0237941665775637,,,-0.0307747828605776,-0.0374506217483015
0.2,0.4,1.512943385704903,1.8000360005400076e-10,42.822623226232274,-0.0255314577150416,-0.0188537031902197,,,-0.0275624077411327,-0.0292987463312663
0.2,0.3,1.07768021727734,1.8000360005400076e-10,42.822623226232274,-0.0238060540122923,-0.0172105156297918,-0.0259968456783712,-0.0505014292115425,-0.0253942982384066,-0.0230217523815223
0.2,0.2,0.6384797862360887,1.8000360005400076e-10,42.822623226232274,-0.0224690510913485,-0.0168843528737513,-0.0229114190347776,-0.0134708772837253,-0.0215195982048406,-0.012955405466649
0.3,0.9,3.4099494362087515,1.5750315004725067e-10,42.822623226232274,-0.0438923367558505,-0.0453769913254066,,,-0.0474631833713045,
0.3,0.8,2.045994587032702,1.5750315004725067e-10,42.822623226232274,-0.040745171936563,-0.0350572986605402,,,-0.043848339677268,
0.3,0.7,1.640458799262465,1.5750315004725067e-10,42.822623226232274,-0.0400333673702865,-0.0357625003827164,,,-0.0429914622325448,-0.0476451392313595
0.3,0.6,1.369354225688749,1.5750315004725067e-10,42.822623226232274,-0.0366980025645624,-0.0318956873631545,,,-0.0383015543728686,-0.041130951297199
0.3,0.5,1.110390492221622,1.5750315004725067e-10,42.822623226232274,-0.0372411626253062,-0.031161049042935,-0.0492226553122094,-0.1416226263448869,-0.0387305004763946,-0.040772566114193
0.3,0.4,0.8462767190382364,1.5750315004725067e-10,42.822623226232274,-0.0341540587458035,-0.0282501551023393,-0.0344365044703573,-0.0315030321008312,-0.0348922637159682,-0.0313648103166668
0.3,0.3,0.5776802172773403,1.5750315004725067e-10,42.822623226232274,-0.0306838686646601,-0.0226827667977701,-0.03073551971672,-0.0204543243271924,-0.0293713599163471,-0.015080786470631
0.4,0.9,2.829986971112398,1.3500270004050048e-10,42.822623226232274,-0.0505822508833887,-0.0496668989644462,,,-0.0536876776034681,
0.4,0.8,1.4835890505692233,1.3500270004050048e-10,42.822623226232274,-0.0489887079917668,-0.0448392424216112,,,-0.0517360505253972,-0.056716521014706
0.4,0.7,1.1012194973732938,1.3500270004050048e-10,42.822623226232274,-0.0477128125878002,-0.0457556174651437,,,-0.0489116232204204,-0.0510401397053943
0.4,0.6,0.8795437847470158,1.3500270004050048e-10,42.822623226232274,-0.044775804028021,-0.0394543572322702,-0.0463819869355962,-0.0517258526406115,-0.0449864081691101,-0.0401346580114482
0.4,0.5,0.6942122049418012,1.3500270004050048e-10,42.822623226232274,-0.0382135417586434,-0.0370087120481985,-0.0382043375251807,-0.0325206189092103,-0.037879118698548,-0.0353064071214477
0.4,0.4,0.5129433857049027,1.3500270004050048e-10,42.822623226232274,-0.0406100838768573,-0.0341174336511962,-0.0403006471330004,-0.0269069672166039,-0.0383494417794587,-0.0218165218734767
0.5,0.9,2.289006199146819,1.1250225003375047e-10,42.822623226232274,-0.0626861309431291,-0.0661909723817053,,,-0.0655819287768508,
0.5,0.8,1.106160025978658,1.1250225003375047e-10,42.822623226232274,-0.055412896344551,-0.061962638127865,,,-0.0571028185156574,-0.0670756053321257
0.5,0.7,0.7665765271043028,1.1250225003375047e-10,42.822623226232274,-0.0543255492274118,-0.0599722410657092,-0.0537704134277915,-0.0572652816860795,-0.0545142149455113,-0.0599755327243109
