m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,8.68108832519859,2.0250405006075078e-10,42.822623226232274,-0.0307074530050871,,,,-0.0320524824069642,
0.1,0.8,7.823214990557688,2.0250405006075078e-10,42.822623226232274,-0.0315151361209219,,,,-0.032853423513589,
0.1,0.7,7.07045861030067,2.0250405006075078e-10,42.822623226232274,-0.028730094858563,,,,-0.0299101902315745,
0.1,0.6,6.268530136416277,2.0250405006075078e-10,42.822623226232274,-0.0264119198764316,,,,-0.0275009523798301,
0.1,0.5,5.433780830483028,2.0250405006075078e-10,42.822623226232274,-0.0256421058316329,,,,-0.0266151955144654,
0.1,0.4,4.575557117651626,2.0250405006075078e-10,42.822623226232274,-0.0220807651406679,,,,-0.0230900521552531,
0.1,0.3,3.699706179357965,2.0250405006075078e-10,42.822623226232274,-0.0201321069448692,,-0.0240155775235582,,-0.0209595508462042,
0.1,0.2,2.810130496971241,2.0250405006075078e-10,42.822623226232274,-0.0171738480039868,,-0.0175758892206932,,-0.0176376111620134,
0.1,0.1,1.9095647993081504,2.0250405006075078e-10,42.822623226232274,-0.0164760329722284,,-0.0168669926951389,,-0.0163582411239819,
0.2,0.9,5.230080940978918,1.8000360005400076e-10,42.822623226232274,-0.0385599840950913,,,,-0.0396513712492518,
0.2,0.8,3.970459955123288,1.8000360005400076e-10,42.822623226232274,-0.0370807669378894,,,,-0.0379466301101939,
0.2,0.7,3.575836803801503,1.8000360005400076e-10,42.822623226232274,-0.0351231790007306,,,,-0.0358954889818637,
0.2,0.6,3.268530136416276,1.8000360005400076e-10,42.822623226232274,-0.0327598195720451,,-0.0620570107100621,,-0.0333563491412733,
0.2,0.5,2.933780830483028,1.8000360005400076e-10,42.822623226232274,-0.0308186631978671,,-0.0314115233291485,,-0.0314064455610026,
0.2,0.4,2.575557117651626,1.8000360005400076e-10,42.822623226232274,-0.0280253830539343,,-0.0278794354521816,,-0.0283507798245433,
0.2,0.3,2.1997061793579644,1.8000360005400076e-10,42.822623226232274,-0.0263376726770951,,-0.0260856371646465,,-0.0264607206171403,
0.2,0.2,1.810130496971241,1.8000360005400076e-10,42.822623226232274,-0.0251099420314121,,-0.0252937270852088,,-0.0251415625555859,
0.3,0.9,4.282067215305558,1.5750315004725067e-10,42.822623226232274,-0.0452556391951927,,,,-0.046154471377242,
0.3,0.8,2.877112002342761,1.5750315004725067e-10,42.822623226232274,-0.0427435930661881,,-0.0433986668039998,,-0.0432522464815711,
0.3,0.7,2.4985990964541287,1.5750315004725067e-10,42.822623226232274,-0.0425923980139727,,-0.0428238431357516,,-0.0429954501507628,
0.3,0.6,2.2850424732827324,1.5750315004725067e-10,42.822623226232274,-0.0385254601418614,,-0.0382542257798605,,-0.0387166800104303,
0.3,0.5,2.101049174760391,1.5750315004725067e-10,42.822623226232274,-0.0386634941430275,,-0.0385198105374416,,-0.0388307086279778,
0.3,0.4,1.9088904509849591,1.5750315004725067e-10,42.822623226232274,-0.0362025083456753,,-0.0363181521049775,,-0.0360901526305438,
0.3,0.3,1.699706179357965,1.5750315004725067e-10,42.822623226232274,-0.0327310395893311,,-0.0325857630032496,,-0.0324376975547259,
0.4,0.9,3.67439041890566,1.3500270004050048e-10,42.822623226232274,-0.0519592013324829,,,,-0.0526501852215188,
