average,total_sum,total_element,m,M,average_laplacian,average_gaussian
4.173761758095397,250697,60065,0.1,0.1,4.154696632728421,4.160273555590442
4.16189057761668,231938,55729,0.1,0.2,4.161841980693505,4.238719208682426
4.163975420163995,214807,51587,0.1,0.3,4.201059503096722,4.083510461411739
4.160186493955823,197197,47401,0.1,0.4,4.165759035622566,4.297092296886703
4.163436256602369,178932,42977,0.1,0.5,4.153390403240987,3.9600111198288235
4.151181345550008,161290,38854,0.1,0.6,4.123828158627435,3.963113873786331
4.155721016811122,142882,34382,0.1,0.7,4.1546678362527105,4.394966892597097
4.176950133131718,127067,30421,0.1,0.8,4.192124413384071,4.158785093544421
4.180404117422798,109652,26230,0.1,0.9,4.201834937745886,4.28114706671858
4.1655202144209325,222243,53353,0.2,0.2,4.2491425245450625,4.095705113380445
4.167878911011784,205143,49220,0.2,0.3,4.137783391964059,4.024183149193545
4.1680096426419055,186731,44801,0.2,0.4,4.146540669405388,4.153029186563749
4.162679895869148,169496,40718,0.2,0.5,4.146016030315795,4.367822812041775
4.162994265016601,151712,36443,0.2,0.6,4.156889493218672,4.17700272573857
4.1731833157207685,134268,32174,0.2,0.7,4.197584462027023,4.246040808300159
4.162124662017931,116989,28108,0.2,0.8,4.170960940893942,4.407913500862829
4.177845917976236,98100,23481,0.2,0.9,4.175652882262131,4.747973561503492
4.155039589129039,194165,46730,0.3,0.3,4.206832326294214,4.169649100373684
4.170912350221719,176830,42396,0.3,0.4,4.1661044994556775,4.129391017583566
4.160965847065551,160089,38474,0.3,0.5,4.184859343269457,4.061574491574569
4.180917745845899,141407,33822,0.3,0.6,4.177951974045293,3.9501934852709195
4.152393411827849,123787,29811,0.3,0.7,4.14746779830794,4.095071274147875
4.154844051890699,105371,25361,0.3,0.8,4.159712419790599,4.016977584062116
4.170883685800605,88356,21184,0.3,0.9,4.202091910989811,3.9681601505413813
4.165544346258793,166401,39947,0.4,0.4,4.144694622489244,4.180981137096652
4.160530689276358,147703,35501,0.4,0.5,4.113660264499129,4.096923747162295
4.15571264807031,130506,31404,0.4,0.6,4.143683231368602,4.4212368252922225
4.150203327171904,112263,27050,0.4,0.7,4.155940286617602,4.062340701534798
4.164112084970425,96445,23161,0.4,0.8,4.149832964306573,4.237520201916641
4.1569705944573725,78600,18908,0.4,0.9,4.065451928470184,3.861311959157195
4.163043803259082,139233,33445,0.5,0.5,4.254942224317607,4.225819540484768
4.178170690241415,122880,29410,0.5,0.6,4.181688625906388,3.8760282864780327
4.176085734928153,104043,24914,0.5,0.7,4.174876728874935,4.210924004387062
4.175879882199585,86495,20713,0.5,0.8,4.18780204131112,4.3842748697426615
4.178833240928972,67835,16233,0.5,0.9,4.210511750829377,4.12326085463921
4.194370986021911,111025,26470,0.6,0.6,4.194211854554728,4.000520626884137
4.159827794968384,92760,22299,0.6,0.7,4.117649152074059,3.9200822168002274
4.159779310344828,75396,18125,0.6,0.8,4.148586475035607,4.726327739789298
4.192061914228912,59041,14084,0.6,0.9,4.1518294698309335,3.975968059758368
4.157269004982488,84272,20271,0.7,0.7,4.210621653690993,4.4012066757890285
4.191721958925751,66334,15825,0.7,0.8,4.226122542194311,4.021805272040361
4.142671854734112,47910,11565,0.7,0.9,4.1510449886037115,3.480702114876076
4.183214603739982,56373,13476,0.8,0.8,4.243768621428824,4.147164610890597
4.209190371991247,38472,9140,0.8,0.9,4.238477570990779,4.774515835779959
4.11581359816654,26938,6545,0.9,0.9,4.233953932760181,4.027042459970709
4.16591898337308,249801,59963,0.1,0.1,4.173661269168212,4.153345574691593
4.1693416781737,232495,55763,0.1,0.2,4.124239830610737,4.095056538264266
4.162009875108916,214947,51645,0.1,0.3,4.18570567084787,4.040219521631382
4.168302619635657,197465,47373,0.1,0.4,4.190151356382814,4.266472028445637
4.153785360637828,178700,43021,0.1,0.5,4.181312530041833,4.029085270547725
4.166795845605333,161280,38706,0.1,0.6,4.162071596629499,4.075268847704969
4.160890587451866,143713,34539,0.1,0.7,4.179471517971068,4.176854379475907
4.181593677971683,126995,30370,0.1,0.8,4.1932440620134726,4.012050753156482
4.17047067398059,108720,26069,0.1,0.9,4.143823012397044,3.7261469517979378
4.165133308298911,221835,53260,0.2,0.2,4.166330366055594,4.2397415134381395
4.166381731591159,204711,49134,0.2,0.3,4.161041339027012,4.0999955592954365
4.181410799482767,187553,44854,0.2,0.4,4.184842480061495,4.459552519817156
4.185737935805886,169401,40471,0.2,0.5,4.160382656718269,4.211423156098951
4.162081866197183,151300,36352,0.2,0.6,4.170467420208307,4.154143034513643
4.165777557223497,134313,32242,0.2,0.7,4.11619882083401,4.199710541294239
4.1546285061737205,116421,28022,0.2,0.8,4.175108805543829,4.395858620010435
4.189009123700403,98714,23565,0.2,0.9,4.147942158919528,3.9484431472198915
4.165455441936245,194306,46647,0.3,0.3,4.197802854969055,4.194763480806406
4.171587324009983,177184,42474,0.3,0.4,4.169146168873112,4.1590360441906915
4.169041653617287,159741,38316,0.3,0.5,4.157361422083499,4.3184494450442
4.188705193855157,143149,34175,0.3,0.6,4.200612156249356,4.242589824583875
4.158271206931292,123825,29778,0.3,0.7,4.135532314911208,4.3181653430512545
4.186349331235248,106417,25420,0.3,0.8,4.160485850421624,4.428703307628134
4.138685784825753,87169,21062,0.3,0.9,4.1779295419519,4.628508236413034
4.166171143035602,166751,40025,0.4,0.4,4.128776336468013,4.055058710925292
4.176617536847364,150471,36027,0.4,0.5,4.181411501894975,4.3205794693885435
4.159681831043481,132307,31807,0.4,0.6,4.162948510946156,4.438758175870884
4.158349187765257,113656,27332,0.4,0.7,4.158324216512566,4.393787855967908
4.156810113429734,96014,23098,0.4,0.8,4.161307076333476,4.228954144306382
4.159733165248451,79193,19038,0.4,0.9,4.133225624793542,4.1721244353413525
4.146165368484122,138399,33380,0.5,0.5,4.139015328662034,4.001716245401764
4.158731250860052,120886,29068,0.5,0.6,4.1441217424101024,4.079804284549651
4.1846,104615,25000,0.5,0.7,4.112324577004845,4.155591200661131
4.162727624951569,85952,20648,0.5,0.8,4.146840487718078,4.565781615307508
4.1889151945607965,69004,16473,0.5,0.9,4.151206236738502,3.9811093763151115
4.139553219448095,110257,26635,0.6,0.6,4.151750735786011,3.9448138689788763
4.172907977637768,94049,22538,0.6,0.7,4.279499331721113,4.204720699401431
4.18939100613972,75740,18079,0.6,0.8,4.265459287041789,3.9314734094662125
4.16625026768506,58365,14009,0.6,0.9,4.212078040800088,3.8219195325605635
4.164711754429748,83440,20035,0.7,0.7,4.181463363492831,4.423806553380899
4.145528558707544,65176,15722,0.7,0.8,4.270517352892975,4.196630805116881
4.187973196414585,48124,11491,0.7,0.9,4.203053991908988,4.268231601522226
4.103621504086377,54730,13337,0.8,0.8,4.324668473565518,4.90862712999167
4.170423608842426,38297,9183,0.8,0.9,4.560546693541165,4.261009788239593
4.194076969332532,27899,6652,0.9,0.9,4.216947344208081,4.237355818110938
4.168314520566217,250003,59977,0.1,0.1,4.1626683127962165,4.272947480880336
4.169001218026796,232747,55828,0.1,0.2,4.169849648356539,4.3573924886146385
4.161574083044313,214783,51611,0.1,0.3,4.1701721321573135,3.8256056479312357
4.177552394579581,198534,47524,0.1,0.4,4.190611717120134,4.177069728785323
4.1846683412410455,179924,42996,0.1,0.5,4.182564437864575,4.02684248739039
4.165362159957168,163378,39223,0.1,0.6,4.145183432262296,4.161623987359474
4.165867799431704,145143,34841,0.1,0.7,4.173679998497551,4.015758303764931
4.177747490193471,125675,30082,0.1,0.8,4.1993417434637585,4.077676159914349
4.174068245499559,108747,26053,0.1,0.9,4.164661274174723,4.380310919327322
4.165723418257027,221554,53185,0.2,0.2,4.1716604836304425,4.3897878248098365
4.171553146838899,204744,49081,0.2,0.3,4.1799073053279505,4.134981201312487
4.164842269535169,186814,44855,0.2,0.4,4.216687203740621,4.130499550599193
4.168460802824845,169994,40781,0.2,0.5,4.159617599975076,4.103525558882869
4.170178817056396,151586,36350,0.2,0.6,4.159518812750064,4.133443753840013
4.186979231438876,134670,32164,0.2,0.7,4.144723165717931,4.408811056474066
4.160761672523847,116027,27886,0.2,0.8,4.134354843161956,3.9208210976269005
4.146251431965718,97723,23569,0.2,0.9,4.116400065208881,4.300497920565767
4.16038468173193,192942,46376,0.3,0.3,4.171897745001675,3.927021647962077
4.150903444381705,176430,42504,0.3,0.4,4.144754319979019,3.9896462093546745
4.1671900350656825,159245,38214,0.3,0.5,4.161935571264625,3.8918827410510306
4.157216039568981,141204,33966,0.3,0.6,4.178559403587523,4.284480000884023
4.152991107518189,123294,29688,0.3,0.7,4.158667179583383,3.801537810975553
4.184381778741866,106095,25355,0.3,0.8,4.173110784315837,4.323184930574974
4.16814818262205,89561,21487,0.3,0.9,4.186508531439036,3.924555828369642
4.17717912834866,167154,40016,0.4,0.4,4.121263458861961,4.510361031014912
4.176240828055687,149689,35843,0.4,0.5,4.204973758162817,3.965723274983644
4.147530082330589,130979,31580,0.4,0.6,4.1754495144125565,4.109477544150214
4.180540856173132,114551,27401,0.4,0.7,4.151748959585807,3.918373199688498
4.19177545691906,96327,22980,0.4,0.8,4.251309326749741,3.967220391928005
4.163295800202786,78016,18739,0.4,0.9,4.14528513623852,4.514476805871406
4.165260070629078,139178,33414,0.5,0.5,4.1737279897265465,4.132705347029215
4.134406937132239,120150,29061,0.5,0.6,4.018809464434513,4.355606544220454
4.1474704856180775,102231,24649,0.5,0.7,3.949251566006476,3.843817492721887
4.154848188050931,84842,20420,0.5,0.8,4.156473448016566,3.591496393348984
4.188640848544647,67923,16216,0.5,0.9,4.078185917361606,4.93125794287532
4.154486413854882,111307,26792,0.6,0.6,4.106981983128316,4.085844748499611
4.176564793807554,93885,22479,0.6,0.7,4.236497382011128,4.045416005203856
4.166051660516605,75643,18157,0.6,0.8,4.189819131148234,4.181778338672796
4.141179839633448,57844,13968,0.6,0.9,4.116769073098602,4.271303900448486
4.1654669066186765,83326,20004,0.7,0.7,4.162769723661546,4.211752922694577
4.164904728745965,65793,15797,0.7,0.8,4.145795134937829,4.869243278753983
4.165922814386978,47604,11427,0.7,0.9,4.154915234712958,4.340643925613364
4.177479772250525,55761,13348,0.8,0.8,4.105020836370492,4.913774217354693
4.12749835273446,37585,9106,0.8,0.9,4.1516462255993085,4.260593226481456
4.120011780297452,27979,6791,0.9,0.9,3.870460379820423,5.0407007912602175
4.165621978461641,249879,59986,0.1,0.1,4.162377436038554,4.016943609590999
4.17274743355868,233315,55914,0.1,0.2,4.176782385392924,4.017201360348755
4.167988674049221,214914,51563,0.1,0.3,4.151163506702609,4.245929697625427
4.161556054381433,196517,47222,0.1,0.4,4.153484495923899,4.319558671602529
4.154541009941099,178450,42953,0.1,0.5,4.146070222672446,4.043381749415277
4.158961400613671,161297,38783,0.1,0.6,4.201626723441972,4.051960077621635
4.182789488882472,144850,34630,0.1,0.7,4.172520578717304,4.2204599404997065
4.171472878447935,126429,30308,0.1,0.8,4.2509556039472125,4.252848640840378
4.160093608532187,108437,26066,0.1,0.9,4.145557019668527,4.267903943723719
4.169137139230108,223324,53566,0.2,0.2,4.180052129888231,4.0542464111621666
4.1634856293157885,204398,49093,0.2,0.3,4.186073076197708,4.078071799678377
4.17206676485027,186967,44814,0.2,0.4,4.163711252837261,4.273353364572231
4.174771886559803,169287,40550,0.2,0.5,4.2041617426463045,4.146246267784335
4.166817595565434,151843,36441,0.2,0.6,4.150665777887067,4.206910304161987
4.18038605230386,134274,32120,0.2,0.7,4.184129953622873,4.091218647393069
4.177336381823378,116932,27992,0.2,0.8,4.166003085356339,4.1030496985769975
4.177095582059466,99465,23812,0.2,0.9,4.153393104917259,4.1955697367768545
4.173826451944492,194901,46696,0.3,0.3,4.166800718262546,4.087007994747263
4.175752683065818,175866,42116,0.3,0.4,4.157264447145395,4.025941150253782
4.181186951395257,159575,38165,0.3,0.5,4.147203251239978,4.169693715126812
4.170372995481528,141213,33861,0.3,0.6,4.14345360128051,4.084663762673375
4.165626564325046,124823,29965,0.3,0.7,4.076018949646347,4.2159585087377724
4.167404852428174,106323,25513,0.3,0.8,4.151202117560534,4.263050762302563
4.155183027892219,87745,21117,0.3,0.9,4.245945284719088,4.565971582180067
4.16395279354646,167241,40164,0.4,0.4,4.1693623089033105,4.309401067373243
4.171394102628847,148681,35643,0.4,0.5,4.155149072034669,3.8003550274848306
4.1569787901084485,129943,31259,0.4,0.6,4.203949594626499,4.479639014332361
4.171098350462676,114042,27341,0.4,0.7,4.160881284068204,4.146468349197906
4.169723574408901,95937,23008,0.4,0.8,4.217893635325365,4.060430666341933
4.168838768019575,78370,18799,0.4,0.9,4.1879720480100096,4.248427740481611
4.177317677989902,139819,33471,0.5,0.5,4.17167477810014,4.177651770888895
4.161687413554634,120356,28920,0.5,0.6,4.126506873576675,4.156189101555526
4.1750511083497015,104155,24947,0.5,0.7,4.161343179344951,4.182641310014649
4.156998403406067,85921,20669,0.5,0.8,4.20028746923762,4.223166990668469
4.170247435123717,69101,16570,0.5,0.9,4.0577913437450555,5.219193416602163
4.1572928383952,110875,26670,0.6,0.6,4.0795411060628535,3.889391402279965
4.167022317062328,93733,22494,0.6,0.7,4.10661050378653,4.475388888179862
4.130337812109014,75928,18383,0.6,0.8,4.139063237607661,4.391303499165474
4.168538506417736,57159,13712,0.6,0.9,4.563615575433592,4.781530881939647
4.137300564859776,83499,20182,0.7,0.7,4.174318985735719,4.117027522364822
4.180467360934722,65834,15748,0.7,0.8,4.144711951707211,3.7828611219586334
4.133199230365577,47259,11434,0.7,0.9,4.275705846240597,3.895382033731714
4.139043047847608,55190,13334,0.8,0.8,4.2464130931396,3.9506834097629264
4.207208200154304,38172,9073,0.8,0.9,4.463278372180684,4.1602571061070135
4.125615396091303,27654,6703,0.9,0.9,4.241519846367547,4.748399101319904
4.166999800119928,250170,60036,0.1,0.1,4.149633427842853,4.130098118130245
4.169189878418907,232153,55683,0.1,0.2,4.169556670918233,4.039034197803462
4.166401767715925,214953,51592,0.1,0.3,4.218351476937473,4.083821797297065
4.160109498344792,196041,47124,0.1,0.4,4.148543137291585,4.046672538815338
4.160523435862808,178682,42947,0.1,0.5,4.155215852316158,4.002971698557173
4.166174336650083,160781,38592,0.1,0.6,4.169868284288825,4.067041491414752
4.16252489393021,144219,34647,0.1,0.7,4.121286519555465,4.24940242625172
4.171843193906363,127066,30458,0.1,0.8,4.16739845877001,4.633080704703126
4.164864968104205,109032,26179,0.1,0.9,4.173193756701446,4.0401772740670925
4.163865074313953,222442,53422,0.2,0.2,4.161180943483715,4.24889575046786
4.16569288084526,204623,49121,0.2,0.3,4.11997415950681,4.316414571573479
4.182434693376759,187486,44827,0.2,0.4,4.163910402961216,4.263587147293554
4.161996066863323,169310,40680,0.2,0.5,4.162585665242126,4.10132536683387
4.173852459016393,152763,36600,0.2,0.6,4.192858802651826,4.074202968870542
4.162709128720862,134110,32217,0.2,0.7,4.039884344129712,4.396382303636116
4.191515974555071,117287,27982,0.2,0.8,4.184691364225339,4.327273398402917
4.15710733701378,98644,23729,0.2,0.9,4.17746673342925,3.884897177219921
4.165932891643513,194924,46790,0.3,0.3,4.187518357337094,4.188092511987681
4.174217259170259,177183,42447,0.3,0.4,4.189212655641612,4.031371793982237
4.155652491902623,159095,38284,0.3,0.5,4.169266214980937,4.29147206206482
4.165807509811962,142229,34142,0.3,0.6,4.141580767336145,4.145455472613976
4.183436950939316,123813,29596,0.3,0.7,4.167142415359201,4.387519049815602
4.148240312833274,105021,25317,0.3,0.8,4.177643155685339,4.031400795248192
4.1501099620981705,88692,21371,0.3,0.9,4.11209186420997,4.116925813428985
4.156526949097536,166498,40057,0.4,0.4,4.167904111001402,4.181603478004627
4.160950384346611,148858,35775,0.4,0.5,4.132089509388063,4.309552908452551
