average,total_sum,total_element,m,M,average_laplacian,average_gaussian
42.8219705171983,2570817,60035,0.1,0.1,42.69528139606541,41.70002686585671
42.79978225367447,2358696,55110,0.1,0.2,43.02108322090805,41.897850964304254
42.8070157885258,2139195,49973,0.1,0.3,43.25986890811179,43.33159572235404
42.78279254017003,1922402,44934,0.1,0.4,43.46647495482039,42.66536181369141
42.7807896582824,1707638,39916,0.1,0.5,41.60346706104953,43.19009579520802
42.89990315045861,1506044,35106,0.1,0.6,42.89150725219426,40.65154922357426
42.88023310335589,1280318,29858,0.1,0.7,43.15056871633064,41.426496866229435
42.86167365688037,1073042,25035,0.1,0.8,42.992124511883056,39.80925042879446
42.759030726954784,855822,20015,0.1,0.9,43.83372626254538,47.182225117439195
42.824345839030514,2286349,53389,0.2,0.2,43.429214819780235,43.07235129108645
42.84267777225261,2067759,48264,0.2,0.3,42.74338004661794,43.31271840546985
42.86720331186753,1863866,43480,0.2,0.4,42.969177687202674,40.939182133942246
42.807691300133605,1634098,38173,0.2,0.5,43.09081856158787,44.747149094438704
42.8003008423586,1422682,33240,0.2,0.6,42.8034706156662,41.93810824251926
42.84630625530711,1211008,28264,0.2,0.7,42.772323902573,43.051649446946065
42.714088695427314,991095,23203,0.2,0.8,43.47882685224851,41.43458108037234
42.80538922155689,786335,18370,0.2,0.9,43.733371703434116,43.085543424716484
42.85499231294841,2006985,46832,0.3,0.3,42.693775290297296,43.401560182828845
42.80977739397429,1784654,41688,0.3,0.4,42.78248624421614,41.99101324991294
42.84300939751774,1563727,36499,0.3,0.5,42.53126594090269,41.2853569109748
42.74321345342319,1357268,31754,0.3,0.6,42.298857569589075,41.857830263345335
42.77500187842813,1138585,26618,0.3,0.7,42.88840615481565,43.61902802517838
42.87264150943396,936167,21836,0.3,0.8,43.10900584360219,40.82139206936836
42.8587148154903,704983,16449,0.3,0.9,42.04688614322001,39.132205377995405
42.79703480336726,1703108,39795,0.4,0.4,42.92604032121812,44.873290901396786
42.81758687700046,1498273,34992,0.4,0.5,42.80308222468235,43.631349635279356
42.874681507308566,1278866,29828,0.4,0.6,43.1764459931646,43.18865603266913
42.775385231138685,1068743,24985,0.4,0.7,42.90314836954509,42.74833226656626
42.89990476667836,855896,19951,0.4,0.8,42.341777125164704,44.125373804086585
42.93592722926765,646658,15061,0.4,0.9,42.777757274925484,36.361875551944216
42.789587721938005,1421898,33230,0.5,0.5,42.87646421572896,43.61537855747419
43.14197224975223,1218847,28252,0.5,0.6,42.98249378689075,44.48263194914076
42.74844467327412,996338,23307,0.5,0.7,43.04252978858205,42.675424936202
42.895018659743634,793086,18489,0.5,0.8,41.33407845391587,49.57896775344137
42.88315765866786,573648,13377,0.5,0.9,44.472674061002536,45.35516290757607
42.92236778262979,1150019,26793,0.6,0.6,42.78409505573814,42.04010483103674
42.70993316432358,926592,21695,0.6,0.7,43.13715025240456,41.8351202107428
42.60703008638666,715159,16785,0.6,0.8,42.437999394337155,44.89273385164971
42.75527971726575,496004,11601,0.6,0.9,43.01216899480898,42.965765264522204
43.04943269855551,861290,20007,0.7,0.7,42.56531827900698,40.509696018977365
42.97473268405639,630998,14683,0.7,0.8,42.511446187723784,39.97617404007827
42.54145465429512,426393,10023,0.7,0.9,42.767920907141686,48.72255358338422
42.79141738680848,579353,13539,0.8,0.8,42.409456759938166,42.99622662821834
42.76797583081571,353905,8275,0.8,0.9,43.15429372935873,52.788714115093136
43.02531830821016,293992,6833,0.9,0.9,43.14436750246222,38.34324268613011
42.80593782279831,2569298,60022,0.1,0.1,42.81603231721996,43.53404373935029
42.803813921358326,2354595,55009,0.1,0.2,42.45521245628277,43.468121730505565
42.77027731025086,2134579,49908,0.1,0.3,42.70777768580002,43.2803292781215
42.812793727866,1922166,44897,0.1,0.4,42.730324561800934,43.72697911389459
42.82593175066776,1715564,40059,0.1,0.5,43.52750569858136,41.67705045943007
42.84623104051381,1494348,34877,0.1,0.6,42.836867987525125,45.04643636476221
42.78847495929016,1287548,30091,0.1,0.7,42.68115244264323,40.72986019103288
42.87448682689625,1075678,25089,0.1,0.8,43.44342023866056,44.69234404212916
42.57341584158416,859983,20200,0.1,0.9,42.78555764906297,44.636825942798296
42.80301357042583,2286751,53425,0.2,0.2,42.857967057263444,41.45250532918071
42.843715551488174,2059883,48079,0.2,0.3,42.88436304520338,44.5190153355041
42.86348555366112,1860361,43402,0.2,0.4,42.822797056683626,43.151071386496184
42.86395989193682,1650091,38496,0.2,0.5,42.815643049846614,42.55760363429208
