m,M,average,average_laplacian,average_gaussian
0.1,0.9,42.82351735665618,42.82377200542415,42.821818179045685
0.1,0.8,42.8137872515057,42.81114737908048,42.81792741371691
0.1,0.7,42.80111134081693,42.80028757268485,42.798872305178
0.1,0.6,42.824032544522325,42.82426524024402,42.830347549168536
0.1,0.5,42.81489357771652,42.81568218509499,42.8100872296634
0.1,0.4,42.82183543185417,42.82273522214169,42.82129957477439
0.1,0.3,42.81790455631829,42.817627227837605,42.81834961799077
0.1,0.2,42.82743318980968,42.827930535263256,42.82608306738485
0.1,0.1,42.82591390255918,42.82574655983204,42.825506976879566
0.2,0.9,42.80898908585791,42.8081492755902,42.80453098396031
0.2,0.8,42.80575033890052,42.80477950852059,42.80589764364767
0.2,0.7,42.82700216506384,42.82863133459587,42.8265417813374
0.2,0.6,42.82115047255048,42.82042064243758,42.82286121870197
0.2,0.5,42.82154717832122,42.8219604481079,42.81967348629886
0.2,0.4,42.81527594905498,42.81479111018615,42.81477760703478
0.2,0.3,42.82302957875799,42.82239288269008,42.81977746310636
0.2,0.2,42.827709897920485,42.82669465179208,42.82588650184905
0.3,0.9,42.80863479873132,42.80921862261757,42.806465862770246
0.3,0.8,42.81398017536285,42.81378592092673,42.809486044950965
0.3,0.7,42.80525387204586,42.80451082117728,42.804100552028
0.3,0.6,42.8256782487136,42.824705293245685,42.82766021556241
0.3,0.5,42.82001938520216,42.81857176485501,42.81956127342454
0.3,0.4,42.816327094562055,42.81650679381856,42.81033601612356
0.3,0.3,42.81877239492489,42.818358300715246,42.81536638321845
0.4,0.9,42.828000430786986,42.830234137993074,42.81837302161498
0.4,0.8,42.81326089075092,42.81473119691734,42.80431850099614
0.4,0.7,42.81902048238517,42.8169020601402,42.81935393767426
0.4,0.6,42.83041214048448,42.83174147021633,42.82030660038407
0.4,0.5,42.81639986574709,42.817288557295726,42.82186543027604
0.4,0.4,42.816816238144845,42.815805671357374,42.819018833708405
0.5,0.9,42.83371743131654,42.83383318913044,42.83474445456778
0.5,0.8,42.82436606789783,42.82321138603588,42.8398584822704
0.5,0.7,42.82556234284447,42.82508539570114,42.82473162026604
0.5,0.6,42.83110866695408,42.82946091096545,42.83050675058659
0.5,0.5,42.83090430673435,42.83046367237142,42.827144632893386
0.6,0.9,42.85163956585844,42.85383734134794,42.838469620272775
0.6,0.8,42.82106881584156,42.82320677884313,42.83485809338384
0.6,0.7,42.814022183273885,42.815650339421374,42.81665718019294
0.6,0.6,42.84461624186524,42.84659224059382,42.83983774901476
0.7,0.9,42.83442505789036,42.83595376686858,42.83665353434253
0.7,0.8,42.80385835568266,42.80391653663632,42.80143737795257
0.7,0.7,42.83252852121083,42.83443199161808,42.84066486771803
0.8,0.9,42.814141065965295,42.81409811858866,42.82196920995244
0.8,0.8,42.83593003624176,42.83721006558932,42.84092707471135
0.9,0.9,42.82420249091627,42.82444031949333,42.85908705793433
