m,M,delta prima,epsilon prima,average,metric_laplacian,metric_gaussian
0.1,0.9,2.0250405006075078e-10,8.195987029498756,42.82262322623226,-0.0781873862756225,-0.092754218994317
0.1,0.8,2.0250405006075078e-10,7.2953945291203475,42.82262322623226,-0.0695557681372855,-0.0771178739169682
0.1,0.7,2.0250405006075078e-10,6.415735221843628,42.82262322623226,-0.0538012234915152,-0.0618583167640178
0.1,0.6,2.0250405006075078e-10,5.523137163611585,42.82262322623226,-0.0458668064981815,-0.0516530384367006
0.1,0.5,2.0250405006075078e-10,4.620114506958277,42.82262322623226,-0.0392946040035166,-0.0513215748917372
0.1,0.4,2.0250405006075078e-10,3.7085130668623134,42.82262322623226,-0.0352790910415332,-0.0379634409059778
0.1,0.3,2.0250405006075078e-10,2.789728043577631,42.82262322623226,-0.0334885612283794,-0.0328517566572617
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,42.82262322623226,-0.0203778365341147,-0.0176625430315039
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,42.82262322623226,-0.0157178673979322,-0.0005320930011501
0.2,0.9,1.8000360005400074e-10,4.536418382828267,42.82262322623226,-0.0961512818420272,-0.1026402527380005
0.2,0.8,1.8000360005400074e-10,3.335993124944123,42.82262322623226,-0.0704545691813162,-0.082125755061293
0.2,0.7,1.8000360005400074e-10,2.915735221843628,42.82262322623226,-0.0618400869302906,-0.0578831520240989
0.2,0.6,1.8000360005400074e-10,2.523137163611585,42.82262322623226,-0.0490761749413334,-0.0514946246160535
0.2,0.5,1.8000360005400074e-10,2.1201145069582776,42.82262322623226,-0.0444062138723174,-0.0539972935556083
0.2,0.4,1.8000360005400074e-10,1.7085130668623152,42.82262322623226,-0.0314673032487287,-0.0311934636618596
0.2,0.3,1.8000360005400074e-10,1.289728043577631,42.82262322623226,-0.0341747632530549,-0.0400884523217981
0.2,0.2,1.8000360005400074e-10,0.8648397251631903,42.82262322623226,-0.0224378496612596,-0.0172338322501501
0.3,0.9,1.5750315004725062e-10,3.55575364861844,42.82262322623226,-0.098341954830209,-0.1134448256491528
0.3,0.8,1.5750315004725062e-10,2.180266386740503,42.82262322623226,-0.0713671149106239,-0.0636359298867834
0.3,0.7,1.5750315004725062e-10,1.7804540248006575,42.82262322623226,-0.0645245273228889,-0.0614506489057722
0.3,0.6,1.5750315004725062e-10,1.5238551221072782,42.82262322623226,-0.0499567635557404,-0.041988951977976
0.3,0.5,1.5750315004725062e-10,1.2867811736249442,42.82262322623226,-0.0475045853260214,-0.0373392654231714
0.3,0.4,1.5750315004725062e-10,1.041846400195649,42.82262322623226,-0.0422057546397834,-0.0072242418123358
0.3,0.3,1.5750315004725062e-10,0.7897280435776314,42.82262322623226,-0.0245254149266403,-0.0270243897632289
0.4,0.9,1.3500270004050048e-10,2.970877397374573,42.82262322623226,-0.0947481194750312,-0.1055963062008657
0.4,0.8,1.3500270004050048e-10,1.6219243544110258,42.82262322623226,-0.0722780946417995,-0.0831570889781335
0.4,0.7,1.3500270004050048e-10,1.2474029062976228,42.82262322623226,-0.0679385439108446,-0.0701532589890763
0.4,0.6,1.3500270004050048e-10,1.040004453643959,42.82262322623226,-0.0627947350748047,-0.059249532262609
0.4,0.5,1.3500270004050048e-10,0.8719887568651667,42.82262322623226,-0.0447569839171907,-0.0428824563506716
0.4,0.4,1.3500270004050048e-10,0.7085130668623151,42.82262322623226,-0.0377750378400262,0.0334010020618499
0.5,0.9,1.1250225003375044e-10,2.41573522184363,42.82262322623226,-0.1054371433948651,-0.1178103067706915
0.5,0.8,1.1250225003375044e-10,1.24047842129593,42.82262322623226,-0.0889362263492893,-0.0988660720241754
0.5,0.7,1.1250225003375044e-10,0.9109181462991324,42.82262322623226,-0.0719828992398324,-0.075273943577091
0.5,0.6,1.1250225003375044e-10,0.744131224208421,42.82262322623226,-0.058770966664363,-0.0611860652742329
0.5,0.5,1.1250225003375044e-10,0.6201145069582775,42.82262322623226,-0.0567365154512385,-0.0558919724834673
0.6,0.9,9.000180002700037e-11,1.8573740195087889,42.82262322623226,-0.1355358810643235,-0.1589196661010581
0.6,0.8,9.000180002700037e-11,0.9168332207542772,42.82262322623226,-0.1037205045981257,-0.1229653825434676
0.6,0.7,9.000180002700037e-11,0.6491258279171364,42.82262322623226,-0.0662419690453643,-0.0469066037672354
0.6,0.6,9.000180002700037e-11,0.5231371636115855,42.82262322623226,-0.0597672822232656,-0.0211573348000617
0.7,0.9,6.750135002025028e-11,1.2953945291203477,42.82262322623226,-0.1194977437393993,-0.1628287732065436
0.7,0.8,6.750135002025028e-11,0.6073740195087887,42.82262322623226,-0.080883181221515,-0.0887606969056652
0.7,0.7,6.750135002025028e-11,0.4157352218436286,42.82262322623226,-0.0822610919894058,-0.0126533433001494
0.8,0.9,4.5000900013500165e-11,0.7293182678690191,42.82262322623226,-0.1341496674737272,-0.1698075003144715
0.8,0.8,4.5000900013500165e-11,0.2953945291203476,42.82262322623226,-0.1086873756915936,-0.0985070369485687
0.9,0.9,2.250045000675009e-11,0.1585650787404291,42.82262322623226,-0.1313556446233304,-0.0711934029581639
