m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
0.05,0.05,4.165871658716587,4.164545167403664,263699,63320,4.165078094043828,4.160025850944602,0.0007935646727590395,0.005845807771985179
0.08,0.08,4.165871658716587,4.160968776976074,255471,61397,4.159953515804388,4.172117006436583,0.005918142912198832,0.006245347719995742
0.3,0.6,4.165871658716587,4.175364834144076,170810,40909,4.178305213149167,4.1695326630003215,0.012433554432579541,0.0036610042837343926
0.7,0.9,4.165871658716587,4.15804437851536,67273,16179,4.157194954809393,4.2055133704113645,0.008676703907194216,0.03964171169477737
0.09,0.09,4.165871658716587,4.164516235480464,252403,60608,4.164141265897689,4.156327651933999,0.0017303928188985296,0.009544006782587822
0.2,0.8,4.165871658716587,4.170882906940703,174931,41941,4.175858732716517,4.16180352117501,0.009987073999929486,0.004068137541577421
0.3,0.8,4.165871658716587,4.169185984403375,156111,37444,4.166897082122969,4.146676846291495,0.001025423406382231,0.019194812425092245
0.01,0.04,4.165871658716587,4.167267726161369,272706,65440,4.1662531360192805,4.175583914463517,0.0003814773026933338,0.009712255746929799
0.0699999999999999,0.08,4.165871658716587,4.163322716763941,257514,61853,4.166557972724793,4.162190067782102,0.0006863140082060681,0.003681590934484724
0.03,0.06,4.165871658716587,4.167557876685634,267328,64145,4.1691895039188385,4.178592153295616,0.0033178452022513127,0.012720494579029129
0.06,0.06,4.165871658716587,4.162256678856012,260653,62623,4.161458052438056,4.14559043606701,0.004413606278530935,0.02028122264957677
0.2,0.3,4.165871658716587,4.160295547345907,213964,51430,4.164193417554569,4.160510548600455,0.0016782411620184234,0.00536111011613194
0.7,0.7,4.165871658716587,4.176806369235392,83415,19971,4.179825728481979,4.193674321948924,0.013954069765391708,0.027802663232336933
0.2,0.4,4.165871658716587,4.157336452367509,206154,49588,4.157196547128509,4.156926349393871,0.008675111588078543,0.008945309322716533
0.3,0.7,4.165871658716587,4.175380593572197,162915,39018,4.177510736244555,4.1617210353517935,0.011639077527967778,0.00415062336479366
0.03,0.05,4.165871658716587,4.163455552788845,267527,64256,4.16297655910604,4.159984949058913,0.002895099610547014,0.005886709657674238
0.04,0.09,4.165871658716587,4.165247990869752,262773,63087,4.165326942556284,4.159077252555195,0.0005447161603031603,0.006794406161391819
0.06,0.09,4.165871658716587,4.169065790744855,258924,62106,4.169154214505659,4.16785853468953,0.0032825557890721058,0.00198687597294267
0.05,0.08,4.165871658716587,4.163709124535642,261152,62721,4.162897516192251,4.158910415410988,0.002974142524336365,0.0069612433055992184
0.03,0.03,4.165871658716587,4.164149308242285,269079,64618,4.164438909918009,4.176605010058548,0.0014327487985781318,0.010733351341960962
0.06,0.0699999999999999,4.165871658716587,4.157813801499327,259564,62428,4.156547962701241,4.156596058524224,0.009323696015345995,0.009275600192363065
0.5,0.9,4.165871658716587,4.154018287742582,107668,25919,4.161220210594728,4.159598662804526,0.0046514481218595805,0.006272995912061319
0.02,0.09,4.165871658716587,4.162640524102131,266230,63957,4.166453345546918,4.164849395108653,0.0005816868303307743,0.0010222636079344483
0.2,0.9,4.165871658716587,4.152558000448553,166638,40129,4.151898872156619,4.14948919602713,0.013972786559968142,0.016382462689457533
0.04,0.04,4.165871658716587,4.168573035814738,266772,63996,4.1694691146184155,4.167034160005753,0.0035974559018283614,0.0011625012891656183
0.02,0.04,4.165871658716587,4.164419821483533,270604,64980,4.164099524586823,4.153880953599121,0.0017721341297640691,0.011990705117466582
0.1,0.5,4.165871658716587,4.164965206087023,217861,52308,4.163395862233512,4.176173220887624,0.0024757964830754986,0.010301562171036949
