m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
0.05,0.05,4.165871658716587,4.164545167403664,263699,63320,4.164934231762308,4.162791273493391,0.0009374269542794522,0.0030803852231962026
0.08,0.08,4.165871658716587,4.160968776976074,255471,61397,4.16139042281396,4.166986939659697,0.00448123590262739,0.0011152809431100863
0.3,0.6,4.165871658716587,4.175364834144076,170810,40909,4.175789116276566,4.175446674089315,0.00991745755997897,0.009575015372727869
0.7,0.9,4.165871658716587,4.15804437851536,67273,16179,4.158134449633879,4.16187666015815,0.007737209082708141,0.003994998558437324
0.09,0.09,4.165871658716587,4.164516235480464,252403,60608,4.164411572105963,4.163309404038351,0.001460086610624245,0.002562254678236009
0.2,0.8,4.165871658716587,4.170882906940703,174931,41941,4.171594105397458,4.171538318125244,0.005722446680870519,0.005666659408657182
0.3,0.8,4.165871658716587,4.169185984403375,156111,37444,4.168346278265192,4.169716544575224,0.0024746195486047284,0.0038448858586370704
0.01,0.04,4.165871658716587,4.167267726161369,272706,65440,4.166844449048898,4.168368483359999,0.0009727903323106801,0.0024968246434120545
0.0699999999999999,0.08,4.165871658716587,4.163322716763941,257514,61853,4.1635084606276385,4.162208808496258,0.0023631980889486925,0.0036628502203290836
0.03,0.06,4.165871658716587,4.167557876685634,267328,64145,4.166894536673597,4.166909109862618,0.00102287795701006,0.0010374511460309321
0.06,0.06,4.165871658716587,4.162256678856012,260653,62623,4.1624411605365195,4.163793685772893,0.003430498180067687,0.002077972943694384
0.2,0.3,4.165871658716587,4.160295547345907,213964,51430,4.160690246877106,4.160059426371531,0.005181411839481065,0.00581223234505579
0.7,0.7,4.165871658716587,4.176806369235392,83415,19971,4.176990015495888,4.187800430784487,0.011118356779300953,0.021928772067900226
0.2,0.4,4.165871658716587,4.157336452367509,206154,49588,4.157357952749502,4.149887003959673,0.00851370596708545,0.01598465475691402
0.3,0.7,4.165871658716587,4.175380593572197,162915,39018,4.175585440733725,4.175529357598313,0.009713782017137795,0.00965769888172563
