m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements
0.05,0.05,4.165871658716587,4.162636739068756,264086,63442
0.08,0.08,4.165871658716587,4.165938864628821,255672,61372
0.3,0.6,4.165871658716587,4.178033162085169,171596,41071
0.7,0.9,4.165871658716587,4.1774014093213,67582,16178
0.09,0.09,4.165871658716587,4.168814029067753,252701,60617
0.2,0.8,4.165871658716587,4.167993116799312,174393,41841
0.3,0.8,4.165871658716587,4.1668370641411965,154873,37168
0.01,0.04,4.165871658716587,4.1640652469692565,272384,65413
0.03,0.06,4.165871658716587,4.168168917443783,267288,64126
0.06,0.06,4.165871658716587,4.166977775650537,261182,62679
0.2,0.3,4.165871658716587,4.174573758339511,213997,51262
0.7,0.7,4.165871658716587,4.153931117582086,82738,19918
0.2,0.4,4.165871658716587,4.170301268072046,206530,49524
0.3,0.7,4.165871658716587,4.164043273174733,162431,39008
0.07,0.08,4.165871658716587,4.1675301965609926,257395,61762
0.03,0.05,4.165871658716587,4.166827326720358,268002,64318
0.04,0.09,4.165871658716587,4.167026786565409,262281,62942
0.05,0.07,4.165871658716587,4.165123922328247,262332,62983
0.06,0.09,4.165871658716587,4.166900059555426,258877,62127
0.05,0.08,4.165871658716587,4.168894269829385,261694,62773
0.03,0.03,4.165871658716587,4.164881099826604,269018,64592
0.5,0.9,4.165871658716587,4.1932937314366105,107298,25588
0.02,0.09,4.165871658716587,4.163077259452453,266566,64031
0.2,0.9,4.165871658716587,4.15957235206365,167298,40220
0.04,0.04,4.165871658716587,4.166945038477748,266947,64063
0.02,0.04,4.165871658716587,4.167559248999693,270808,64980
0.1,0.5,4.165871658716587,4.1659072276982325,218506,52451
0.4,0.6,4.165871658716587,4.162031438935913,151448,36388
0.8,0.9,4.165871658716587,4.178180544610805,47719,11421
0.7,0.8,4.165871658716587,4.184497152651075,75685,18087
0.1,0.7,4.165871658716587,4.158529321146143,202458,48685
0.1,0.6,4.165871658716587,4.167016224772458,210601,50540
0.04,0.08,4.165871658716587,4.167764769082492,263782,63291
0.4,0.5,4.165871658716587,4.168091838602547,159392,38241
0.6,0.6,4.165871658716587,4.182047802156375,110933,26526
0.1,0.4,4.165871658716587,4.16730059084195,225701,54160
