m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,4.165871658716588,0.0054324753831422,0.0060548277332173
0.1,0.8,4.165871658716588,0.0057872495531592,0.0068010685633789
0.1,0.7,4.165871658716588,0.0045114556199112,0.0053652363146112
0.1,0.6,4.165871658716588,0.0045220377929854,0.0050936751553517
0.1,0.5,4.165871658716588,0.0042607143220436,0.0046997301603183
0.1,0.4,4.165871658716588,0.0035070683879604,0.0040892773175161
0.1,0.3,4.165871658716588,0.0036669127671728,0.0039760319889461
0.1,0.2,4.165871658716588,0.0031948482011045,0.0039684392646618
0.1,0.1,4.165871658716588,0.0025464386490149,0.0035932987550056
0.2,0.9,4.165871658716588,0.0064485458533,0.0071077081374281
0.2,0.8,4.165871658716588,0.0053744691191397,0.0058912706881187
0.2,0.7,4.165871658716588,0.006267695142113,0.0071328089694093
0.2,0.6,4.165871658716588,0.0053824883654197,0.0065360818726117
0.2,0.5,4.165871658716588,0.005180066797064,0.0061740083937927
0.2,0.4,4.165871658716588,0.0044999445999047,0.0052334725684904
0.2,0.3,4.165871658716588,0.0041647378275825,0.0055072274635062
0.2,0.2,4.165871658716588,0.0042668130677064,0.0047437432444227
0.3,0.9,4.165871658716588,0.0066289004700948,0.0073422384367104
0.3,0.8,4.165871658716588,0.0069359668083678,0.007667124025987
0.3,0.7,4.165871658716588,0.0059244096334559,0.0070125973822038
0.3,0.6,4.165871658716588,0.005754987433087,0.0065472348437259
0.3,0.5,4.165871658716588,0.0056451487614675,0.0063947389350109
0.3,0.4,4.165871658716588,0.0056507565179576,0.0059081636740111
0.3,0.3,4.165871658716588,0.0054871984231814,0.0059620001545634
0.4,0.9,4.165871658716588,0.0084321645695392,0.0101496231874521
0.4,0.8,4.165871658716588,0.0084836043888593,0.0095985410705719
0.4,0.7,4.165871658716588,0.0077496016985404,0.0090941564852218
0.4,0.6,4.165871658716588,0.0076079498450184,0.0080358836367144
0.4,0.5,4.165871658716588,0.0062877431643676,0.0082004063933878
0.4,0.4,4.165871658716588,0.0059817356003639,0.0066886031361949
0.5,0.9,4.165871658716588,0.0095202579312531,0.0113495462209931
0.5,0.8,4.165871658716588,0.0096025730272022,0.0103331798014504
0.5,0.7,4.165871658716588,0.0083426435107592,0.0100355593898486
0.5,0.6,4.165871658716588,0.0084553428420471,0.010144081216864
0.5,0.5,4.165871658716588,0.0087193386332472,0.0092414974867378
0.6,0.9,4.165871658716588,0.0123660125231291,0.0133228998700525
0.6,0.8,4.165871658716588,0.0116876187941138,0.0135964405437662
0.6,0.7,4.165871658716588,0.0099991872294571,0.0116444536143899
0.6,0.6,4.165871658716588,0.0100417212829543,0.0109638573842476
0.7,0.9,4.165871658716588,0.0129121295313035,0.0157849775952887
0.7,0.8,4.165871658716588,0.0139159554608149,0.0155835424432738
0.7,0.7,4.165871658716588,0.0124395212277519,0.0138677107097033
0.8,0.9,4.165871658716588,0.0181207293268811,0.021276706640554
0.8,0.8,4.165871658716588,0.016063109502571,0.0176150207780182
0.9,0.9,4.165871658716588,0.0216623592487457,0.0295882087186577
0.01,0.09,4.165871658716588,0.0013646373762844,0.0026449478930006
0.01,0.08,4.165871658716588,0.0014538549609727,0.002813857682891
0.01,0.0699999999999999,,,
0.01,0.06,4.165871658716588,0.0013427353342927,0.0023468511219456
0.01,0.05,4.165871658716588,0.0012759311139614,0.0021624493168674
0.01,0.04,4.165871658716588,0.0010683454481872,0.0023856263559127
0.01,0.03,4.165871658716588,0.0011175676823342,0.0026502056459035
0.01,0.02,4.165871658716588,0.0010995323874891,0.0023163681914273
0.01,0.01,4.165871658716588,0.0009794574048298,0.0021550271263813
0.02,0.09,4.165871658716588,0.0019024403271145,0.0028634846376047
0.02,0.08,4.165871658716588,0.0017063960602393,0.0028767486074602
0.02,0.0699999999999999,,,
0.02,0.06,4.165871658716588,0.001555730101559,0.002734228972469
0.02,0.05,4.165871658716588,0.001530769346428,0.002626478995516
0.02,0.04,4.165871658716588,0.0014349306134219,0.0023040220333695
0.02,0.03,4.165871658716588,0.0012468092039417,0.0024048661156276
0.02,0.02,4.165871658716588,0.0011495726600388,0.0020604509979992
0.03,0.09,4.165871658716588,0.0017286130199302,0.0026986522944658
0.03,0.08,4.165871658716588,0.0017226622019225,0.0028686953584686
0.03,0.0699999999999999,,,
0.03,0.06,4.165871658716588,0.0016323547742487,0.0027172830076094
0.03,0.05,4.165871658716588,0.0015270217785157,0.00261784188089
0.03,0.04,4.165871658716588,0.0016099964281825,0.0029537077076681
0.03,0.03,4.165871658716588,0.0015088291227873,0.0026409592041024
0.04,0.09,4.165871658716588,0.0018355186692004,0.0026567353670399
0.04,0.08,4.165871658716588,0.0021593898170563,0.0033051950685779
0.04,0.0699999999999999,,,
0.04,0.06,4.165871658716588,0.001991092166868,0.0029626744184145
0.04,0.05,4.165871658716588,0.001905301491581,0.0029753155084063
0.04,0.04,4.165871658716588,0.0017867866149998,0.0029332816148888
0.05,0.09,4.165871658716588,0.0021980061386825,0.003199485421748
0.05,0.08,4.165871658716588,0.0020517314132208,0.002791969134928
0.05,0.0699999999999999,,,
0.05,0.06,4.165871658716588,0.001699013363826,0.0031927403882116
0.05,0.05,4.165871658716588,0.0019041578871429,0.0029839318888392
0.06,0.09,4.165871658716588,0.0022601893128868,0.0031093688359158
0.06,0.08,4.165871658716588,0.0020485848868966,0.002842270294825
0.06,0.0699999999999999,,,
0.06,0.06,4.165871658716588,0.0019750525708317,0.0029715528593602
0.0699999999999999,0.09,,,
0.0699999999999999,0.08,,,
0.0699999999999999,0.0699999999999999,,,
0.08,0.09,4.165871658716588,0.0024616818695923,0.0032327020418506
0.08,0.08,4.165871658716588,0.0025121326933584,0.00322379152214
0.09,0.09,4.165871658716588,0.0022365197114487,0.0032328023611755
