m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0059491138876743,0.0108093758672175
0.1,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0055355542720897,0.0104973759576954
0.1,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.0051972562363731,0.0097976735197778
0.1,0.6,0.25,2.2500450006750092e-10,4.165871658716588,0.0048041968473279,0.0094077693819019
0.1,0.5,0.25,2.2500450006750092e-10,4.165871658716588,0.0044646217327203,0.008719840481137
0.1,0.4,0.25,2.2500450006750092e-10,4.165871658716588,0.0041937817082783,0.0086780700429763
0.1,0.3,0.25,2.2500450006750092e-10,4.165871658716588,0.0037226773735619,0.0079307982386108
0.1,0.2,0.25,2.2500450006750092e-10,4.165871658716588,0.0035407124874337,0.0078647140201185
0.1,0.1,0.25,2.2500450006750092e-10,4.165871658716588,0.0028222719028006,0.007422523847397
0.2,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0065693083821767,0.0113852245983933
0.2,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0062709215967816,0.0113112561520275
0.2,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.0059174949951243,0.0111087203210227
0.2,0.6,0.25,2.2500450006750092e-10,4.165871658716588,0.0056176797831828,0.0108844604688665
0.2,0.5,0.25,2.2500450006750092e-10,4.165871658716588,0.0052992758182797,0.0103395947385641
0.2,0.4,0.25,2.2500450006750092e-10,4.165871658716588,0.0051499853678049,0.0096693818623846
0.2,0.3,0.25,2.2500450006750092e-10,4.165871658716588,0.0043588900396733,0.0092237312134067
0.2,0.2,0.25,2.2500450006750092e-10,4.165871658716588,0.004484297500072,0.0089497527369081
0.3,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.007991249434104,0.0145982476456708
0.3,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0075509058957421,0.0134224897969109
0.3,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.006639665573716,0.0127343395241496
0.3,0.6,0.25,2.2500450006750092e-10,4.165871658716588,0.0064989076116519,0.0117700616595853
0.3,0.5,0.25,2.2500450006750092e-10,4.165871658716588,0.0061265717466148,0.0113120688365733
0.3,0.4,0.25,2.2500450006750092e-10,4.165871658716588,0.0057348305097479,0.0117051058588068
0.3,0.3,0.25,2.2500450006750092e-10,4.165871658716588,0.0057719304316052,0.0104721979815682
0.4,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0088639593308081,0.0160658500815961
0.4,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0086826201069145,0.015841040764622
0.4,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.0083752722281412,0.0148291517277147
0.4,0.6,0.25,2.2500450006750092e-10,4.165871658716588,0.0080345969757325,0.0139055047229991
0.4,0.5,0.25,2.2500450006750092e-10,4.165871658716588,0.0071443859941285,0.0127007044118432
0.4,0.4,0.25,2.2500450006750092e-10,4.165871658716588,0.0070273467470015,0.0126937273523905
0.5,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0104265079370431,0.0188752714046797
0.5,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0098523783501015,0.0176914843923331
0.5,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.0096629081057583,0.0180581364152632
0.5,0.6,0.25,2.2500450006750092e-10,4.165871658716588,0.0088994412115327,0.0156818388901435
0.5,0.5,0.25,2.2500450006750092e-10,4.165871658716588,0.0086451983356104,0.0150794969826069
0.6,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0127995387591327,0.0223973825476502
0.6,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.01193424743344,0.0228528837573847
0.6,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.0115133341508351,0.0207399978018044
0.6,0.6,0.25,2.2500450006750092e-10,4.165871658716588,0.0107896475751178,0.0192799791874144
0.7,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0155409115295009,0.0297749397305699
0.7,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0137583407458295,0.0267440649576165
0.7,0.7,0.25,2.2500450006750092e-10,4.165871658716588,0.0129298974475837,0.0235805651966823
0.8,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0183120952362916,0.0433638834787538
0.8,0.8,0.25,2.2500450006750092e-10,4.165871658716588,0.0179990055451912,0.0364368438437522
0.9,0.9,0.25,2.2500450006750092e-10,4.165871658716588,0.0270218448631096,0.0636793853554133
0.01,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.001937410847207,0.0066352611963683
0.01,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0018896831910914,0.0067344671426713
0.01,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.0018799535923075,0.0067533136180068
0.01,0.06,0.25,2.2500450006750092e-10,4.165871658716588,0.001812796155893,0.0068311617766111
0.01,0.05,0.25,2.2500450006750092e-10,4.165871658716588,0.0017933932984557,0.0064993012484262
0.01,0.04,0.25,2.2500450006750092e-10,4.165871658716588,0.0017925033743003,0.0065073145439915
0.01,0.03,0.25,2.2500450006750092e-10,4.165871658716588,0.0015137829118486,0.0066734430138899
0.01,0.02,0.25,2.2500450006750092e-10,4.165871658716588,0.0015512295427732,0.0064797262974146
0.01,0.01,0.25,2.2500450006750092e-10,4.165871658716588,0.0015793507391964,0.0066079460822174
0.02,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0022462933109056,0.0066187612474035
0.02,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0021420429334699,0.0070258087198269
0.02,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.001874201569603,0.0061463521387024
0.02,0.06,0.25,2.2500450006750092e-10,4.165871658716588,0.0019689282955224,0.0065751788552296
0.02,0.05,0.25,2.2500450006750092e-10,4.165871658716588,0.0018379164202646,0.0064844382568945
0.02,0.04,0.25,2.2500450006750092e-10,4.165871658716588,0.0018810311996134,0.0063805058400954
0.02,0.03,0.25,2.2500450006750092e-10,4.165871658716588,0.0017019380170965,0.0061875772639845
0.02,0.02,0.25,2.2500450006750092e-10,4.165871658716588,0.0017148553893789,0.0067017612668696
0.03,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0021033264486133,0.0065483988559674
0.03,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0022061133893997,0.0068149358932983
0.03,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.0021652594957254,0.0066620193350204
0.03,0.06,0.25,2.2500450006750092e-10,4.165871658716588,0.0020288002748443,0.0070616107024573
0.03,0.05,0.25,2.2500450006750092e-10,4.165871658716588,0.0020559333111131,0.0063766552599607
0.03,0.04,0.25,2.2500450006750092e-10,4.165871658716588,0.0019127783553666,0.00697106644152
0.03,0.03,0.25,2.2500450006750092e-10,4.165871658716588,0.0018578463142323,0.0067559884164975
0.04,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0024094796469754,0.0071014046016703
0.04,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0023961135110997,0.0063103178880241
0.04,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.0022238319574199,0.0068497473511197
0.04,0.06,0.25,2.2500450006750092e-10,4.165871658716588,0.0021465655045638,0.0066566605698613
0.04,0.05,0.25,2.2500450006750092e-10,4.165871658716588,0.002188043752694,0.0066579676880462
0.04,0.04,0.25,2.2500450006750092e-10,4.165871658716588,0.0019385811651553,0.0068664792551438
0.05,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0024036633476938,0.0068496410172781
0.05,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0024343839809854,0.0064577116197043
0.05,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.0024439102862131,0.0066925870208174
0.05,0.06,0.25,2.2500450006750092e-10,4.165871658716588,0.0022463518166324,0.0067240227262189
0.05,0.05,0.25,2.2500450006750092e-10,4.165871658716588,0.002292939058576,0.006875383244592
0.06,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0024713607805631,0.0074846293696481
0.06,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0026855867730903,0.0069067846398113
0.06,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.0023623801698611,0.007036709331401
0.06,0.06,0.25,2.2500450006750092e-10,4.165871658716588,0.0025523160497324,0.0068066737069562
0.07,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.002761111724143,0.0075339267810532
0.07,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0026664961782168,0.0072484316745595
0.07,0.07,0.25,2.2500450006750092e-10,4.165871658716588,0.0025447835402567,0.0071296061464128
0.08,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0028617517446607,0.0073462343878031
0.08,0.08,0.25,2.2500450006750092e-10,4.165871658716588,0.0027275245024004,0.0073035549965796
0.09,0.09,0.25,2.2500450006750092e-10,4.165871658716588,0.0029759550693225,0.0073555762666654
