m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,0.5,2.2500450006750092e-10,4.165871658716587,0.0006629322497049,0.0032072462620453
0.1,0.8,0.5,2.2500450006750092e-10,4.165871658716587,0.0006276647459779,0.0030929297226044
0.1,0.7,0.5,2.2500450006750092e-10,4.165871658716587,0.0006146607221884,0.0029469371707175
0.1,0.6,0.5,2.2500450006750092e-10,4.165871658716587,0.0005777411075115,0.0034848820059482
0.1,0.5,0.5,2.2500450006750092e-10,4.165871658716587,0.0006302716072641,0.0031933038804683
0.1,0.4,0.5,2.2500450006750092e-10,4.165871658716587,0.0006303006992718,0.0032784062632183
0.1,0.3,0.5,2.2500450006750092e-10,4.165871658716587,0.0006223797078065,0.003072306498103
0.1,0.2,0.5,2.2500450006750092e-10,4.165871658716587,0.0006232318917288,0.0031745238110506
0.1,0.1,0.5,2.2500450006750092e-10,4.165871658716587,0.0005799721025447,0.0030226681404224
0.2,0.9,0.5,2.2500450006750092e-10,4.165871658716587,0.000588022258818,0.0032610923544884
0.2,0.8,0.5,2.2500450006750092e-10,4.165871658716587,0.000650855650888,0.0030380873364674
0.2,0.7,0.5,2.2500450006750092e-10,4.165871658716587,0.0005684607395631,0.0029980532531416
0.2,0.6,0.5,2.2500450006750092e-10,4.165871658716587,0.0006245656856652,0.0033296848922365
0.2,0.5,0.5,2.2500450006750092e-10,4.165871658716587,0.0006450449302415,0.0033429078968603
0.2,0.4,0.5,2.2500450006750092e-10,4.165871658716587,0.0005665660006151,0.0033397715534253
0.2,0.3,0.5,2.2500450006750092e-10,4.165871658716587,0.0006334893324093,0.0031453309800671
0.2,0.2,0.5,2.2500450006750092e-10,4.165871658716587,0.0005894233301925,0.0033815056524312
0.3,0.9,0.5,2.2500450006750092e-10,4.165871658716587,0.0006287505161019,0.0031547289231699
0.3,0.8,0.5,2.2500450006750092e-10,4.165871658716587,0.000634428553201,0.0030667078365822
0.3,0.7,0.5,2.2500450006750092e-10,4.165871658716587,0.0006124811044232,0.003211586837639
0.3,0.6,0.5,2.2500450006750092e-10,4.165871658716587,0.0005844745131333,0.0031940695074036
0.3,0.5,0.5,2.2500450006750092e-10,4.165871658716587,0.0006038513339843,0.0031082492320905
0.3,0.4,0.5,2.2500450006750092e-10,4.165871658716587,0.0006532093165048,0.003106809341671
0.3,0.3,0.5,2.2500450006750092e-10,4.165871658716587,0.0006285583271545,0.0030749966225862
0.4,0.9,0.5,2.2500450006750092e-10,4.165871658716587,0.000644227400133,0.0030656116833282
0.4,0.8,0.5,2.2500450006750092e-10,4.165871658716587,0.0006561114815241,0.0032066403639795
0.4,0.7,0.5,2.2500450006750092e-10,4.165871658716587,0.0006183340422891,0.0031333882543921
0.4,0.6,0.5,2.2500450006750092e-10,4.165871658716587,0.0006454888220327,0.0032600468949576
0.4,0.5,0.5,2.2500450006750092e-10,4.165871658716587,0.0006138861045494,0.0031351651186874
0.4,0.4,0.5,2.2500450006750092e-10,4.165871658716587,0.0006460217588682,0.003138901388303
0.5,0.9,0.5,2.2500450006750092e-10,4.165871658716587,0.0005917098891979,0.0033051996041497
0.5,0.8,0.5,2.2500450006750092e-10,4.165871658716587,0.0006226945875143,0.0030300453026961
0.5,0.7,0.5,2.2500450006750092e-10,4.165871658716587,0.0005995498495932,0.0031804525049259
0.5,0.6,0.5,2.2500450006750092e-10,4.165871658716587,0.0005846813925633,0.0031757848590892
0.5,0.5,0.5,2.2500450006750092e-10,4.165871658716587,0.0006632604392004,0.0030835195132289
0.6,0.9,0.5,2.2500450006750092e-10,4.165871658716587,0.0006169386936413,0.0032317929606266
0.6,0.8,0.5,2.2500450006750092e-10,4.165871658716587,0.0006144557432028,0.0030134580662309
0.6,0.7,0.5,2.2500450006750092e-10,4.165871658716587,0.0006148428286548,0.0031911466295926
