m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,2.0250405006075078e-10,8.069960856551647,-0.0050845893465463,-0.0039141040810254,-0.0056600011392683,-0.0068418300069569
0.1,0.8,2.0250405006075078e-10,7.121991283339271,-0.0045429165282995,-0.0034709786555915,-0.0051070756077981,-0.0063784459781455
0.1,0.7,2.0250405006075078e-10,6.177825113937635,-0.0043622398203616,-0.003103494277992,-0.0049586641655114,-0.0059887550739851
0.1,0.6,2.0250405006075078e-10,5.230705692735597,-0.0037981330457746,-0.0028890014302625,-0.0044084235008056,-0.0055071834082395
0.1,0.5,2.0250405006075078e-10,4.280929803620162,-0.003590171225197,-0.0027789133948124,-0.0040913887099539,-0.0055059010176939
0.1,0.4,2.0250405006075078e-10,3.328751625269407,-0.0034103711156309,-0.0021258671042325,-0.0039154588225825,-0.0049755627057521
0.1,0.3,2.0250405006075078e-10,2.374390515085868,-0.0027140356632417,-0.0021360158658816,-0.0032215761678856,-0.0044318690792178
0.1,0.2,2.0250405006075078e-10,1.4180370928606565,-0.0027125715628537,-0.001816164537007,-0.0031179059536205,-0.0037520450742528
0.1,0.1,2.0250405006075078e-10,0.459858051249595,-0.0019786236910248,-0.0011560659754752,-0.0019014397998998,-0.0005193505545466
0.2,0.9,1.8000360005400076e-10,4.284565468042477,-0.0057836801411671,-0.0051995071763168,-0.0063239244789491,-0.0080630350367835
0.2,0.8,1.8000360005400076e-10,3.1311913858301987,-0.0055149532037326,-0.0046374484245453,-0.0059986158010645,-0.0073964720201259
0.2,0.7,1.8000360005400076e-10,2.677825113937636,-0.0050929032785344,-0.0039917027373253,-0.0055628787039217,-0.0064966603799559
0.2,0.6,1.8000360005400076e-10,2.230705692735597,-0.0046647792311491,-0.0038546777278376,-0.0051719150454469,-0.0064049132373696
0.2,0.5,1.8000360005400076e-10,1.7809298036201613,-0.0045929750616813,-0.003680635324045,-0.0050339838696935,-0.0060541734332332
0.2,0.4,1.8000360005400076e-10,1.3287516252694076,-0.0041019427424759,-0.0032605048476288,-0.0045093764149306,-0.0053026780270471
0.2,0.3,1.8000360005400076e-10,0.8743905150858681,-0.0034301141471024,-0.0023622357667903,-0.0037248531028232,-0.0036040272454643
0.2,0.2,1.8000360005400076e-10,0.4180370928606561,-0.0035432762538767,-0.0025869108703572,-0.0034582990999096,-0.001667548532825
0.3,0.9,1.5750315004725067e-10,3.2806469044451063,-0.0071730172630151,-0.0066205150468915,-0.007715892651838,-0.0093835223197907
0.3,0.8,1.5750315004725067e-10,1.929887714963421,-0.0066958271557231,-0.0061396224072592,-0.0071498982806396,-0.0083880160384924
0.3,0.7,1.5750315004725067e-10,1.5192287736285803,-0.0058948010659985,-0.0053632114663768,-0.0063378385509101,-0.0076405102712865
0.3,0.6,1.5750315004725067e-10,1.2307056927355975,-0.0058259382704682,-0.0044104216122138,-0.0062029955953453,-0.0064321105204067
0.3,0.5,1.5750315004725067e-10,0.9475964702868284,-0.0056364089816333,-0.0045107478987095,-0.0058924259099219,-0.0058286910119169
0.3,0.4,1.5750315004725067e-10,0.6620849586027407,-0.0049158227843133,-0.0041264395952253,-0.0050639533195256,-0.0047391521296918
0.3,0.3,1.5750315004725067e-10,0.3743905150858683,-0.0049021568744013,-0.0038172199863796,-0.0047086334247762,-0.0029533230824274
0.4,0.9,1.3500270004050048e-10,2.7046149070688505,-0.0078150971017772,-0.0079928401182031,-0.0083112858440825,-0.0104718036236106
0.4,0.8,1.3500270004050048e-10,1.3625307643525733,-0.0077132213122523,-0.0073438668388173,-0.0080840059199138,-0.0094008393907181
0.4,0.7,1.3500270004050048e-10,0.97242167237925,-0.0073032352466009,-0.006559816766239,-0.0076383462019546,-0.0081209758799164
0.4,0.6,1.3500270004050048e-10,0.7354847533049613,-0.0071492207136399,-0.0067480363027311,-0.0073542467371376,-0.0075644801616624
0.4,0.5,1.3500270004050048e-10,0.5309298036201614,-0.0061395718113032,-0.0054645959972824,-0.0061768832833048,-0.0059340058150421
0.4,0.4,1.3500270004050048e-10,0.3287516252694073,-0.0059946801806199,-0.0052019403237405,-0.0056521005021997,-0.0036454702350688
0.5,0.9,1.1250225003375047e-10,2.177825113937637,-0.0094121783199665,-0.0093080541663644,-0.0098387727823297,-0.0117483401482065
0.5,0.8,1.1250225003375047e-10,0.9886300258909754,-0.0088789419393375,-0.0090539685696113,-0.0092372063719808,-0.0105516945350694
0.5,0.7,1.1250225003375047e-10,0.6388931431982581,-0.008984719838695,-0.0081653642784734,-0.0090915978035023,-0.00887323837613
0.5,0.6,1.1250225003375047e-10,0.4410405561104139,-0.0080038824926047,-0.0075713391819374,-0.0078871627724084,-0.007076589333974
0.5,0.5,1.1250225003375047e-10,0.2809298036201614,-0.0075652850125031,-0.0071970192650437,-0.0070773876417476,-0.0046109501846525
0.6,0.9,9.000180002700038e-11,1.6502978251128062,-0.0117076820206027,-0.0123125691453103,-0.0121363294306289,-0.0146403683381048
0.6,0.8,9.000180002700038e-11,0.6829925611006017,-0.0110449065296905,-0.0118788912146375,-0.0111933818042658,-0.012550927776847
0.6,0.7,9.000180002700038e-11,0.3902683998635957,-0.0104202832756445,-0.0107750031638399,-0.0103141398408785,-0.0099165828188403
0.6,0.6,9.000180002700038e-11,0.2307056927355977,-0.0096050917496693,-0.0097680699434178,-0.008972522881754,-0.0057378097258692
0.7,0.9,6.750135002025028e-11,1.1219912833392711,-0.0140452885300484,-0.015987628255279,-0.0143712788707929,-0.0179546802611769
0.7,0.8,6.750135002025028e-11,0.4003517881780855,-0.0126013583189418,-0.0142111470960283,-0.0124654514397949,-0.0131521496859086
0.7,0.7,6.750135002025028e-11,0.1778251139376357,-0.0113311844582277,-0.0125837404136498,-0.010287157233231,-0.0063849799974443
0.8,0.9,4.5000900013500165e-11,0.5928600813128483,-0.0170959996724276,-0.0230377180004466,-0.0171369162231227,-0.0234006687810059
0.8,0.8,4.5000900013500165e-11,0.1219912833392709,-0.0163234703989507,-0.0202071740745467,-0.0143823074830157,-0.0102905073248907
0.9,0.9,2.250045000675008e-11,0.0628547234737303,-0.023534872593876,-0.0360472518881464,-0.0193679156617578,-0.0131548400718777
0.01,0.09,2.2275445506682583e-10,8.463945538725794,-0.0009330349938266,-0.0004915409934873,-0.0015342420864814,-0.0033927601440947
0.01,0.08,2.2275445506682583e-10,7.468016386639051,-0.0008647803364859,-0.0005854408619792,-0.001460179417229,-0.0034901059916386
0.01,0.07,2.2275445506682583e-10,6.472070729914749,-0.0008538840954677,-0.0007314779679241,-0.0014259456108977,-0.003392297975415
0.01,0.06,2.2275445506682583e-10,5.476108701843772,-0.0008552427660191,-0.0006743263255226,-0.001393329146445,-0.0033662780080804
0.01,0.05,2.2275445506682583e-10,4.480130434108827,-0.0007042054670513,-0.0003694099690011,-0.001214693077774,-0.003038848521122
0.01,0.04,2.2275445506682583e-10,3.4841360568101942,-0.0007085224739595,-0.0003401173270216,-0.0012486882463192,-0.0031507799445878
0.01,0.03,2.2275445506682583e-10,2.488125698490994,-0.0005604569868284,-0.0001337993894029,-0.0010767454920861,-0.0026168373757944
0.01,0.02,2.2275445506682583e-10,1.4920994861619232,-0.00040552587761,4.131348250459993e-05,-0.000868118458464,-0.0021384122324316
0.01,0.01,2.2275445506682583e-10,0.4960575453255335,-0.000429374854509,-7.744395358999989e-05,-0.000454333121938,-1.0947070327099913e-05
0.02,0.09,2.2050441006615078e-10,3.963945538725792,-0.0011220789691341,-0.0005206436358178,-0.0016320154022735,-0.0032845336759027
0.02,0.08,2.2050441006615078e-10,3.4680163866390505,-0.0011821564621106,-0.0004126218586189,-0.0016586696645556,-0.0031669995877988
0.02,0.07,2.2050441006615078e-10,2.972070729914748,-0.0010336136099065,-0.0007042106653314,-0.0015638083765562,-0.003270219546062
0.02,0.06,2.2050441006615078e-10,2.476108701843772,-0.0008891839930523,-7.16681777820998e-05,-0.0013852958389235,-0.0028568801250236
