m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,8.124460256902678,2.0250405006075078e-10,4.165871658716587,3.760432865487613e-05,
0.1,0.8,7.20163387054215,2.0250405006075078e-10,4.165871658716587,4.115572726364775e-05,
0.1,0.7,6.289006199146817,2.0250405006075078e-10,4.165871658716587,4.576574945884932e-05,
0.1,0.6,5.369354225688749,2.0250405006075078e-10,4.165871658716587,5.86139404476566e-05,
0.1,0.5,4.4437238255549545,2.0250405006075078e-10,4.165871658716587,6.977810475789993e-05,
0.1,0.4,3.5129433857049017,2.0250405006075078e-10,4.165871658716587,9.101602667471296e-05,
0.1,0.3,2.57768021727734,2.0250405006075078e-10,4.165871658716587,0.0001269533858495,
0.1,0.2,1.6384797862360887,2.0250405006075078e-10,4.165871658716587,0.0001939791042192,0.0010335995859722
0.1,0.1,0.6957936829567963,2.0250405006075078e-10,4.165871658716587,0.0004443200759719,0.0022444878533927
0.2,0.9,4.401828373024444,1.8000360005400076e-10,4.165871658716587,6.789152013852504e-05,
0.2,0.8,3.223680689207993,1.8000360005400076e-10,4.165871658716587,0.0001009016302922,
0.2,0.7,2.7890061991468182,1.8000360005400076e-10,4.165871658716587,0.0001184530207976,
0.2,0.6,2.3693542256887485,1.8000360005400076e-10,4.165871658716587,0.0001332032967085,
0.2,0.5,1.9437238255549547,1.8000360005400076e-10,4.165871658716587,0.0001572883905985,0.0008710400237693
0.2,0.4,1.512943385704903,1.8000360005400076e-10,4.165871658716587,0.0002028540475917,0.0010488098683068
0.2,0.3,1.07768021727734,1.8000360005400076e-10,4.165871658716587,0.0002752354985056,0.0014867322919917
0.2,0.2,0.6384797862360887,1.8000360005400076e-10,4.165871658716587,0.0004504320670997,0.0025333029206192
0.3,0.9,3.4099494362087515,1.5750315004725067e-10,4.165871658716587,9.617530100578668e-05,
0.3,0.8,2.045994587032702,1.5750315004725067e-10,4.165871658716587,0.0001539217086585,
0.3,0.7,1.640458799262465,1.5750315004725067e-10,4.165871658716587,0.0001807428771299,0.0009630221692227
0.3,0.6,1.369354225688749,1.5750315004725067e-10,4.165871658716587,0.0002196669395369,0.0011287892896132
0.3,0.5,1.110390492221622,1.5750315004725067e-10,4.165871658716587,0.000281694428427,0.0014933578123156
0.3,0.4,0.8462767190382364,1.5750315004725067e-10,4.165871658716587,0.000382511786992,0.0019485462419165
0.3,0.3,0.5776802172773403,1.5750315004725067e-10,4.165871658716587,0.0005276038924974,0.0028361114235145
0.4,0.9,2.829986971112398,1.3500270004050048e-10,4.165871658716587,0.0001057936626478,
0.4,0.8,1.4835890505692233,1.3500270004050048e-10,4.165871658716587,0.0002054059432687,0.0011438522008617
0.4,0.7,1.1012194973732938,1.3500270004050048e-10,4.165871658716587,0.0002649451387619,0.0014330808989587
0.4,0.6,0.8795437847470158,1.3500270004050048e-10,4.165871658716587,0.0003613681478293,0.0017731242893938
0.4,0.5,0.6942122049418012,1.3500270004050048e-10,4.165871658716587,0.0004296421868248,0.0023363802719832
0.4,0.4,0.5129433857049027,1.3500270004050048e-10,4.165871658716587,0.0005932572983321,0.0030407627774473
0.5,0.9,2.289006199146819,1.1250225003375047e-10,4.165871658716587,0.0001365894328529,
0.5,0.8,1.106160025978658,1.1250225003375047e-10,4.165871658716587,0.0002731229150601,0.0013751154056416
0.5,0.7,0.7665765271043028,1.1250225003375047e-10,4.165871658716587,0.0004125799025257,0.0020257767155937
0.5,0.6,0.5847910971404157,1.1250225003375047e-10,4.165871658716587,0.0005088841067376,0.0026841512206917
0.5,0.5,0.4437238255549545,1.1250225003375047e-10,4.165871658716587,0.0007108854007905,0.0037148405021593
0.6,0.9,1.7462739719496303,9.000180002700038e-11,4.165871658716587,0.0001720561410638,0.0009405437635807
0.6,0.8,0.7917477838308223,9.000180002700038e-11,4.165871658716587,0.0003950049936322,0.0020075913811149
0.6,0.7,0.5116199692419677,9.000180002700038e-11,4.165871658716587,0.0006144576707003,0.0031052884072225
0.6,0.6,0.3693542256887488,9.000180002700038e-11,4.165871658716587,0.0008251125714764,0.004252193914106
0.7,0.9,1.201633870542148,6.750135002025028e-11,4.165871658716587,0.0002576707522449,0.0012987873659715
0.7,0.8,0.4962739719496296,6.750135002025028e-11,4.165871658716587,0.0006041737343895,0.0033600325569205
0.7,0.7,0.2890061991468179,6.750135002025028e-11,4.165871658716587,0.0010825054761374,0.0058943589662352
0.8,0.9,0.6549075383306459,4.5000900013500165e-11,4.165871658716587,0.0004692847163409,0.0025483595925985
0.8,0.8,0.201633870542148,4.5000900013500165e-11,4.165871658716587,0.0015137183920669,0.0080798747741785
0.9,0.9,0.1058903767517809,2.250045000675008e-11,4.165871658716587,0.002835316605646,0.0157110419924788
0.01,0.09,8.701348465455066,2.2275445506682583e-10,4.165871658716587,3.437650775511342e-05,
0.01,0.08,7.706872562716085,2.2275445506682583e-10,4.165871658716587,4.036008177734799e-05,
0.01,0.07,6.712366311895555,2.2275445506682583e-10,4.165871658716587,4.6810296107284296e-05,
0.01,0.06,5.717830044622759,2.2275445506682583e-10,4.165871658716587,5.375944866556511e-05,
0.01,0.05,4.723264087120668,2.2275445506682583e-10,4.165871658716587,6.36611500744367e-05,
0.01,0.04,3.7286687603228272,2.2275445506682583e-10,4.165871658716587,8.471743515611222e-05,
0.01,0.03,2.7340443799871026,2.2275445506682583e-10,4.165871658716587,0.0001061128399785,
0.01,0.02,1.7393912568063583,2.2275445506682583e-10,4.165871658716587,0.0001796082389266,0.000929500033869
0.01,0.01,0.7447096965162275,2.2275445506682583e-10,4.165871658716587,0.0004010373087236,0.0020542507089124
0.02,0.09,4.201348465455063,2.2050441006615078e-10,4.165871658716587,8.060101523522637e-05,
0.02,0.08,3.706872562716081,2.2050441006615078e-10,4.165871658716587,7.995612295727933e-05,
0.02,0.07,3.2123663118955554,2.2050441006615078e-10,4.165871658716587,9.436646923456257e-05,
0.02,0.06,2.717830044622758,2.2050441006615078e-10,4.165871658716587,0.0001149382100563,
0.02,0.05,2.223264087120667,2.2050441006615078e-10,4.165871658716587,0.0001398782735583,
0.02,0.04,1.728668760322827,2.2050441006615078e-10,4.165871658716587,0.000183028372302,0.0009409823380681
0.02,0.03,1.234044379987102,2.2050441006615078e-10,4.165871658716587,0.0002531184205771,0.0012197927948318
0.02,0.02,0.7393912568063585,2.2050441006615078e-10,4.165871658716587,0.0004280597470201,0.0021177469305662
0.03,0.09,2.7013484654550624,2.1825436506547587e-10,4.165871658716587,0.0001157680437174,
0.03,0.08,2.373539229382749,2.1825436506547587e-10,4.165871658716587,0.000133827348087,
0.03,0.07,2.045699645228887,2.1825436506547587e-10,4.165871658716587,0.0001505283056231,
0.03,0.06,1.717830044622758,2.1825436506547587e-10,4.165871658716587,0.0001886549574824,0.0009620758399374
0.03,0.05,1.3899307537873329,2.1825436506547587e-10,4.165871658716587,0.0002204303251695,0.0011777509245432
0.03,0.04,1.062002093656161,2.1825436506547587e-10,4.165871658716587,0.0002963440771418,0.001521036589724
0.03,0.03,0.734044379987102,2.1825436506547587e-10,4.165871658716587,0.0004053411744721,0.0022329417017555
0.04,0.09,1.9513484654550628,2.1600432006480083e-10,4.165871658716587,0.0001597030466441,0.0008666767259629
0.04,0.08,1.706872562716082,2.1600432006480083e-10,4.165871658716587,0.0001672353633052,0.0009406143437411
0.04,0.07,1.462366311895554,2.1600432006480083e-10,4.165871658716587,0.000207605332929,0.0011061431113012
0.04,0.06,1.217830044622758,2.1600432006480083e-10,4.165871658716587,0.0002568882240861,0.0013687006587721
0.04,0.05,0.9732640871206666,2.1600432006480083e-10,4.165871658716587,0.0003081159748858,0.0016304073484539
0.04,0.04,0.7286687603228275,2.1600432006480083e-10,4.165871658716587,0.0004080975039214,0.0021209332887185
0.05,0.09,1.501348465455063,2.1375427506412579e-10,4.165871658716587,0.0002030326653744,0.001150457892685
0.05,0.08,1.3068725627160815,2.1375427506412579e-10,4.165871658716587,0.0002463025709226,0.0011879663743416
0.05,0.07,1.1123663118955545,2.1375427506412579e-10,4.165871658716587,0.0002761897350856,0.0014216176458745
0.05,0.06,0.9178300446227584,2.1375427506412579e-10,4.165871658716587,0.0003203588176024,0.0017574459884317
0.05,0.05,0.7232640871206666,2.1375427506412579e-10,4.165871658716587,0.0004367987487564,0.002224986977755
0.06,0.09,1.201348465455063,2.115042300634508e-10,4.165871658716587,0.0002532727275926,0.0013042732382054
0.06,0.08,1.0402058960494147,2.115042300634508e-10,4.165871658716587,0.0003058045603136,0.0015056853425789
0.06,0.07,0.8790329785622212,2.115042300634508e-10,4.165871658716587,0.0003560759851541,0.0017870911715873
0.06,0.06,0.7178300446227582,2.115042300634508e-10,4.165871658716587,0.00043348935901,0.0022834020829617
0.07,0.09,0.9870627511693488,2.0925418506277583e-10,4.165871658716587,0.0003172179194017,0.0015768744279849
0.07,0.08,0.8497297055732245,2.0925418506277583e-10,4.165871658716587,0.0003577112388846,0.0018763224556457
