m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,4.165871658716588,0.0056669054032472,0.0059512364072493
0.1,0.8,4.165871658716588,0.0051543196624715,0.0055134312091515
0.1,0.7,4.165871658716588,0.005008441224086,0.0053249420975436
0.1,0.6,4.165871658716588,0.0043885876512229,0.0049144280068013
0.1,0.5,4.165871658716588,0.0041225560060589,0.0046192784567324
0.1,0.4,4.165871658716588,0.0038936114654443,0.0042769052933198
0.1,0.3,4.165871658716588,0.0032798470649916,0.0037923826766071
0.1,0.2,4.165871658716588,0.0032225641295603,0.003720366711522
0.1,0.1,4.165871658716588,0.0025311142883347,0.0031259521693139
0.2,0.9,4.165871658716588,0.0062410713187922,0.0070236887500205
0.2,0.8,4.165871658716588,0.0060101662246489,0.0065017077765694
0.2,0.7,4.165871658716588,0.0055436775121312,0.0060609425387528
0.2,0.6,4.165871658716588,0.0052371541584835,0.0057364944694411
0.2,0.5,4.165871658716588,0.005196457494258,0.0055673316166339
0.2,0.4,4.165871658716588,0.0046842211947554,0.0049940688642824
0.2,0.3,4.165871658716588,0.0040124145980544,0.0044067584326423
0.2,0.2,4.165871658716588,0.0041096562307284,0.0043559157198762
0.3,0.9,4.165871658716588,0.0077319273404377,0.0084197761467327
0.3,0.8,4.165871658716588,0.0072037732700488,0.0078097282229605
0.3,0.7,4.165871658716588,0.0064358058050592,0.0070840462435688
0.3,0.6,4.165871658716588,0.0063834265111207,0.0067471414393452
0.3,0.5,4.165871658716588,0.0060308443939008,0.0064329262331389
0.3,0.4,4.165871658716588,0.00553883754504,0.0059912000776071
0.3,0.3,4.165871658716588,0.0053168352027152,0.0058277471056148
0.4,0.9,4.165871658716588,0.008375965447066,0.0090732233796277
0.4,0.8,4.165871658716588,0.0081695924395375,0.0087525361220083
0.4,0.7,4.165871658716588,0.0078959820067132,0.0086913693002228
0.4,0.6,4.165871658716588,0.0077144539400056,0.0080845361969303
0.4,0.5,4.165871658716588,0.0066340485131205,0.00736656209203
0.4,0.4,4.165871658716588,0.0065660647572892,0.0069402668175607
0.5,0.9,4.165871658716588,0.0096883250792192,0.010613883489397
