m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001488342834787,
0.1,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001555824167989,
0.1,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.0001523078897378,
0.1,0.6,2.0,2.2500450006750092e-10,4.165871658716587,0.0001566402907812,
0.1,0.5,2.0,2.2500450006750092e-10,4.165871658716587,0.0001598563046041,
0.1,0.4,2.0,2.2500450006750092e-10,4.165871658716587,0.0001480025078187,
0.1,0.3,2.0,2.2500450006750092e-10,4.165871658716587,0.0001576178377872,
0.1,0.2,2.0,2.2500450006750092e-10,4.165871658716587,0.0001521187265386,
0.1,0.1,2.0,2.2500450006750092e-10,4.165871658716587,0.0001580222579613,
0.2,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001585143246636,
0.2,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001543470647019,
0.2,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.0001485428477255,
0.2,0.6,2.0,2.2500450006750092e-10,4.165871658716587,0.0001420505311665,
0.2,0.5,2.0,2.2500450006750092e-10,4.165871658716587,0.0001525355850062,
0.2,0.4,2.0,2.2500450006750092e-10,4.165871658716587,0.0001599985307693,
0.2,0.3,2.0,2.2500450006750092e-10,4.165871658716587,0.0001668537447904,
0.2,0.2,2.0,2.2500450006750092e-10,4.165871658716587,0.0001564813206608,
0.3,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001395490094714,
0.3,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001489560505636,
0.3,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.000155717943907,
0.3,0.6,2.0,2.2500450006750092e-10,4.165871658716587,0.0001561082576226,
0.3,0.5,2.0,2.2500450006750092e-10,4.165871658716587,0.0001644560952246,
0.3,0.4,2.0,2.2500450006750092e-10,4.165871658716587,0.0001577771558454,
0.3,0.3,2.0,2.2500450006750092e-10,4.165871658716587,0.0001555196577922,
0.4,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001463631321704,
0.4,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001588946698904,
0.4,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.0001511500629395,
0.4,0.6,2.0,2.2500450006750092e-10,4.165871658716587,0.0001448560324796,
0.4,0.5,2.0,2.2500450006750092e-10,4.165871658716587,0.0001465141335363,
0.4,0.4,2.0,2.2500450006750092e-10,4.165871658716587,0.0001542354184013,
0.5,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001425996240789,
0.5,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001521340980311,
0.5,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.0001501775537451,
0.5,0.6,2.0,2.2500450006750092e-10,4.165871658716587,0.0001417064608638,
0.5,0.5,2.0,2.2500450006750092e-10,4.165871658716587,0.000162241798993,
0.6,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001570356880642,
0.6,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.000147054573482,
0.6,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.0001627716565292,
0.6,0.6,2.0,2.2500450006750092e-10,4.165871658716587,0.0001480029514281,
0.7,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001636671723743,
0.7,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001583890093646,
0.7,0.7,2.0,2.2500450006750092e-10,4.165871658716587,0.0001523774991521,
0.8,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001474809812549,
0.8,0.8,2.0,2.2500450006750092e-10,4.165871658716587,0.0001500021618446,
0.9,0.9,2.0,2.2500450006750092e-10,4.165871658716587,0.0001584597510871,
0.01,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.0001599110979415,
0.01,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001552263835372,
0.01,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001579649235362,
0.01,0.06,2.0,2.2500450006750092e-10,4.165871658716587,0.0001459329054246,
0.01,0.05,2.0,2.2500450006750092e-10,4.165871658716587,0.0001531467990743,
0.01,0.04,2.0,2.2500450006750092e-10,4.165871658716587,0.0001623987131769,
0.01,0.03,2.0,2.2500450006750092e-10,4.165871658716587,0.0001512594834567,
0.01,0.02,2.0,2.2500450006750092e-10,4.165871658716587,0.0001592687613423,
0.01,0.01,2.0,2.2500450006750092e-10,4.165871658716587,0.0001686713256681,
0.02,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.000147840647764,
0.02,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001669046620686,
0.02,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001508190389104,
0.02,0.06,2.0,2.2500450006750092e-10,4.165871658716587,0.0001551015151747,
0.02,0.05,2.0,2.2500450006750092e-10,4.165871658716587,0.0001448810853843,
0.02,0.04,2.0,2.2500450006750092e-10,4.165871658716587,0.0001481150888102,
0.02,0.03,2.0,2.2500450006750092e-10,4.165871658716587,0.0001608101643361,
0.02,0.02,2.0,2.2500450006750092e-10,4.165871658716587,0.0001527036626369,
0.03,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.0001518101741718,
0.03,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001384278077068,
0.03,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001509119837947,
0.03,0.06,2.0,2.2500450006750092e-10,4.165871658716587,0.0001495121170877,
