m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,8.68108832519859,2.0250405006075078e-10,4.165871658716587,3.658763844526509e-05,
0.1,0.8,7.823214990557688,2.0250405006075078e-10,4.165871658716587,3.963517210964272e-05,
0.1,0.7,7.07045861030067,2.0250405006075078e-10,4.165871658716587,4.650382232136708e-05,
0.1,0.6,6.268530136416277,2.0250405006075078e-10,4.165871658716587,4.7703079203362544e-05,
0.1,0.5,5.433780830483028,2.0250405006075078e-10,4.165871658716587,5.482866684861973e-05,
0.1,0.4,4.575557117651626,2.0250405006075078e-10,4.165871658716587,6.68858729668156e-05,
0.1,0.3,3.699706179357965,2.0250405006075078e-10,4.165871658716587,8.450250903662374e-05,
0.1,0.2,2.810130496971241,2.0250405006075078e-10,4.165871658716587,0.0001057278503327,
0.1,0.1,1.9095647993081504,2.0250405006075078e-10,4.165871658716587,0.0001709375498131,0.0008087144207939
0.2,0.9,5.230080940978918,1.8000360005400076e-10,4.165871658716587,5.581383002067863e-05,
0.2,0.8,3.970459955123288,1.8000360005400076e-10,4.165871658716587,7.879045056786463e-05,
0.2,0.7,3.575836803801503,1.8000360005400076e-10,4.165871658716587,8.488457113877338e-05,
0.2,0.6,3.268530136416276,1.8000360005400076e-10,4.165871658716587,9.36490924023856e-05,
0.2,0.5,2.933780830483028,1.8000360005400076e-10,4.165871658716587,0.000108904515821,
0.2,0.4,2.575557117651626,1.8000360005400076e-10,4.165871658716587,0.0001124772891229,
0.2,0.3,2.1997061793579644,1.8000360005400076e-10,4.165871658716587,0.0001460552797082,
0.2,0.2,1.810130496971241,1.8000360005400076e-10,4.165871658716587,0.000177483127321,0.000872713942752
0.3,0.9,4.282067215305558,1.5750315004725067e-10,4.165871658716587,7.513676750930875e-05,
0.3,0.8,2.877112002342761,1.5750315004725067e-10,4.165871658716587,0.0001142598793291,
0.3,0.7,2.4985990964541287,1.5750315004725067e-10,4.165871658716587,0.0001224297598489,
0.3,0.6,2.2850424732827324,1.5750315004725067e-10,4.165871658716587,0.0001323818840343,
0.3,0.5,2.101049174760391,1.5750315004725067e-10,4.165871658716587,0.0001437557380158,
0.3,0.4,1.9088904509849591,1.5750315004725067e-10,4.165871658716587,0.0001702954897276,0.0008089108647745
0.3,0.3,1.699706179357965,1.5750315004725067e-10,4.165871658716587,0.0001832913679341,0.0009537587927672
0.4,0.9,3.67439041890566,1.3500270004050048e-10,4.165871658716587,7.975426161441651e-05,
0.4,0.8,2.3272746158824,1.3500270004050048e-10,4.165871658716587,0.0001385074474515,
0.4,0.7,1.9790049893762525,1.3500270004050048e-10,4.165871658716587,0.0001571497259734,0.000878990741042
0.4,0.6,1.8136258392169444,1.3500270004050048e-10,4.165871658716587,0.0001817182742571,0.0009011762863088
0.4,0.5,1.6946183296263162,1.3500270004050048e-10,4.165871658716587,0.0001942472685166,0.0009211768300646
0.4,0.4,1.5755571176516256,1.3500270004050048e-10,4.165871658716587,0.0001959998908656,0.0009811005951818
0.5,0.9,3.07045861030067,1.1250225003375047e-10,4.165871658716587,9.831950030609154e-05,
0.5,0.8,1.929451895067676,1.1250225003375047e-10,4.165871658716587,0.0001565365407211,0.0008436330572856
0.5,0.7,1.6326197279579056,1.1250225003375047e-10,4.165871658716587,0.0001866526618072,0.0009129067598938
0.5,0.6,1.5124860248224743,1.1250225003375047e-10,4.165871658716587,0.0002023229591724,0.0010463837498549
0.5,0.5,1.433780830483027,1.1250225003375047e-10,4.165871658716587,0.0002287076120484,0.0011374686237063
0.6,0.9,2.454458592793241,9.000180002700038e-11,4.165871658716587,0.0001378372418945,
0.6,0.8,1.5704586103006697,9.000180002700038e-11,4.165871658716587,0.0001937375597651,0.0010386460275533
0.6,0.7,1.3448557771330518,9.000180002700038e-11,4.165871658716587,0.0002355831475066,0.0012312264317326
0.6,0.6,1.268530136416278,9.000180002700038e-11,4.165871658716587,0.0002661232013541,0.001298635897255
0.7,0.9,1.823214990557691,6.750135002025028e-11,4.165871658716587,0.0001804875272467,0.000928008276146
0.7,0.8,1.204458592793241,6.750135002025028e-11,4.165871658716587,0.0002589511229728,0.0013682615318911
0.7,0.7,1.0704586103006697,6.750135002025028e-11,4.165871658716587,0.0002911939870588,0.0014699025375781
0.8,0.9,1.1721065788577625,4.5000900013500165e-11,4.165871658716587,0.0002540647393241,0.0014209671288091
0.8,0.8,0.823214990557691,4.5000900013500165e-11,4.165871658716587,0.0003805493935818,0.002026899668575
0.9,0.9,0.4940287080441788,2.250045000675008e-11,4.165871658716587,0.0007043790419759,0.0033339237626638
0.01,0.09,9.918985343586185,2.2275445506682583e-10,4.165871658716587,2.981322690632965e-05,
0.01,0.08,8.928317968810918,2.2275445506682583e-10,4.165871658716587,3.576589806894774e-05,
0.01,0.07,7.937564300863371,2.2275445506682583e-10,4.165871658716587,4.071186549641608e-05,
0.01,0.06,6.946725920936476,2.2275445506682583e-10,4.165871658716587,4.094886024171363e-05,
0.01,0.05,5.955804367157967,2.2275445506682583e-10,4.165871658716587,5.569164931970377e-05,
0.01,0.04,4.964801136140165,2.2275445506682583e-10,4.165871658716587,6.477880061550195e-05,
0.01,0.03,3.9737176844607256,2.2275445506682583e-10,4.165871658716587,7.953689875837464e-05,
0.01,0.02,2.982555430077965,2.2275445506682583e-10,4.165871658716587,0.0001050256333959,
0.01,0.01,1.9913157536841373,2.2275445506682583e-10,4.165871658716587,0.000157211719354,0.0008064150100655
0.02,0.09,5.418985343586186,2.2050441006615078e-10,4.165871658716587,5.55205667286904e-05,
0.02,0.08,4.928317968810917,2.2050441006615078e-10,4.165871658716587,6.23605808296719e-05,
0.02,0.07,4.437564300863365,2.2050441006615078e-10,4.165871658716587,7.306747167000321e-05,
0.02,0.06,3.9467259209364793,2.2050441006615078e-10,4.165871658716587,8.089114837164328e-05,
0.02,0.05,3.455804367157969,2.2050441006615078e-10,4.165871658716587,9.112578697036728e-05,
0.02,0.04,2.9648011361401645,2.2050441006615078e-10,4.165871658716587,0.000103002485571,
0.02,0.03,2.473717684460726,2.2050441006615078e-10,4.165871658716587,0.000120708073529,
0.02,0.02,1.9825554300779653,2.2050441006615078e-10,4.165871658716587,0.000149532343079,0.0008340417117959
0.03,0.09,3.918985343586185,2.1825436506547587e-10,4.165871658716587,7.99364037379656e-05,
0.03,0.08,3.5949846354775845,2.1825436506547587e-10,4.165871658716587,8.486616036097746e-05,
0.03,0.07,3.2708976341967,2.1825436506547587e-10,4.165871658716587,9.446855468199548e-05,
0.03,0.06,2.946725920936479,2.1825436506547587e-10,4.165871658716587,9.93839426030069e-05,
0.03,0.05,2.622471033824637,2.1825436506547587e-10,4.165871658716587,0.0001235562733656,
0.03,0.04,2.2981344694734966,2.1825436506547587e-10,4.165871658716587,0.0001309069804444,
0.03,0.03,1.9737176844607265,2.1825436506547587e-10,4.165871658716587,0.0001684780596468,0.0007872362978028
0.04,0.09,3.168985343586184,2.1600432006480083e-10,4.165871658716587,9.962104479014592e-05,
0.04,0.08,2.928317968810916,2.1600432006480083e-10,4.165871658716587,0.0001002864449384,
0.04,0.07,2.6875643008633654,2.1600432006480083e-10,4.165871658716587,0.000111833640812,
0.04,0.06,2.446725920936479,2.1600432006480083e-10,4.165871658716587,0.0001262325188037,
0.04,0.05,2.20580436715797,2.1600432006480083e-10,4.165871658716587,0.0001428814872617,
0.04,0.04,1.964801136140164,2.1600432006480083e-10,4.165871658716587,0.0001573815685873,0.0007938452827421
0.05,0.09,2.718985343586183,2.1375427506412579e-10,4.165871658716587,0.0001094537768957,
