m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.1,0.9,2.0,2.2500450006750092e-10,4.165871658716588,0.0056345550325487,
0.1,0.8,2.0,2.2500450006750092e-10,4.165871658716588,0.0051212062725957,
0.1,0.7,2.0,2.2500450006750092e-10,4.165871658716588,0.0049842900515753,
0.1,0.6,2.0,2.2500450006750092e-10,4.165871658716588,0.0043905272222574,
0.1,0.5,2.0,2.2500450006750092e-10,4.165871658716588,0.0041147004972722,
0.1,0.4,2.0,2.2500450006750092e-10,4.165871658716588,0.0038467081331849,
0.1,0.3,2.0,2.2500450006750092e-10,4.165871658716588,0.0032811397826737,
0.1,0.2,2.0,2.2500450006750092e-10,4.165871658716588,0.003199354968756,
0.1,0.1,2.0,2.2500450006750092e-10,4.165871658716588,0.0025049885224044,
0.2,0.9,2.0,2.2500450006750092e-10,4.165871658716588,0.0062288608070584,
0.2,0.8,2.0,2.2500450006750092e-10,4.165871658716588,0.00603797192104,
0.2,0.7,2.0,2.2500450006750092e-10,4.165871658716588,0.0055375747666868,
0.2,0.6,2.0,2.2500450006750092e-10,4.165871658716588,0.0052280290679827,
0.2,0.5,2.0,2.2500450006750092e-10,4.165871658716588,0.0051537653109595,
0.2,0.4,2.0,2.2500450006750092e-10,4.165871658716588,0.0046649874687432,
0.2,0.3,2.0,2.2500450006750092e-10,4.165871658716588,0.0039836892367182,
0.2,0.2,2.0,2.2500450006750092e-10,4.165871658716588,0.0040821063968403,
0.3,0.9,2.0,2.2500450006750092e-10,4.165871658716588,0.0076935949723151,
0.3,0.8,2.0,2.2500450006750092e-10,4.165871658716588,0.0071643975888088,
0.3,0.7,2.0,2.2500450006750092e-10,4.165871658716588,0.0064427025884174,
0.3,0.6,2.0,2.2500450006750092e-10,4.165871658716588,0.0063918296527668,
0.3,0.5,2.0,2.2500450006750092e-10,4.165871658716588,0.0059884263964185,
0.3,0.4,2.0,2.2500450006750092e-10,4.165871658716588,0.0054795358628633,
0.3,0.3,2.0,2.2500450006750092e-10,4.165871658716588,0.0053179925364922,
0.4,0.9,2.0,2.2500450006750092e-10,4.165871658716588,0.0083671185453503,
0.4,0.8,2.0,2.2500450006750092e-10,4.165871658716588,0.0082564202449615,
0.4,0.7,2.0,2.2500450006750092e-10,4.165871658716588,0.0079374900673396,
0.4,0.6,2.0,2.2500450006750092e-10,4.165871658716588,0.0077527204517331,
0.4,0.5,2.0,2.2500450006750092e-10,4.165871658716588,0.0066002909596615,
0.4,0.4,2.0,2.2500450006750092e-10,4.165871658716588,0.0065186703525849,
0.5,0.9,2.0,2.2500450006750092e-10,4.165871658716588,0.009686099353422,
0.5,0.8,2.0,2.2500450006750092e-10,4.165871658716588,0.0092809015738374,
0.5,0.7,2.0,2.2500450006750092e-10,4.165871658716588,0.0094742793076753,
