m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,42.82262322623226,0.0016515445595295,0.0088084448362086
0.1,0.8,42.82262322623226,0.0016896008477308,0.0085853333698142
0.1,0.7,42.82262322623226,0.0017170279335764,0.0084896302452107
0.1,0.6,42.82262322623226,0.001858170843596,0.0088827298529823
0.1,0.5,42.82262322623226,0.0018487944256903,0.0091240661160933
0.1,0.4,42.82262322623226,0.0016863165432115,0.0085614878402975
0.1,0.3,42.82262322623226,0.001640232426857,0.0083042952595541
0.1,0.2,42.82262322623226,0.0017233487919147,0.0087934959007416
0.1,0.1,42.82262322623226,0.0016066357704912,0.0086986834752804
0.2,0.9,42.82262322623226,0.0016424085582126,0.0079701414018317
0.2,0.8,42.82262322623226,0.0016513371328739,0.0086917792152109
0.2,0.7,42.82262322623226,0.0017835999362974,0.0084026757756429
0.2,0.6,42.82262322623226,0.001619654346807,0.0089344959174126
0.2,0.5,42.82262322623226,0.0016907640491285,0.0090546281671274
0.2,0.4,42.82262322623226,0.0017686694090678,0.0084318375138118
0.2,0.3,42.82262322623226,0.0016927406984666,0.0089638910128213
0.2,0.2,42.82262322623226,0.0017405465451481,0.0086805295102042
0.3,0.9,42.82262322623226,0.0016477983010094,0.0087169604010652
0.3,0.8,42.82262322623226,0.0017098908869568,0.0085184103962788
0.3,0.7,42.82262322623226,0.0016981155028348,0.0088513125079657
0.3,0.6,42.82262322623226,0.0015757613499169,0.008377527534671
0.3,0.5,42.82262322623226,0.0016774806173633,0.0086599999142254
0.3,0.4,42.82262322623226,0.0016410195559521,0.0089997068933475
0.3,0.3,42.82262322623226,0.0016119551477549,0.0090747960544003
0.4,0.9,42.82262322623226,0.001798240077426,0.0088043542051744
0.4,0.8,42.82262322623226,0.0016738083879654,0.0088740289240305
0.4,0.7,42.82262322623226,0.0017662918049499,0.0088704916624939
0.4,0.6,42.82262322623226,0.0017353542613668,0.0089195968444806
0.4,0.5,42.82262322623226,0.0016538529642604,0.0085661491898091
0.4,0.4,42.82262322623226,0.0016279495931818,0.0090833998447128
0.5,0.9,42.82262322623226,0.001679640411935,0.0087590386488783
0.5,0.8,42.82262322623226,0.0017264137961998,0.0087484098705149
0.5,0.7,42.82262322623226,0.0017163209928866,0.0087188561376976
0.5,0.6,42.82262322623226,0.0016434970939639,0.0086558738734737
0.5,0.5,42.82262322623226,0.0017340719036175,0.0085227356312962
0.6,0.9,42.82262322623226,0.0016921513051987,0.0086190908891938
0.6,0.8,42.82262322623226,0.0018339856206852,0.0090465207229889
0.6,0.7,42.82262322623226,0.0017785521344501,0.0084250715161735
0.6,0.6,42.82262322623226,0.0018171229626352,0.0086211007533092
0.7,0.9,42.82262322623226,0.0016236457974977,0.0087727513330647
0.7,0.8,42.82262322623226,0.0017011326902566,0.0086011229695354
0.7,0.7,42.82262322623226,0.0016251871044863,0.0091141001004859
0.8,0.9,42.82262322623226,0.0017720415034288,0.0084649822623703
0.8,0.8,42.82262322623226,0.0016378877336869,0.0088675783802029
0.9,0.9,42.82262322623226,0.0016963259544945,0.0091379140184568
0.01,0.09,42.82262322623226,0.0016976694534317,0.008855086485526
0.01,0.08,42.82262322623226,0.0016959337475784,0.0081980133732853
0.01,0.0699999999999999,42.82262322623226,,
0.01,0.06,42.82262322623226,0.0017409842955134,0.0092239096681487
0.01,0.05,42.82262322623226,0.0017943392102048,0.0083818965958362
0.01,0.04,42.82262322623226,0.0015821685378258,0.0088459027223411
0.01,0.03,42.82262322623226,0.0017316414464312,0.0093005040799847
0.01,0.02,42.82262322623226,0.0017212701510426,0.0083483308436743
0.01,0.01,42.82262322623226,0.0016138152966914,0.0088916874242727
0.02,0.09,42.82262322623226,0.001730688855787,0.0088927123528101
0.02,0.08,42.82262322623226,0.0017798624025741,0.0086349079145958
0.02,0.0699999999999999,42.82262322623226,,
0.02,0.06,42.82262322623226,0.0016980738588304,0.0089318994358178
0.02,0.05,42.82262322623226,0.0016141078527851,0.0089418486751189
0.02,0.04,42.82262322623226,0.0017201939544186,0.0081726140699022
0.02,0.03,42.82262322623226,0.0017610134776482,0.0086663013061165
0.02,0.02,42.82262322623226,0.001699812495169,0.0088480909111837
0.03,0.09,42.82262322623226,0.0017712520540239,0.0087984160851915
0.03,0.08,42.82262322623226,0.0016042813486762,0.008978705358827
0.03,0.0699999999999999,42.82262322623226,,
0.03,0.06,42.82262322623226,0.0016563418735938,0.0088708646038696
0.03,0.05,42.82262322623226,0.0016970651972954,0.0084140279194372
