m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.2,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.1,0.2742805138243148,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,0.0180341423211695,0.0672189278955924,0.0184607309995395,0.0671022352913521
0.2,0.9,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.4,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.3,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.2,0.3038248963012889,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,0.0179710058907894,0.0705271112743729,0.0181760396393659,0.0705102453751843
0.3,0.9,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.6,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.5,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.4,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.3,0.340571384191897,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.0180185709242212,0.0688228836212789,0.0181506066968007,0.0689995889456222
0.4,0.9,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.7,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.6,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.5,0.0049050137707703,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,6.2760602856373024,5.726931926548035,6.276337458046159,5.727683462906004
0.4,0.4,0.3875561543179932,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0177895647431752,0.0728374435280213,0.0182882755345395,0.0728525509968981
0.5,0.9,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,,,,
0.5,0.8,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,,,,
0.5,0.7,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,,,,
0.5,0.6,0.1110728003081231,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0789830993821531,0.3514127849913566,0.0791397759543219,0.3513418732675105
0.5,0.5,0.4498333331967113,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0197429574864804,0.0752407420240313,0.0198465041108659,0.075207684871721
0.6,0.9,,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,,,,
0.6,0.8,,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,,,,
0.6,0.7,0.0832858887364506,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.1308688746005871,0.8087886502003002,0.1310623479585891,0.8086793380174111
0.6,0.6,0.5365305212738196,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.0204359979923836,0.0751182411371568,0.0207260966999934,0.0752573255168398
0.7,0.9,,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,,,,
0.7,0.8,,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,,,,
0.7,0.7,0.6661620214999873,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,0.0219906665536533,0.081110580665122,0.0221875064781479,0.0811083999073467
0.8,0.9,,4.970134462017735e-06,1.4129256384925348,1.4142135623730956,,,,
0.8,0.8,0.8838200451568599,4.970134462017735e-06,1.4129256384925348,1.4142135623730956,0.0261228206906108,0.0915341440378027,0.0261630196510447,0.0913788535721282
0.9,0.9,0.25,9.94026892403547e-06,1.4129256384925348,1.4142135623730956,0.1761145981642097,3.1737315085956013,0.176011588685326,3.1735833263446667
0.01,0.09,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.05,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.04,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.03,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.02,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.01,0.2522318418825319,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,0.0173716640145511,0.065927359376414,0.0176320602658472,0.0658392786235562
0.02,0.09,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
0.02,0.08,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
0.02,0.07,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
0.02,0.06,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
0.02,0.05,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
0.02,0.04,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
