m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.2,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.1,0.5427901123391375,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,0.0079539757062035,0.0323370016433886,0.0087038555510614,0.0324939158513687
0.2,0.9,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.4,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.3,0.0363323808127653,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,0.1204830050592039,0.3762585536393745,0.1206322707606539,0.3763561976418704
0.2,0.2,0.5938248334288069,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,0.0070240492794225,0.0306986669665921,0.00762307781085,0.0307909121734767
0.3,0.9,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.6,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.5,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.4,0.2641068568659838,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.0159628563119237,0.0485188916439329,0.0162733553569279,0.0486608281179892
0.3,0.3,0.655831873165771,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.006666349872707,0.0278053455466221,0.0073125508062842,0.0279999560750884
0.4,0.9,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.7,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.6,0.1422631898561472,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.029636298648675,0.0805622849244954,0.029946442304041,0.0805290424044642
0.4,0.5,0.4498333340802196,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0092442724313433,0.0356779866793271,0.0098107169809666,0.0358846491641939
0.4,0.4,0.7329456641245956,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0056810941223686,0.0283247884827129,0.0065518544891853,0.0286479529405378
0.5,0.9,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,,,,
0.5,0.8,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,,,,
0.5,0.7,0.1797533801464694,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0235019268879442,0.0634650869032079,0.0234784542805923,0.0636837943358378
0.5,0.6,0.6059517194651037,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0068836520120068,0.029851733704213,0.0075917533824791,0.0300998046456809
0.5,0.5,0.8317965583006057,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0049547579119948,0.0255109913610402,0.0059508314860151,0.0257604046620392
0.6,0.9,,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,,,,
0.6,0.8,,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,,,,
0.6,0.7,0.7274341065221323,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.0057513542980174,0.0283363929876206,0.0065354485418147,0.0284737321674492
0.6,0.6,0.963862308997936,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.00456721963527,0.0249859793725469,0.0053961684293681,0.0250586936249808
0.7,0.9,,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,,,,
0.7,0.8,0.758982514375454,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,0.0055218516366075,0.0265588229324628,0.0064513975006506,0.0266070751031957
0.7,0.7,1.1513325697360144,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,0.003646591162993,0.0236191469692475,0.0049979133374962,0.0237611375642492
0.8,0.9,0.0554321572590694,4.970134462017735e-06,1.4129256384925348,1.4142135623730956,0.07808066174884,0.2033016704731344,0.0781158034320442,0.2032766831384712
0.8,0.8,0.5,4.970134462017735e-06,1.4129256384925348,1.4142135623730956,0.0078706232917519,0.0315600407103123,0.0083701373238039,0.0316095819508709
0.9,0.9,0.5,9.94026892403547e-06,1.4129256384925348,1.4142135623730956,0.0088666250539855,0.030591931452881,0.0095090828749508,0.0307633130623886
0.01,0.09,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.05,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.04,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.03,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.02,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.01,0.5039665573157759,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,0.0083239947524404,0.0352449149869107,0.0089560032902776,0.0353900790893651
0.02,0.09,,1.0143131555138237e-06,1.4129256384925348,1.4142135623730956,,,,
