m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.002204827926881,-0.0092238867076042,,,,,-0.0020213506245419,-0.0091312038005509,,,,
0.1,0.8,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0022682604667333,-0.0072688520376666,,,,,-0.002121418432258,-0.0075128405806821,,,,
0.1,0.7,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0022750195082719,-0.008969143695359,,,,,-0.0023518100646404,-0.0087463672078473,,,,
0.1,0.6,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0016754874678639,-0.005814159612768,,,,,-0.0017348848910046,-0.0057174465494146,,,,
0.1,0.5,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0022696145571708,-0.0062661981984072,,,,,-0.0024011713029526,-0.0062517604677463,,,,
0.1,0.4,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0013893635586365,-0.0035663088644473,,,,,-0.0012288348572278,-0.0036583419354107,,,,
0.1,0.3,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0018623041813177,-0.0047260840625028,,,,,-0.0020729467192621,-0.004668686752928,,,,
0.1,0.2,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0013342825832278,-0.0039666166952796,,,,,-0.0013122330138077,-0.0036016798854944,,,,
0.1,0.1,0.5427901123391375,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0008478716412214,-0.0031295141026126,4.871911527289975e-05,1.0703515427000487e-05,-0.001512135910274,-0.0049972755726162,-0.0006465650228035,-0.0030679359160308,-0.0011380763215706,-0.0048360400600593,-0.0011380763215706,-0.0048360400600593
0.2,0.9,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.004185910123196,-0.0130283865796527,,,,,-0.0042829548724776,-0.0129351919119612,,,,
0.2,0.8,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0036565021515203,-0.0153552784890565,,,,,-0.0036422736583025,-0.0152399949776895,,,,
0.2,0.7,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0044937594069407,-0.0133629743518177,,,,,-0.0041560782664849,-0.0131211762410462,,,,
0.2,0.6,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.003290658232686,-0.0105788184240198,,,,,-0.0030527934864312,-0.0109032298384414,,,,
0.2,0.5,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0031485489494881,-0.0098737203308907,,,,,-0.0028577521490739,-0.0099813788446685,,,,
0.2,0.4,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0029276429100495,-0.0100280507959818,,,,,-0.0028093807323091,-0.0101253916904775,,,,
0.2,0.3,0.0363323808127653,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0026211942906265,-0.0104340895452519,-0.1418021117255537,-0.9120374496320758,0.1097860461828967,0.3327929506584463,-0.0023593678889088,-0.0103297304834925,0.1094090641892569,0.3328716797707713,0.1094090641892569,0.3328716797707713
0.2,0.2,0.5938248334288069,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0021708680576525,-0.0072534430574554,-0.0001608717215481,-0.0023370894177162,-0.0041013308233752,-0.0096139023065285,-0.0021935006405057,-0.0073546756385476,-0.004026984990933,-0.0097661132381209,-0.004026984990933,-0.0097661132381209
0.3,0.9,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0051009346725955,-0.022423762283216,,,,,-0.0049954790594781,-0.0223183272112657,,,,
0.3,0.8,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0052100711269282,-0.0183199920710543,,,,,-0.0049556838257706,-0.0184708240716736,,,,
0.3,0.7,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0045642048581995,-0.0158378254688404,,,,,-0.0042109582955168,-0.0158888009490738,,,,
0.3,0.6,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0047563088478646,-0.0188776281465813,,,,,-0.0046045030063213,-0.0191467475021577,,,,
0.3,0.5,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0041582280880317,-0.0187609372717372,,,,,-0.0037902606514007,-0.0187120363072489,,,,
0.3,0.4,0.2641068568659838,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0036002836350623,-0.0168211733500097,-0.0161360669488253,-0.0597286510730007,0.0037465593311811,-0.0016602330373166,-0.0034448349659038,-0.0166325367964806,0.0037088787725859,-0.0014910400686867,0.0037088787725859,-0.0014910400686867
0.3,0.3,0.655831873165771,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0037097325177075,-0.0177882489708861,-0.0011785016189531,-0.0044208869201919,-0.0056687268916286,-0.0222760073424595,-0.003298548490224,-0.0175414339197757,-0.0053782172301898,-0.0221253275256887,-0.0053782172301898,-0.0221253275256887
0.4,0.9,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0085189363182865,-0.0304823128697439,,,,,-0.0083315799489957,-0.0303464529890108,,,,
0.4,0.8,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0081122796224245,-0.0247306914401682,,,,,-0.007653634731406,-0.0246607339417063,,,,
0.4,0.7,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0079593333954308,-0.0298074311331882,,,,,-0.0077833722984469,-0.0296883256324998,,,,
