m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,,,,
0.1,0.2,0.0842238068580627,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,0.0489668598731525,0.1297113407764674,0.0489198166240699,0.1297520623028611
0.1,0.1,1.0678788221574913,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,0.0038180281667202,0.0156675101550331,0.0051770599202402,0.0159829827033498
0.2,0.9,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,,,,
0.2,0.4,0.1969503164291381,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,0.0209573629632318,0.0568716831486051,0.0209671574716461,0.0569359013687049
0.2,0.3,0.6558318735740907,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,0.0063626810836076,0.0212185451915928,0.0070603629917851,0.0213874848912123
0.2,0.2,1.146720403372712,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,0.0034297708529766,0.0154291575157439,0.0045994498944835,0.0159670424401106
0.3,0.9,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,,,,
0.3,0.6,0.0542061912175148,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.0806010323472662,0.2048418296057368,0.0807397245006895,0.2048082421892104
0.3,0.5,0.5828996559875119,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.0075148912820576,0.0226811828473188,0.0084285027998041,0.0229426524901132
0.3,0.4,0.9476175694143072,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.0045661604520313,0.0169824713566375,0.0055582675508389,0.0173103815781943
0.3,0.3,1.239732240375534,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,0.0035694657727328,0.0152706377819655,0.0046668910263687,0.0153978576664513
0.4,0.9,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,,,,
0.4,0.7,0.5565492766542918,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0076042265294739,0.0233215170183266,0.008019132704812,0.0235242910464095
0.4,0.6,0.939892178874537,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0042725447915756,0.0172440655568807,0.0054067926177286,0.0175501680041035
0.4,0.5,1.169559458837251,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0037073429302083,0.0150470537809891,0.0050603285298401,0.0154148839367021
0.4,0.4,1.3516519409771797,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,0.0031615786109781,0.0138728259782015,0.0045270963552045,0.0142992369612514
0.5,0.9,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,,,,
0.5,0.8,0.5258403076416316,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0082653119264943,0.02421091126507,0.0091411797347254,0.0243341488919079
0.5,0.7,1.1419580257817248,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0037202717535283,0.0143643849716684,0.0050241635744393,0.0145391888457218
0.5,0.6,1.3619804581563222,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0030293861570082,0.0139112670941901,0.0043771819630746,0.0143312674854689
0.5,0.5,1.4898801181941692,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,0.0029144719924311,0.0139690990954647,0.0045351032284828,0.0142848411902673
0.6,0.9,,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,,,,
0.6,0.8,1.1504947316609877,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.0039092479220141,0.0154702246169824,0.0052149063113901,0.015601618472082
0.6,0.7,1.0,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.0042163670975631,0.016099037891205,0.0055298359045654,0.0162658603309237
0.6,0.6,1.6668960315996626,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,0.0026284978579505,0.0129940914101275,0.0042808912140153,0.0133160488614958
0.7,0.9,0.0305777057820934,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,0.1358500124270134,0.5281744172974094,0.1359188540351325,0.5281691426262773
0.7,0.8,1.6989129250349178,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,0.0026131860798657,0.0132582339520169,0.0042838940413524,0.0135101493370783
0.7,0.7,1.9062193664443707,3.3134229746784887e-06,1.4129256384925348,1.4142135623730956,0.0022651895279881,0.0121143701771615,0.0041466612130689,0.0123699695091244
0.8,0.9,1.672376735673487,4.970134462017735e-06,1.4129256384925348,1.4142135623730956,0.0025463686213335,0.013040801559674,0.0041883519705573,0.0135101710996351
0.8,0.8,2.260867812753513,4.970134462017735e-06,1.4129256384925348,1.4142135623730956,0.0018511761519,,0.0038841485656212,
0.9,0.9,1.0,9.94026892403547e-06,1.4129256384925348,1.4142135623730956,0.0043826878104973,0.0155896145457699,0.0054637146621386,0.0158304882635294
0.01,0.09,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4129256384925348,1.4142135623730956,,,,
