m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,8.946242031631923e-07,8.195987029498752,-0.1349358185771583,-0.1237980474707626,-0.4741495946828926,-0.4600226391122414,-0.1152071919975127,-0.1275619455150295,-0.3038978611087351,-0.3088859964634287
0.1,0.8,8.946242031631923e-07,7.295394529120346,-0.1120437031564313,-0.1406914881452853,-0.4635116992739186,-0.4618945635670103,-0.1021168584394678,-0.1351232328975977,-0.2986192186234193,-0.3053291041861806
0.1,0.7,8.946242031631923e-07,6.415735221843628,-0.0921792277374777,-0.1141485941909566,-0.4336047972489911,-0.4289399541076321,-0.0831535078616581,-0.1002536367288385,-0.2658222888022842,-0.2575266214825504
0.1,0.6,8.946242031631923e-07,5.523137163611585,-0.120975440388676,-0.1009342987070979,-0.4391447961922836,-0.423120631454304,-0.1209888758801087,-0.0846109714708815,-0.2936205455765255,-0.2718376077974319
0.1,0.5,8.946242031631923e-07,4.620114506958276,-0.0691715544796253,-0.1017660925157318,-0.3896715507656698,-0.4164734299842353,-0.0553242924004405,-0.0828886999572838,-0.2470275848901892,-0.2726223388361277
0.1,0.4,8.946242031631923e-07,3.7085130668623134,-0.1153093578698472,-0.0812596314312859,-0.3843010392995297,-0.3872377922279171,-0.1081400921717313,-0.059157756430019,-0.2629926459704943,-0.2571655707381691
0.1,0.3,8.946242031631923e-07,2.789728043577632,-0.0847661243947043,-0.060196487109656,-0.3232305113290025,-0.3195118240722247,-0.0799058639366521,-0.067264124947488,-0.2306512497761117,-0.2441914695640037
0.1,0.2,8.946242031631923e-07,1.8648397251631903,-0.0577135748660671,-0.0679753614129345,-0.2343409937192112,-0.2461887879050059,-0.0529934175267398,-0.0663422534257071,-0.181300903258987,-0.1741008607893621
0.1,0.1,8.946242031631923e-07,0.9347016640011662,-0.0791609299687859,-0.0881966171539404,-0.0410370868022371,-0.0342774542022669,-0.0789555946975966,-0.0715024354762673,-0.0310674893156465,-0.0173049496762305
0.2,0.9,7.952215139228375e-07,4.536418382828267,-0.205787957788789,-0.2101780437272809,-0.4946292890990514,-0.5187518174753024,-0.1612948487662301,-0.1952529389337059,-0.3373946065687505,-0.3747393335982238
0.2,0.8,7.952215139228375e-07,3.335993124944124,-0.1956087465565789,-0.2074348216199775,-0.4478647681717016,-0.4789463279257955,-0.1660304853632262,-0.1789766497303643,-0.3171146985190837,-0.3428263544485918
0.2,0.7,7.952215139228375e-07,2.915735221843628,-0.171210532616358,-0.2051832958174174,-0.4501362758974868,-0.4476913378121832,-0.1651133932775033,-0.1705156079002053,-0.3481528425446767,-0.3253147550737309
0.2,0.6,7.952215139228375e-07,2.5231371636115854,-0.1865682335351794,-0.1739012788647834,-0.4140693894539675,-0.3989906218616726,-0.1612499048899232,-0.1628680983042114,-0.3009638162511638,-0.3093581892669199
0.2,0.5,7.952215139228375e-07,2.1201145069582776,-0.1603013037659472,-0.152192223354769,-0.3615661910143931,-0.3570699366813636,-0.1389224231934377,-0.1280262695504554,-0.2689876093390331,-0.2567959353406079
0.2,0.4,7.952215139228375e-07,1.7085130668623156,-0.1297530785569468,-0.1630998635043448,-0.3029995438950612,-0.3283202016330609,-0.1030637541063777,-0.1520550104976435,-0.2316168555150476,-0.2810966764418153
0.2,0.3,7.952215139228375e-07,1.289728043577631,-0.1349663668496887,-0.1580817154295526,-0.2201443514752923,-0.2305926376357209,-0.1164656620475927,-0.1198371082890257,-0.1791498289000387,-0.1781092151139526
0.2,0.2,7.952215139228375e-07,0.86483972516319,-0.133326644442904,-0.1608064655019496,-0.0790680676609318,-0.0822451634457678,-0.1035981010271162,-0.1373972634609265,-0.0452961169623495,-0.0630820040577266
0.3,0.9,6.958188246824828e-07,3.555753648618441,-0.2838179070770055,-0.2620239471200982,-0.5680787214760858,-0.5501163144957602,-0.2598878668966146,-0.2378792607263491,-0.4328656200461397,-0.3993960686950508
0.3,0.8,6.958188246824828e-07,2.1802663867405028,-0.2995226556936156,-0.3071166136617328,-0.5158962468338817,-0.5174682078067756,-0.2754804732536028,-0.3082903311487514,-0.4238743526038046,-0.4374747116123309
0.3,0.7,6.958188246824828e-07,1.780454024800658,-0.285906468734966,-0.2671700980407844,-0.4591379160036485,-0.4346452749475125,-0.251622375448013,-0.2325782452720642,-0.3772610494041594,-0.3534113886824198
0.3,0.6,6.958188246824828e-07,1.5238551221072782,-0.3153318733387004,-0.2720018454397352,-0.4402951293937409,-0.3936720758041426,-0.2690806714726999,-0.2338184052860454,-0.3696648821152383,-0.3114828950618664
0.3,0.5,6.958188246824828e-07,1.2867811736249446,-0.2391749552275542,-0.249170627080561,-0.3181593191379112,-0.327155657365751,-0.2266196883387182,-0.2183658204043889,-0.2780598505381777,-0.2793602039960889
0.3,0.4,6.958188246824828e-07,1.041846400195649,-0.212453986394119,-0.2379282322629177,-0.2357239686826728,-0.2663263449795781,-0.1799492708944419,-0.1927604953974414,-0.1943835125357705,-0.2178001967995021
0.3,0.3,6.958188246824828e-07,0.7897280435776313,-0.2501517833351135,-0.2447862532908514,-0.0978983233056346,-0.1157725629224445,-0.222836556542718,-0.2060358548093515,-0.0997898741963342,-0.1004729533578872
0.4,0.9,5.964161354421282e-07,2.970877397374573,-0.4119233721251298,-0.4551050364422307,-0.6640991496317118,-0.7114913140152371,-0.3704975306934832,-0.4141805182656254,-0.5292418861658998,-0.5809909027602206
0.4,0.8,5.964161354421282e-07,1.621924354411025,-0.4179002972187254,-0.3332874333679758,-0.5745592334947072,-0.5033471716206395,-0.3761192626348427,-0.3069066962874324,-0.4845959142114908,-0.4327460177458151
0.4,0.7,5.964161354421282e-07,1.2474029062976228,-0.3466280364561309,-0.3865857062410451,-0.424173693831749,-0.4860677418517481,-0.3162821366441207,-0.3466083508436516,-0.3707255749714451,-0.4186239648138867
0.4,0.6,5.964161354421282e-07,1.040004453643959,-0.361366961266202,-0.3613565447105686,-0.3795215162525192,-0.3858752304658276,-0.3176834146647156,-0.3210810387781027,-0.3377423574760476,-0.3455351045259163
0.4,0.5,5.964161354421282e-07,0.8719887568651661,-0.3469879924630556,-0.3458924363001134,-0.3042560262156126,-0.307928261003535,-0.3275611143465039,-0.3041196039172377,-0.2747284365622036,-0.2709137808481091
0.4,0.4,5.964161354421282e-07,0.7085130668623149,-0.3201376729475251,-0.3108673356403423,-0.1665791203013996,-0.1831369571515236,-0.2924983846125247,-0.2866670492968033,-0.1582717616010351,-0.1724273787007336
0.5,0.9,4.970134462017736e-07,2.41573522184363,-0.5727144386029366,-0.5880619815939938,-0.7937709490684859,-0.8238523822599974,-0.546439575531384,-0.5241622506491679,-0.6784302420217281,-0.6871910986446137
0.5,0.8,4.970134462017736e-07,1.24047842129593,-0.5167316923157483,-0.5553498942946362,-0.5998757445636548,-0.6036500389039132,-0.4791193720960219,-0.5070595423044026,-0.5294755970681518,-0.5498919073726842
0.5,0.7,4.970134462017736e-07,0.910918146299132,-0.4991361235588195,-0.5366412876269455,-0.4427850589753629,-0.4809808900085167,-0.4718871739302395,-0.4860423662224679,-0.4256661882778026,-0.4381754751575213
