m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0014033698161578,,,,,,-0.0007960994356634,,,,,
0.1,0.8,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0012654165985178,,,,,,-0.0007982727106359,,,,,
0.1,0.7,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0012874324003513,,,,,,-0.0005778390471228,,,,,
0.1,0.6,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.001222072745022,,,,,,-0.0008595027629175,,,,,
0.1,0.5,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0008938764614068,,,,,,-0.0004536905346356,,,,,
0.1,0.4,,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0007979286001342,,,,,,-0.0002391641022826,,,,,
0.1,0.3,0.3117058697243695,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0009399506464122,,-0.0127403801513384,,0.0104137844865025,,-0.0005829481141337,,0.0093007830500467,,0.0093007830500467,
0.1,0.2,1.1467204006373657,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0007058414443708,,-0.0025998806270111,,0.0008683849925616,,-0.0002122171310249,,0.0008537419392835,,0.0008537419392835,
0.1,0.1,2.0917345707455715,1.10447432489283e-06,1.4129256384925348,1.4142135623730956,-0.0007167271918199,,-0.0005120636031498,,-0.0008064558664574,,-0.0006260150665082,,-0.0005379210758428,,-0.0005379210758428,
0.2,0.9,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0019459699399726,,,,,,-0.0012242859777857,,,,,
0.2,0.8,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0016274690964442,,,,,,-0.0009889034649793,,,,,
0.2,0.7,,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0017821077044038,,,,,,-0.0011767504145788,,,,,
0.2,0.6,0.0938055749762697,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0016543760983363,,-0.0594284155644783,,0.0410824436174317,,-0.001002486244746,,0.0397724095186245,,0.0397724095186245,
0.2,0.5,0.8317965641677488,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.001539602912969,,-0.0051829011218198,,0.0014614445704952,,-0.0009313737950154,,0.0012590801142453,,0.0012590801142453,
0.2,0.4,1.3516519423924434,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0015510596999311,,-0.0025472084842156,,-0.0004882722497612,,-0.0007894689874543,,-0.0001766644631109,,-0.0001766644631109,
0.2,0.3,1.7873901856317849,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0015472532835255,,-0.0017335030677364,,-0.0011953120088554,,-0.0008539360122592,,-0.0006880931569841,,-0.0006880931569841,
0.2,0.2,2.195703432115422,1.2425336155044336e-06,1.4129256384925348,1.4142135623730956,-0.0012032405356762,,-0.001080003263252,,-0.0014110477159293,,-0.0009272099808792,,-0.0009131038800781,,-0.0009131038800781,
0.3,0.9,,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0025250800814266,,,,,,-0.0017715186425434,,,,,
0.3,0.8,0.6555876770041492,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0024725483091428,,-0.0088843925975311,,0.0020157061738267,,-0.0016861154988639,,0.0018422867960645,,0.0018422867960645,
0.3,0.7,1.3417092459390991,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0022795277062418,,-0.0037002050419888,,-0.001209749046198,,-0.0015154646047352,,-0.0007655745821728,,-0.0007655745821728,
0.3,0.6,1.6538596199166304,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0021497017609966,,-0.0026738281209254,,-0.0019078523076299,,-0.0015020629834683,,-0.0012212353778569,,-0.0012212353778569,
