m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173912920191102,0.066970231981443,0.0176170445112038,0.0669284840259994
0.1,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175517560488236,0.0707452274703237,0.0176464735553991,0.0708296909277998
0.1,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0185253260482482,0.0701129158962881,0.0186571431241372,0.0701820346857992
0.1,0.6,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0179554371090283,0.0721195556924617,0.0180770217516085,0.0721890070838269
0.1,0.5,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175817440661554,0.0680669244785423,0.0177640864091898,0.0682102935770002
0.1,0.4,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0186884160496338,0.0700497672400966,0.0189412660392201,0.0699991170650726
0.1,0.3,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0179442528026937,0.068854356338633,0.0181113147266065,0.0689506309798033
0.1,0.2,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0170842867168673,0.0662873599033197,0.0173122509513933,0.0663524252512366
0.1,0.1,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0177784504713056,0.069561335991622,0.0179030955274109,0.0695034916832991
0.2,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182854756561589,0.0693222651195022,0.0183961829593117,0.0695644342755599
0.2,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0165472662895149,0.0716721507285589,0.016691072972277,0.0716058795996958
0.2,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173166892322443,0.0685997565022672,0.0173959047904786,0.0685947553556573
0.2,0.6,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173922952236527,0.0683418462481779,0.0175014715261077,0.0683430859091102
0.2,0.5,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0180211116379259,0.0659294707836388,0.0181213180162189,0.0660638008693273
0.2,0.4,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0183879769415861,0.0716464328064674,0.018521712085338,0.0717531577445999
0.2,0.3,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0170277803599677,0.0705712320448266,0.0171114460567414,0.0705499280831987
0.2,0.2,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0186056972288534,0.0696946404033516,0.0188560245791913,0.0697078463092276
0.3,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174616941541318,0.0682325616572177,0.017587146903325,0.068209521064706
0.3,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0169060595055541,0.0684933626734017,0.0170936855663112,0.0684847115898292
0.3,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173770562898952,0.0690914837039846,0.0174698665526494,0.0691468846881817
0.3,0.6,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175962983979682,0.0698897745980247,0.0179095131046554,0.0699554478633037
0.3,0.5,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0165505288522363,0.0727219802555211,0.0167976004357955,0.0728533881240997
0.3,0.4,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0177065408146659,0.07109820264853,0.0177842729784178,0.0711214965798029
0.3,0.3,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173631416355559,0.0709244611897198,0.017407378976072,0.0708960507755014
0.4,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175403773194421,0.0679382154355752,0.0178079388720239,0.0679570941076501
0.4,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173943937955843,0.0690013305559181,0.0175686814875846,0.0689754692871435
0.4,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0176049935917071,0.0700360002482643,0.0178145053856112,0.0700472003140008
0.4,0.6,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182819584680275,0.0684028679572517,0.0184486629210623,0.0685398285767936
0.4,0.5,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174788299495914,0.0690589388078227,0.0175687859278884,0.0690563944541826
0.4,0.4,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0169955675687154,0.0674823089493532,0.0171754927449856,0.0674031477193186
0.5,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174758958675503,0.072526645937732,0.017613191390148,0.0726444724552924
0.5,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.018380678743006,0.0684208665413021,0.0186522610670756,0.0685890440194764
0.5,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175759615200619,0.069241849692146,0.0177136952797019,0.0693928814770755
0.5,0.6,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174076315850225,0.0697189718171334,0.0176850385547417,0.0697233233519674
0.5,0.5,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182396634701955,0.069401581961195,0.0183593710402953,0.0694405536816489
0.6,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0171234483833685,0.0709066473587351,0.0172973802189811,0.0708530401366505
0.6,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0177913799186053,0.0688135661986532,0.0179025228869703,0.0689362693884452
0.6,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0172441850136877,0.0699716244760538,0.0172802535975846,0.0700299315007316
0.6,0.6,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.017697145215574,0.0690309774223228,0.0179256858403208,0.068954230218463
0.7,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.018070253417106,0.0697662414854209,0.0182680436212001,0.0698431664965275
0.7,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0183482341764881,0.069555366628759,0.0184614660352234,0.0695571166778652
0.7,0.7,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173073279845233,0.066514695835525,0.0174758892515255,0.0665347174074706
0.8,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0176927840730767,0.0691570413178873,0.0179093688806369,0.0690818174240341
0.8,0.8,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0181982418608013,0.0670255428857156,0.0184187115080509,0.0671161762442873
0.9,0.9,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0183198752972824,0.0699732359525227,0.0184582153836813,0.0699059980314286
0.01,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0170745341847846,0.0704464924575125,0.0172988742835232,0.070448680128536
0.01,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174546422569519,0.0698292228399357,0.017634195370087,0.069892173191162
0.01,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0181273656357521,0.0673140751423431,0.0182184646839266,0.0673713389010586
0.01,0.06,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182091224724628,0.0717486270446176,0.0183493210346107,0.0717647352085659
0.01,0.05,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0168105269752435,0.0691069448598513,0.0170906613054937,0.0693010863966901
0.01,0.04,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0177417343290137,0.0671710690598467,0.0178768707838521,0.0672378530957814
0.01,0.03,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0168219131178638,0.0704059266522204,0.0171013659122752,0.0704443277964295
0.01,0.02,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0172809640163896,0.0693239366963829,0.0174807141364959,0.0694263138273514
0.01,0.01,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0179094206425034,0.0707124900186055,0.0180034526907649,0.0707014833545109
0.02,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174463446596734,0.071430096445473,0.017628931502765,0.0714855084266627
0.02,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175104393959829,0.0693645263096925,0.0176699058046834,0.0694326480518233
0.02,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.01743486413483,0.0697043572075424,0.0175587306057238,0.0698017728649851
0.02,0.06,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175559626403535,0.0683156678167992,0.0176441652723084,0.0683505713450183
0.02,0.05,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173339262634224,0.069865736732462,0.0175142124643725,0.0698513801142456
0.02,0.04,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0178043196800867,0.0676808848037915,0.0179793636089679,0.0676541372183591
0.02,0.03,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173219848537545,0.0696076952356122,0.0175136733652472,0.0697256567883378
0.02,0.02,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0188843216332889,0.068466241183802,0.0190971331014904,0.0686161286139974
0.03,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174702561037808,0.0695078723341192,0.0175484913930639,0.0694949821722328
0.03,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182298149862194,0.0682687139360889,0.0185194135599997,0.0682928480958768
0.03,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0178045730060705,0.0685513556594177,0.0181086844897388,0.0685397570718068
0.03,0.06,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0172849623237757,0.0662291016680695,0.0175075417858492,0.0662564198000838
0.03,0.05,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0180575663383358,0.0702748100581034,0.0183508302124368,0.0703158847165167
0.03,0.04,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0172880504586255,0.0705246106047428,0.0174642315006096,0.0706186618975986
0.03,0.03,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175281458601278,0.0690132770085713,0.0177628123043421,0.0691378911914586
0.04,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0186559667125451,0.0693717832785196,0.018810778856065,0.0694509170176368
0.04,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0170835341699052,0.0660776779394871,0.0173026911810138,0.0660914093207349
0.04,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0190043333623247,0.0690568801064538,0.0192460974000367,0.0690638578421478
0.04,0.06,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0171149000189517,0.0698143298344441,0.0173227290335659,0.0699103298447497
0.04,0.05,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182785954647777,0.0736992981384954,0.0183738959845699,0.073691549678505
0.04,0.04,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0168138476252621,0.0688045235105313,0.0171048784394369,0.0689325709523354
0.05,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0176146879648131,0.0680808872423248,0.0178944664125605,0.0682232733190104
0.05,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0173065932385346,0.0687953171040893,0.0174162179461483,0.0687654872084509
0.05,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0191014722223303,0.0696587296306846,0.0192530257332816,0.0696619928586148
0.05,0.06,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0174611569894461,0.0665611595628143,0.0176073773024613,0.0665575139062238
0.05,0.05,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0171664441404681,0.0669894373953586,0.0172827768944306,0.0669825645896421
0.06,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0178276000371846,0.0666045212783883,0.018117143752303,0.0666192704597045
0.06,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0182113482922766,0.0693436219664489,0.0184478728114163,0.0692199742086297
0.06,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0172350396709218,0.0704619601167543,0.0174494273391014,0.0704764077067881
0.06,0.06,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0176745221064023,0.0724936202351135,0.0178243913686555,0.0725022128903923
0.07,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0179832739844325,0.0692455303525732,0.0182374135429144,0.0692328503890627
0.07,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0186094917725778,0.0699922435967557,0.0187852222560096,0.0701311490761184
0.07,0.07,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0175439945031103,0.0714172467704239,0.0177745400651836,0.0714871685322495
0.08,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0176117484927325,0.0697204954761654,0.0176274097776052,0.0698078426636895
0.08,0.08,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0168737880815419,0.0685835996465722,0.0170886914603223,0.0687239835607833
0.09,0.09,0.25,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0171779020370611,0.0671808429252448,0.0174083071619711,0.0672764790163204
