m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.2,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.1,0.2742805138243148,1.10447432489283e-06,1.416404270893029,1.4142135623730956,0.0172972515839469,0.0690502864377098,0.0173813988350258,0.0689937649061804
0.2,0.9,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.4,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.3,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.2,0.3038248963012889,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,0.0183727417197101,0.0702835460600627,0.0184574839035579,0.0702810614044769
0.3,0.9,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.6,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.5,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.4,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.3,0.340571384191897,1.420038417719353e-06,1.416404270893029,1.4142135623730956,0.0183805359526823,0.0714975765374662,0.0185293633817147,0.0715306209759777
0.4,0.9,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.7,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.6,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.5,0.0049050137707703,1.656711487339245e-06,1.416404270893029,1.4142135623730956,5.534089436917194,13.435057759037068,5.533562491471725,13.433927787928674
0.4,0.4,0.3875561543179932,1.656711487339245e-06,1.416404270893029,1.4142135623730956,0.0190689421858171,0.07399713736883,0.0190138069611531,0.0741169056925528
0.5,0.9,,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,,,,
0.5,0.8,,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,,,,
0.5,0.7,,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,,,,
0.5,0.6,0.1110728003081231,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,0.0809591609636964,0.3280888183840471,0.0808673739810236,0.3282456274282269
0.5,0.5,0.4498333331967113,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,0.0211818871203687,0.0755770246087214,0.0213027326947796,0.0755739193785433
0.6,0.9,,2.485067231008867e-06,1.416404270893029,1.4142135623730956,,,,
0.6,0.8,,2.485067231008867e-06,1.416404270893029,1.4142135623730956,,,,
