m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0022894213942393,-0.0090508111533416,,,,,-0.0022867466526564,-0.0089387781027318,,,,
0.1,0.8,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0017067204886672,-0.0081656769322616,,,,,-0.0017439290257898,-0.0083657225751871,,,,
0.1,0.7,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0018102535731162,-0.0089152642873761,,,,,-0.0016817093501102,-0.0089726112190079,,,,
0.1,0.6,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0017036111779505,-0.005256891402903,,,,,-0.0016634747753098,-0.005118188519731,,,,
0.1,0.5,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.001975545680937,-0.0078440434607513,,,,,-0.0019553088294783,-0.0079109499517567,,,,
0.1,0.4,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0017729321784829,-0.0071548604656256,,,,,-0.0017498337046097,-0.0071789048771107,,,,
0.1,0.3,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0012137780250693,-0.0044280145647066,,,,,-0.0011103139993222,-0.0042555493276775,,,,
0.1,0.2,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0012459951030446,-0.0057546179082078,,,,,-0.001196486121165,-0.0056608886325167,,,,
0.1,0.1,0.5427901123391375,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0012861738356636,-0.0055247334011687,-0.0001596656930666,7.516822631360026e-05,-0.0021158235015456,-0.0053940665326353,-0.0012701399005599,-0.0055778010368673,-0.0021177052366508,-0.0053375438399261,-0.0021177052366508,-0.0053375438399261
0.2,0.9,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0039198413519066,-0.0131430552649771,,,,,-0.003857788381806,-0.0131251971225032,,,,
0.2,0.8,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0045819420038839,-0.0114907809179017,,,,,-0.0044215727311317,-0.0113291013334596,,,,
0.2,0.7,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0038595131597665,-0.0112597617658655,,,,,-0.0038480568158502,-0.0113388826637884,,,,
0.2,0.6,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.00353413612725,-0.0096533295149133,,,,,-0.0032668269747559,-0.009607140293133,,,,
0.2,0.5,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0029711242768304,-0.0118649172343074,,,,,-0.0027728414002205,-0.0117305422202591,,,,
0.2,0.4,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0034357511666422,-0.0093568860730178,,,,,-0.0034844637461221,-0.0092280135559218,,,,
0.2,0.3,0.0363323808127653,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0025358925135502,-0.0082514746323249,-0.1620208160593696,-1.5498576640365502,0.1109660757242202,0.3267367425299876,-0.0025185939461124,-0.0081859035274471,0.110914278471674,0.3267503987530447,0.110914278471674,0.3267503987530447
