m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.2,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,,,,
0.1,0.1,0.806971777059995,1.10447432489283e-06,1.416404270893029,1.4142135623730956,0.0059496988942903,0.0223804382548826,0.0064979523160758,0.0224320030204974
0.2,0.9,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.4,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,,,,
0.2,0.3,0.3405713879183368,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,0.0128385446053987,0.0393206644058183,0.0130490406577271,0.0393490919596284
0.2,0.2,0.8739050165931117,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,0.0049481706632634,0.0204610046660538,0.0054924964615361,0.0205173316764018
0.3,0.9,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.6,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,,,,
0.3,0.5,0.1602532415164581,1.420038417719353e-06,1.416404270893029,1.4142135623730956,0.0266957974575599,0.0657588580811697,0.0266705209065424,0.0659247589588604
0.3,0.4,0.6213797386317867,1.420038417719353e-06,1.416404270893029,1.4142135623730956,0.0072219642636098,0.0248866085272451,0.0076371198429942,0.0250043863262731
0.3,0.3,0.9538617353634998,1.420038417719353e-06,1.416404270893029,1.4142135623730956,0.0044830845891152,0.0212153529390587,0.005029483120878,0.0212565645456817
0.4,0.9,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.7,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,,,,
0.4,0.6,0.5266041229989408,1.656711487339245e-06,1.416404270893029,1.4142135623730956,0.0083521304399304,0.0266638803444317,0.0088209960543951,0.0266906219666799
0.4,0.5,0.8305754872671981,1.656711487339245e-06,1.416404270893029,1.4142135623730956,0.0052851951596522,0.0214082111311318,0.0058135722566662,0.0215465963556158
0.4,0.4,1.0514042110176187,1.656711487339245e-06,1.416404270893029,1.4142135623730956,0.0042020486166967,0.0210512515098822,0.0047745914292717,0.0212994255747603
0.5,0.9,,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,,,,
0.5,0.8,,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,,,,
0.5,0.7,0.7193207640249707,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,0.0062033203466274,0.0234262037290231,0.0067734001172933,0.0234911679730866
0.5,0.6,1.0087843406163954,1.9880537848070942e-06,1.416404270893029,1.4142135623730956,0.0044764011619387,0.0207373059397925,0.0051106410882551,0.0206881704251398
