m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0073737666282838,0.0292158161651787,0.0076054036539783,0.029197844898175
0.1,0.8,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0075793209810718,0.0286462718703843,0.0078874058355604,0.0286347190356585
0.1,0.7,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0072870555765512,0.0286146672435333,0.007657964589855,0.0287218173164817
0.1,0.6,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0073490354721059,0.0281999271509599,0.0074816539552914,0.0281469018910151
0.1,0.5,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0070543861950555,0.0276830545575678,0.0073665669489067,0.0277397863114327
0.1,0.4,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0075473025583928,0.0266120974135589,0.0076963110227945,0.0267962397027315
0.1,0.3,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0068305840010238,0.0259673954447288,0.0072722878865606,0.0259102382052334
0.1,0.2,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0064998011249848,0.0261919999046659,0.0067060925340533,0.0261953696604968
0.1,0.1,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0066100903575056,0.0266659481864314,0.0069631578998442,0.0267337634600085
0.2,0.9,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0089849312938478,0.0335970222316551,0.009194362777666,0.0335541897783301
0.2,0.8,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0087494056091901,0.0324045719308922,0.0090019751581022,0.0324707161990526
0.2,0.7,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0083293808113831,0.030025743675799,0.0085209616617086,0.0300047376208444
0.2,0.6,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.008073228377177,0.0323711071095976,0.0083747064895879,0.0324201690239303
0.2,0.5,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0079810421910352,0.0315107604013526,0.0082190120695421,0.0315897445284053
0.2,0.4,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0078385533343429,0.0311570190629584,0.0081955319428031,0.0310843887579007
0.2,0.3,0.75,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0078156400310423,0.0308735980679272,0.0081452385493268,0.0309714358804828
