m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0017562900232789,-0.0034554483863398,,,,,-0.0016945743272066,-0.0034480623073374,,,,
0.1,0.8,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0013947296673708,-0.0045388697732095,,,,,-0.0011217363448896,-0.0046245339982309,,,,
0.1,0.7,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0013414176086412,-0.0025032458026325,,,,,-0.0009893520877016,-0.0023717241505,,,,
0.1,0.6,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0014165213222664,-0.0022641603549563,,,,,-0.0012888970088875,-0.0023586198018902,,,,
0.1,0.5,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0008448115908463,-0.0037223767856194,,,,,-0.0007502288746802,-0.0035356179095334,,,,
0.1,0.4,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0010346822740037,-0.0028236197760895,,,,,-0.0008118143399947,-0.0028302717841319,,,,
0.1,0.3,,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0008118854109024,-0.0028580042677926,,,,,-0.0006291397186289,-0.0027876838503177,,,,
0.1,0.2,0.0842238068580627,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.0011476897014794,-0.0017691866148998,-0.0541135732085124,-0.2160968507855133,0.0470555552052585,0.118929428401317,-0.0008300945296763,-0.0018313038815757,0.0469100053442838,0.1188249162562585,0.0469100053442838,0.1188249162562585
0.1,0.1,1.0678788221574913,1.10447432489283e-06,1.416404270893029,1.4142135623730956,-0.000637191545461,-0.0024181929162134,-6.562532951359928e-05,-0.0007396788940148,-0.0009081732865595,-0.002707133887708,-0.0002927464052394,-0.0021464072305234,-0.0007242588651693,-0.0026404126715394,-0.0007242588651693,-0.0026404126715394
0.2,0.9,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0025244737521632,-0.0070218656037618,,,,,-0.0023717074685804,-0.0068902318943048,,,,
0.2,0.8,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0019095478820096,-0.0067754544230092,,,,,-0.0017384048237644,-0.0067195939856574,,,,
0.2,0.7,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0020161342083366,-0.0048025921999391,,,,,-0.0018704665604254,-0.0046784435612719,,,,
0.2,0.6,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0019509546809883,-0.0069989754349487,,,,,-0.001646837344535,-0.006804340710718,,,,
0.2,0.5,,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.001741899454539,-0.0066342481715991,,,,,-0.0012986055413164,-0.0065447326717081,,,,
0.2,0.4,0.1969503164291381,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0016372954538655,-0.0049879134527111,-0.0249605528697007,-0.0979112447189967,0.0165296809350685,0.0305245447698859,-0.0012864076212343,-0.0047962368375488,0.0162517198770319,0.0306038235021551,0.0162517198770319,0.0306038235021551
0.2,0.3,0.6558318735740907,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0019466554459531,-0.0047962885818401,-0.0043896043332661,-0.0166311084869205,0.0001388564921421,0.0002881241504626,-0.0016262796266303,-0.0047929706552079,0.0001907828140295,0.000342308494505,0.0001907828140295,0.000342308494505
0.2,0.2,1.146720403372712,1.2425336155044336e-06,1.416404270893029,1.4142135623730956,-0.0014792291494769,-0.0043728489006906,-0.0007747889389036,-0.0013462033975872,-0.0021268177966028,-0.0059120826086448,-0.0012556326381419,-0.0043794031686956,-0.0018610077896663,-0.0058695236041437,-0.0018610077896663,-0.0058695236041437
0.3,0.9,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.0035289655542187,-0.010064724290363,,,,,-0.003123497754619,-0.0101705929515699,,,,
0.3,0.8,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.0032788004198266,-0.0102195291660898,,,,,-0.0029360868352623,-0.0101350323988935,,,,
0.3,0.7,,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.0028740082521198,-0.0094434608278447,,,,,-0.0025872231414417,-0.009336103735143,,,,
0.3,0.6,0.0542061912175148,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.0028484536159799,-0.008786150370983,-0.1112095906515597,-0.6167778008473151,0.0757365649452217,0.1562393813341941,-0.0025577836786199,-0.0086824462618821,0.0757241198447093,0.1561938798392559,0.0757241198447093,0.1561938798392559
0.3,0.5,0.5828996559875119,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.0025150668703759,-0.0072359059903098,-0.0069964253448321,-0.025362367279535,0.0006360477182759,-0.0030459653090994,-0.002282318583578,-0.0072666083452646,0.000586007158325,-0.0030745534466856,0.000586007158325,-0.0030745534466856
0.3,0.4,0.9476175694143072,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.002534786004668,-0.0079786220751587,-0.0030018987684644,-0.009976774158928,-0.0025856899486015,-0.008160763400258,-0.0022038451651867,-0.0079535734695575,-0.002423137207734,-0.0082533878717391,-0.002423137207734,-0.0082533878717391
0.3,0.3,1.239732240375534,1.420038417719353e-06,1.416404270893029,1.4142135623730956,-0.0025731566180131,-0.008176282746061,-0.0015861902574122,-0.0027815477480528,-0.0030927716369889,-0.0097850958912906,-0.0021968338313311,-0.0081580648698123,-0.0027446440399852,-0.0096122519260725,-0.0027446440399852,-0.0096122519260725
0.4,0.9,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,-0.0045753742442637,-0.0138312574355028,,,,,-0.0042873652192711,-0.0137233517663335,,,,
0.4,0.8,,1.656711487339245e-06,1.416404270893029,1.4142135623730956,-0.0047451623222576,-0.012979961076237,,,,,-0.0042285338624404,-0.0129367630477817,,,,
