m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022719115573937,,0.0033272839136804,
0.1,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021361283313861,,0.0031919565303983,
0.1,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022695741094218,,0.0032664989145189,
0.1,0.6,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0020745490586778,,0.0031626564763555,
0.1,0.5,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022532948948802,,0.0032951866232817,
0.1,0.4,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022183303566538,,0.0032569821145004,
0.1,0.3,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0023654523813095,,0.0034296739390977,
0.1,0.2,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021943808648345,,0.0032613827936732,
0.1,0.1,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022571515633115,,0.0032923276051722,
0.2,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022045456040813,,0.0032232665220265,
0.2,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021546407731273,,0.0031475633553533,
0.2,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.00219780020281,,0.0032647490083019,
0.2,0.6,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022617278502013,,0.0032075863211268,
0.2,0.5,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022635978001445,,0.0033403583628109,
0.2,0.4,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022668569677714,,0.003168126636512,
0.2,0.3,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.002309676707311,,0.0033492459093546,
0.2,0.2,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021570927535203,,0.0031964514337418,
0.3,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022700327875033,,0.0032854162627458,
0.3,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.002185855160772,,0.003186171091703,
0.3,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021305087459587,,0.0031700138436912,
0.3,0.6,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022186283102254,,0.0031880392839584,
0.3,0.5,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022035737166828,,0.0031729241287709,
0.3,0.4,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021439669006536,,0.0031363266703563,
0.3,0.3,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0020975399336152,,0.003228152609588,
0.4,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021817244037664,,0.0032237312076319,
0.4,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021328946859984,,0.0032029764050416,
0.4,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021057047525376,,0.0032856716316697,
0.4,0.6,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022023560728173,,0.0033329317742704,
0.4,0.5,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021934114404601,,0.0032183044782109,
0.4,0.4,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022250332299296,,0.0033772937396994,
0.5,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022895927116913,,0.0033078597767903,
0.5,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022837723099879,,0.0032206497624929,
0.5,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0020638645835032,,0.0031720851383517,
0.5,0.6,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022176626449297,,0.0031679762695372,
0.5,0.5,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0023179343588409,,0.0033203305616383,
0.6,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021597959151721,,0.0031037946688522,
0.6,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.002264073621175,,0.0031920435085773,
0.6,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021995997522898,,0.0032376397535847,
0.6,0.6,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022756876155522,,0.0032593169463151,
0.7,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021561694680559,,0.0031553877813302,
0.7,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022658033898583,,0.0032141739290446,
0.7,0.7,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022503555320693,,0.0032806822771527,
0.8,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022848516296832,,0.0032619699516287,
0.8,0.8,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022253465139995,,0.0032647388361223,
0.9,0.9,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022142536698658,,0.003163814878291,
0.01,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0023161303599829,,0.0033594078645852,
0.01,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021213372945781,,0.0032104364464248,
0.01,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022880826828293,,0.0033652994092177,
0.01,0.06,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021429237255554,,0.0031066838928489,
0.01,0.05,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0020962535562096,,0.0031740575397032,
0.01,0.04,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021911809875919,,0.0032142982123133,
0.01,0.03,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0023024376892705,,0.0032883816056948,
0.01,0.02,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021341383392635,,0.0032576355659323,
0.01,0.01,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021051717979414,,0.0031805163899203,
0.02,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021562078149669,,0.0032060908536978,
0.02,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021492462692231,,0.0031792983070731,
0.02,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021257881419812,,0.0031693272979781,
0.02,0.06,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.002166042100186,,0.0031163849708849,
0.02,0.05,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021894016301018,,0.0032696485879122,
0.02,0.04,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.002194585875598,,0.0031743136225635,
0.02,0.03,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021310897024917,,0.0031996559557836,
0.02,0.02,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021842386868812,,0.0032213897332779,
0.03,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022468943435928,,0.003232345975869,
0.03,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021728676591381,,0.0031886219659252,
0.03,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021356673987865,,0.0031493648473466,
0.03,0.06,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022437991696378,,0.0032564693305411,
0.03,0.05,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021246165724975,,0.0031234566340101,
0.03,0.04,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022830891150887,,0.0032637652363236,
0.03,0.03,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0023111275515721,,0.0033553299520074,
0.04,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021859878560281,,0.0032618365371309,
0.04,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022209483963984,,0.0032552886216388,
0.04,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021991026518895,,0.0033209588353915,
0.04,0.06,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0020914802689441,,0.0031801327682681,
0.04,0.05,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0020432088347416,,0.0031564785215233,
0.04,0.04,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022953985022271,,0.0032955191092265,
0.05,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021740015521541,,0.0032249299822595,
0.05,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022550977470904,,0.003270631916104,
0.05,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021058377644333,,0.0031642223341105,
0.05,0.06,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022071490006823,,0.003218059957926,
0.05,0.05,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022686872499334,,0.0033738526011672,
0.06,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022026361705716,,0.0032441316380479,
0.06,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021107955305582,,0.0031794049285256,
0.06,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022217751478688,,0.0033963991120799,
0.06,0.06,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022367218672038,,0.0032580475126963,
0.07,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021782218666019,,0.0031964406332461,
0.07,0.08,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0022383734153058,,0.0033037103237264,
0.07,0.07,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021070912494509,,0.0032102292734146,
0.08,0.09,2.0,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0021397600243528,,0.003176670648639,
