m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.2,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.1,0.2742805138243148,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.0149393975519012,0.0630482405349338,0.0153260706420987,0.0633513575163875
0.2,0.9,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.4,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.3,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.2,0.3038248963012889,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0139734812131307,0.0582183218528088,0.0146037292694497,0.0582716240960411
0.3,0.9,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.6,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.5,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.4,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.3,0.340571384191897,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0120974845921178,0.0570630459071933,0.0126202188740644,0.0570632592852992
0.4,0.9,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.7,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.6,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.5,0.0049050137707703,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,3.637050823046522,4.584153276604884,3.637107948671542,4.5846188711446665
0.4,0.4,0.3875561543179932,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0106684258604644,0.0542857775217777,0.0112681730437212,0.0543399561754758
0.5,0.9,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.8,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.7,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.6,0.1110728003081231,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0372077374545513,0.1126962354826587,0.0372931633118095,0.11271453416631
0.5,0.5,0.4498333331967113,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0090595901549198,0.0515907790430089,0.009602696802308,0.0516031349089661
0.6,0.9,,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,,,,
0.6,0.8,,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,,,,
0.6,0.7,0.0832858887364506,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0487910341654122,0.1461612399061429,0.0487506895319267,0.1460553819438185
0.6,0.6,0.5365305212738196,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0077559110793137,0.0485052174916731,0.008536125690535,0.0486553512102213
0.7,0.9,,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,,,,
0.7,0.8,,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,,,,
0.7,0.7,0.6661620214999873,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0060538053894243,0.0430525549178961,0.007325793408319,0.0430267403569408
0.8,0.9,,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,,,,
0.8,0.8,0.8838200451568599,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.004647938699113,0.041833055852637,0.0059610358197822,0.0418660541558884
0.9,0.9,0.25,9.94026892403547e-06,1.4109559005377446,1.4142135623730956,0.0162447942290223,0.0611235099864216,0.0164329288060459,0.0610736443317806
0.01,0.09,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.05,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.04,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.03,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.02,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.01,0.2522318418825319,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0156854930065452,0.0635035752597173,0.0160642699247685,0.0635311428508884
0.02,0.09,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.08,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.07,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.06,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.05,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.04,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.03,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.02,0.2545041085516012,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0166182681786045,0.0628702985024828,0.0171511665886174,0.0630639221638537
0.03,0.09,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.08,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.07,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.06,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.05,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.04,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.03,0.2568179105304756,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0163455684246796,0.0669992270673767,0.0168843429098656,0.0670036414413318
0.04,0.09,,1.035444679587028e-06,1.4109559005377446,1.4142135623730956,,,,
0.04,0.08,,1.035444679587028e-06,1.4109559005377446,1.4142135623730956,,,,
0.04,0.07,,1.035444679587028e-06,1.4109559005377446,1.4142135623730956,,,,
0.04,0.06,,1.035444679587028e-06,1.4109559005377446,1.4142135623730956,,,,
0.04,0.05,0.25,1.035444679587028e-06,1.4109559005377446,1.4142135623730956,0.0163538876795444,0.0647633556264569,0.0166875026277914,0.0648954441250391
0.04,0.04,0.2591744125989575,1.035444679587028e-06,1.4109559005377446,1.4142135623730956,0.0156003788581458,0.0660093121925853,0.015903113726262,0.0662101570006546
