m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0041431488302698,-0.0184409786132938,,,,,-0.0041404031015697,-0.0184872408830291,,,,
0.1,0.8,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0036042409565931,-0.0150441441169753,,,,,-0.0035208280058517,-0.0148646192490385,,,,
0.1,0.7,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0025313745197899,-0.0104445750334831,,,,,-0.0025121667733825,-0.0102971237714659,,,,
0.1,0.6,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0036183175058534,-0.0168592492860972,,,,,-0.003793568786041,-0.0166756119152999,,,,
0.1,0.5,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0024461073285083,-0.0144158379109066,,,,,-0.0021260677052437,-0.014242582695007,,,,
0.1,0.4,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0019428219409876,-0.0105508227260183,,,,,-0.0017061832801943,-0.0105893009075151,,,,
0.1,0.3,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0034180887091915,-0.0093746417409955,,,,,-0.0030409991026854,-0.0094172552223593,,,,
0.1,0.2,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0025443877254745,-0.0062817016933332,,,,,-0.0025675382154677,-0.0062046445609606,,,,
0.1,0.1,0.2742805138243148,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0036402931283217,-0.0054086463025963,-0.000995739364775,0.0011062559891501,-0.0041835936680154,-0.0095172939049505,-0.0035386684572574,-0.0053181836015313,-0.0041285017427152,-0.0092531480152731,-0.0041285017427152,-0.0092531480152731
0.2,0.9,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0073673201513913,-0.0306783452020057,,,,,-0.0071975165393763,-0.0302593637751031,,,,
0.2,0.8,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0061284042278472,-0.0321452425165181,,,,,-0.0058788606974721,-0.0321243547206954,,,,
0.2,0.7,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0060324825029321,-0.0241899446146402,,,,,-0.0058076908393785,-0.0238582428944068,,,,
0.2,0.6,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0050647043346057,-0.020742868638998,,,,,-0.0049777589298461,-0.0205623098616,,,,
0.2,0.5,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0055844850841769,-0.021434083379259,,,,,-0.0055006481965548,-0.0214286872796959,,,,
0.2,0.4,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0050122400105953,-0.0213173192488889,,,,,-0.0047421371702729,-0.0215196857271019,,,,
0.2,0.3,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0061600000401656,-0.016503597917831,,,,,-0.0059993797021478,-0.0163795140952986,,,,
0.2,0.2,0.3038248963012889,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0045720975558713,-0.0155976290976597,-0.0010609008241068,0.0011700924262866,-0.0070711206739272,-0.0245747057165661,-0.0041298711840466,-0.0155305806290991,-0.0065410942315633,-0.0244741535589188,-0.0065410942315633,-0.0244741535589188
0.3,0.9,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.01258414696832,-0.0402330022687503,,,,,-0.0122756131294433,-0.0399769194117499,,,,
0.3,0.8,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0095877272042485,-0.0407490896177541,,,,,-0.0092922079666298,-0.040590737969305,,,,
