m,M,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,139.88104711199523,119.54886147346863,1.0481455140347569,1.0710207847715332,1.1463656885476945,1.1628284780574214
0.1,0.8,139.88104711199523,119.54886147346863,1.080039524690877,1.070488193030514,1.189244724633312,1.173288002228685
0.1,0.7,139.88104711199523,119.54886147346863,1.052777744697447,1.0672716804322882,1.1721533752818032,1.1605859542668695
0.1,0.6,139.88104711199523,119.54886147346863,1.0614034617468568,1.0315720334891871,1.169934504948818,1.1239149833446231
0.1,0.5,139.88104711199523,119.54886147346863,1.143263777556458,1.1006379249147489,1.2102618956598612,1.2171909485658066
0.1,0.4,139.88104711199523,119.54886147346863,1.0872760163105126,1.0688048916078536,1.1759853794076898,1.175652506515617
0.1,0.3,139.88104711199523,119.54886147346863,1.1107163844193428,1.1294551957798804,1.1787153481677273,1.2084237831797986
0.1,0.2,139.88104711199523,119.54886147346863,1.1447085424122267,1.1476977844830667,1.2137731952657969,1.2420888785522175
0.1,0.1,139.88104711199523,119.54886147346863,1.061163419798669,1.093894864979488,1.1314555466195442,1.183099491211042
0.2,0.9,139.88104711199523,119.54886147346863,1.0820898472137124,1.0493017772803286,1.1548300899644337,1.1177379191269163
0.2,0.8,139.88104711199523,119.54886147346863,1.1341537655884315,1.1033091816665614,1.21580398807932,1.1925203603144716
0.2,0.7,139.88104711199523,119.54886147346863,1.082823536879315,1.052464077874541,1.1922861440572243,1.1364111245294852
0.2,0.6,139.88104711199523,119.54886147346863,1.0553666292145358,1.1206785198051947,1.146502797384829,1.2172591747292667
0.2,0.5,139.88104711199523,119.54886147346863,1.0901938463824066,1.0951261772697174,1.1869055615745048,1.1737899956567583
0.2,0.4,139.88104711199523,119.54886147346863,1.0318321753265791,1.0864182940739755,1.1329903590357149,1.1386858258481496
0.2,0.3,139.88104711199523,119.54886147346863,1.056898249368306,1.082409667664577,1.1357845597847414,1.183594580894212
0.2,0.2,139.88104711199523,119.54886147346863,1.0418046082782286,1.0905172571051645,1.1301410423529727,1.1865145553651475
0.3,0.9,139.88104711199523,119.54886147346863,1.0646158117498503,1.0632557879307456,1.1536642523901166,1.1448686737994749
0.3,0.8,139.88104711199523,119.54886147346863,1.014017106062293,1.13880462993614,1.091404653171992,1.2321971444438886
0.3,0.7,139.88104711199523,119.54886147346863,1.074764299968313,1.033646536044503,1.161920635705198,1.1233869085045458
0.3,0.6,139.88104711199523,119.54886147346863,1.0967419591040213,1.0896604655420894,1.174427274188003,1.185209443366769
0.3,0.5,139.88104711199523,119.54886147346863,1.0503915383450888,1.1114309192091694,1.1663318561586025,1.2029185333973529
0.3,0.4,139.88104711199523,119.54886147346863,1.054462716440799,1.0591990338494863,1.1359868532260002,1.1339432584701543
0.3,0.3,139.88104711199523,119.54886147346863,1.069084695510007,1.107547163387372,1.1557446261007285,1.1934456271117773
0.4,0.9,139.88104711199523,119.54886147346863,1.0494986951111946,1.1064958044051114,1.154374674307535,1.175540973354964
0.4,0.8,139.88104711199523,119.54886147346863,1.0892112923171184,1.065388885305525,1.1470647595880124,1.175722803645781
0.4,0.7,139.88104711199523,119.54886147346863,1.0503078249835016,1.1487711416213562,1.1511431373586702,1.2334052267457276
0.4,0.6,139.88104711199523,119.54886147346863,1.069989189890233,1.0815282574467309,1.1312874044829428,1.1827073926505016
0.4,0.5,139.88104711199523,119.54886147346863,1.0672331471832874,1.148947489295246,1.1757979197122468,1.2497989466207085
0.4,0.4,139.88104711199523,119.54886147346863,1.093077554447552,1.0614536608647558,1.1823380069893483,1.1621331505461645
0.5,0.9,139.88104711199523,119.54886147346863,1.057173824075026,1.07296615571469,1.183825578194061,1.170151686463437
0.5,0.8,139.88104711199523,119.54886147346863,1.124271491157935,1.1606659296993151,1.2160628949589778,1.2424406193938458
0.5,0.7,139.88104711199523,119.54886147346863,1.0509585829427863,1.0851092009415482,1.1342522872352316,1.17885310114344
0.5,0.6,139.88104711199523,119.54886147346863,1.1268855147755177,1.0505464327096652,1.2065844210638337,1.1210462904304423
0.5,0.5,139.88104711199523,119.54886147346863,1.1106032774383914,1.046822593783859,1.1865949354969956,1.1386362373292285
0.6,0.9,139.88104711199523,119.54886147346863,1.104515076181677,1.1035677767711276,1.2121550489323825,1.1812386380447286
0.6,0.8,139.88104711199523,119.54886147346863,1.117528491685493,1.0706728535990857,1.210955460087927,1.1604057363165512
0.6,0.7,139.88104711199523,119.54886147346863,1.0984196065110907,1.0485730017958266,1.2116818074462583,1.1395695363990768
0.6,0.6,139.88104711199523,119.54886147346863,1.0739767329487797,1.0897075153557163,1.1369716651567272,1.1697563747088762
0.7,0.9,139.88104711199523,119.54886147346863,1.0760335523593876,1.094077424439181,1.193653219832756,1.205403568226762
0.7,0.8,139.88104711199523,119.54886147346863,1.136465039971281,1.0946086263790276,1.2165001733296463,1.2038258888920146
0.7,0.7,139.88104711199523,119.54886147346863,1.0577785850178036,1.0580052114034793,1.1713634513660778,1.1501705661156163
0.8,0.9,139.88104711199523,119.54886147346863,1.087792282618885,1.0883763883332969,1.1921615157945415,1.199149822652591
0.8,0.8,139.88104711199523,119.54886147346863,1.0922130662444705,1.0971703522320793,1.1720733899607003,1.1713756730228562
0.9,0.9,139.88104711199523,119.54886147346863,1.0699699527268658,1.0535915256175603,1.1692059780529465,1.1540610010044454
0.01,0.09,139.88104711199523,119.54886147346863,1.109548943815523,1.0366456375659805,1.188720416346724,1.1465603761740852
0.01,0.08,139.88104711199523,119.54886147346863,1.054746632832023,1.095552860611469,1.1614951053795677,1.1644370944997997
0.01,0.07,139.88104711199523,119.54886147346863,1.051275590236411,1.094721837965423,1.1210693226745083,1.184612277058599
0.01,0.06,139.88104711199523,119.54886147346863,1.111775414749529,1.0038624344090965,1.1961240830604256,1.0956017539476837
0.01,0.05,139.88104711199523,119.54886147346863,1.0999717030410652,1.0737035606638683,1.185455308209554,1.164489666350088
0.01,0.04,139.88104711199523,119.54886147346863,1.0891098428164432,1.0647102426245787,1.158490197600775,1.1291777294733982
0.01,0.03,139.88104711199523,119.54886147346863,1.1131279182927476,1.110085730456192,1.2178767957317846,1.1818555085506732
0.01,0.02,139.88104711199523,119.54886147346863,1.1320285310984055,1.088837171884368,1.2405994572046812,1.1977200009952376
0.01,0.01,139.88104711199523,119.54886147346863,1.1042659263251686,1.0601528214644091,1.184541660045404,1.1475794622108255
