m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.2,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.1,0.5427901123391375,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.0084077532047687,0.0334770852377337,0.0090456252210795,0.0336793668509348
0.2,0.9,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.4,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.3,0.0363323808127653,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.1460857665528961,1.2400596195798776,0.1460934750437701,1.24006498031494
0.2,0.2,0.5938248334288069,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0086492063328953,0.0356812521547924,0.009325422950105,0.035914757622585
0.3,0.9,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.6,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.5,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.4,0.2641068568659838,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0229255602543664,0.0872834891251703,0.0232871308810521,0.0873328459109494
0.3,0.3,0.655831873165771,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0099788570713693,0.0353765761981335,0.0104317912360762,0.0356145864099739
0.4,0.9,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.7,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.6,0.1422631898561472,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0521920152407645,0.2022662179543473,0.0522817368272663,0.2019637903423315
0.4,0.5,0.4498333340802196,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0164528939854004,0.0623083960059085,0.0168156990180003,0.0622394976872013
0.4,0.4,0.7329456641245956,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0098039961552385,0.0369263553004931,0.0104815276126712,0.0372650254203211
0.5,0.9,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.8,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.7,0.1797533801464694,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0515217534045068,0.1916390413232035,0.0515811079118519,0.1916128739795492
0.5,0.6,0.6059517194651037,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0142457550816794,0.0534021465155836,0.0146556053334821,0.0534245752508143
0.5,0.5,0.8317965583006057,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0107105358788958,0.0375153664588031,0.0113967144179463,0.0374486282221215
0.6,0.9,,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,,,,
0.6,0.8,,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,,,,
0.6,0.7,0.7274341065221323,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0150327700630514,0.0569432120004674,0.0153178215723576,0.057188936373358
0.6,0.6,0.963862308997936,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0121114166478844,0.0408434764813957,0.01244429150628,0.040734551011411
0.7,0.9,,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,,,,
0.7,0.8,0.758982514375454,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0207335888419592,0.0713330523658369,0.0211769925241904,0.0713833464027177
0.7,0.7,1.1513325697360144,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0131949693267706,0.0456968150210256,0.0138173565159669,0.045823235198731
0.8,0.9,0.0554321572590694,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.5198184147793617,7.020241543522878,0.5197649664175167,7.02110051926386
0.8,0.8,0.5,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.0417300066102541,0.1584733688186165,0.0418314227215067,0.1584762453583279
0.9,0.9,0.5,9.94026892403547e-06,1.4109559005377446,1.4142135623730956,0.0821578528577296,0.3380351897784237,0.0821105137346819,0.3378851867166759
0.01,0.09,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.05,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.04,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.03,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.02,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.01,0.5039665573157759,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0081010828487212,0.0333035991395708,0.0087498532837412,0.0334746671180383
0.02,0.09,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.08,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.07,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.06,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.05,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.04,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.03,0.5,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.00838297478045,0.03367313158366,0.0091415985596304,0.0339187956967285
0.02,0.02,0.5079979103042093,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0082454765897684,0.0307974928332456,0.0088631629506302,0.0310146184322112
0.03,0.09,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.08,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.07,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.06,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.05,,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,,,,
0.03,0.04,0.1730428884236061,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0249269945321282,0.0947213350179405,0.0251817487303178,0.094562445650151
0.03,0.03,0.5120956985123076,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0085802291222105,0.0332496605001988,0.0092529223015536,0.033432767006671
