m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0074039402208298,0.0284030614124876,0.008160223475646,0.0287287169451021
0.1,0.8,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0068637844733947,0.02741699753809,0.007524698851722,0.0277224352874955
0.1,0.7,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0072790433276839,0.0273261613364207,0.0080005326081333,0.0273930199882499
0.1,0.6,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0071748034839193,0.0263507106689374,0.0079246479049949,0.0265202428714954
0.1,0.5,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0069317372677467,0.0253267138049994,0.0078569796456438,0.0255246312478038
0.1,0.4,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0070612239994173,0.026804638005085,0.0079549771918034,0.0272925361291763
0.1,0.3,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0069577364984421,0.0247938368751606,0.0076740841855532,0.0249897127865852
0.1,0.2,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0065476824447603,0.0242976323698858,0.0074658258091367,0.0246163841321102
0.1,0.1,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0062592999698338,0.0237046499143682,0.0074410889239962,0.023962696491508
0.2,0.9,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0085827411562811,0.0299360041113485,0.009379426963721,0.0301288972682324
0.2,0.8,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.008360095914765,0.0311913180805525,0.0093612398035584,0.031485527813336
0.2,0.7,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0078252653790042,0.0304605338055745,0.0085758830152275,0.0308383352342788
0.2,0.6,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0077332330318171,0.0296147025415782,0.0086755687113576,0.0298692935280516
0.2,0.5,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0080167248654666,0.0298170879608267,0.0087146926464405,0.0298727621009573
0.2,0.4,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0072736963200511,0.0281789355215506,0.0080424241724555,0.0285771853358371
0.2,0.3,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0073011761231838,0.0292635961539248,0.0082213870320676,0.0294277308329983
0.2,0.2,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0072503944066242,0.026921640424282,0.0080392358064647,0.0270527764172249
0.3,0.9,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0094807380734554,0.0343673077452062,0.0100644089833957,0.0345315800528719
0.3,0.8,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0094452257449754,0.0357692119562525,0.0100562678462459,0.0361136452300587
0.3,0.7,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0095592086087387,0.032675994280493,0.0100961903572321,0.0328817322517816
0.3,0.6,0.75,9.940268924035471e-07,1.4109559005377446,1.4142135623730956,0.0086855302469916,0.0328245272374726,0.0092628773550171,0.0329185004149429
