m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.2,0.0842238068580627,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.058737534357135,0.2314927075546582,0.0586216680934721,0.2315689144727208
0.1,0.1,1.0678788221574913,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.0047568740143097,0.0169409289697525,0.0058170831904751,0.0173770045306803
0.2,0.9,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.4,0.1969503164291381,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0281785662223612,0.1101863566089799,0.0284724241971553,0.1101964507802368
0.2,0.3,0.6558318735740907,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0084649942672318,0.0297268090593849,0.0091444252193501,0.0296450927412288
0.2,0.2,1.146720403372712,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0049440034939802,0.0179489205349714,0.0059032046207159,0.0184038733459621
0.3,0.9,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.6,0.0542061912175148,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.1133521220597047,0.8606911917604241,0.1132781858953639,0.8605946966925552
0.3,0.5,0.5828996559875119,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0113813041405078,0.0432064586100217,0.0117836237959329,0.0432376731696268
0.3,0.4,0.9476175694143072,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0068454202573276,0.0238145509976112,0.0078187047544816,0.0239543954247757
0.3,0.3,1.239732240375534,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0055264028597479,0.0183531052556702,0.006571223767687,0.0187287732273331
0.4,0.9,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.8,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.7,0.5565492766542918,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0139013107490671,0.0542911419134184,0.0142007620599839,0.0543077474477639
0.4,0.6,0.939892178874537,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0084696792343005,0.0315497242507893,0.0091923049212254,0.0319548823074638
0.4,0.5,1.169559458837251,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0071505341364521,0.0239524616258072,0.007964772249016,0.0240351005107067
0.4,0.4,1.3516519409771797,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.006297669892452,0.0199463124532872,0.0069110891782539,0.0200857410039235
0.5,0.9,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.8,0.5258403076416316,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0178723104419425,0.0654319146319398,0.0182254753078713,0.0654363451122675
0.5,0.7,1.1419580257817248,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0088217719285385,0.0289028420727516,0.0096090799930175,0.0288845387359255
0.5,0.6,1.3619804581563222,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0075816842705407,0.0236281985648161,0.0082848836516714,0.0240203036249775
0.5,0.5,1.4898801181941692,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0066293235085462,0.0215254418845618,0.007396488074893,0.0217964575917743
0.6,0.9,,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,,,,
0.6,0.8,1.1504947316609877,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0113445253937222,0.0373411821171944,0.0118429375594288,0.0373162204943089
0.6,0.7,1.0,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0120601300894625,0.0413271406336149,0.0124950025374443,0.0414795162607705
0.6,0.6,1.6668960315996626,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0077879530391037,0.0253134549954911,0.0084582276819776,0.0255389335420471
0.7,0.9,0.0305777057820934,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,3.77441931966197,12.758467348235303,3.774506118710585,12.759485838159248
0.7,0.8,1.6989129250349178,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0112004581488826,0.0319501813315813,0.0119281500096188,0.0322221503659812
0.7,0.7,1.9062193664443707,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0095275541240347,0.028560909944006,0.0102084264320875,0.0289631775689397
0.8,0.9,1.672376735673487,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.0160864463010527,0.0503565610498149,0.0162477050736898,0.0505386666642458
0.8,0.8,2.260867812753513,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.0123370283276814,,0.012954186272958,
0.9,0.9,1.0,9.94026892403547e-06,1.4109559005377446,1.4142135623730956,0.0451371118949105,0.157071821596088,0.0453105792402338,0.1569621504905531
0.01,0.09,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.05,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.04,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.03,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.02,1.0,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0041449519269701,0.0161397388662814,0.0052084386142058,0.0161628983417195
0.01,0.01,1.006364750854836,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0043541990596693,0.0163754858262348,0.0056002251258258,0.016602118621922
0.02,0.09,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.08,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.07,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.06,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.05,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.04,1.0,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.004318181957331,0.0165668034644512,0.0056457807392022,0.0169590564936689
0.02,0.03,0.5120957045243362,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0084777729544414,0.0332934265464261,0.0092742026534019,0.03334624647157
0.02,0.02,1.0128179119893583,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0043852673204726,0.0163221190958613,0.0055279847677529,0.0166341731596049
