m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0013340440338231,-0.0037468002826194,,,,,-0.001058870207369,-0.0034593059465053,,,,
0.1,0.8,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0014647986173825,-0.0025513382633522,,,,,-0.001150687495515,-0.0026196650035365,,,,
0.1,0.7,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0013384416098692,-0.002997901919742,,,,,-0.0009645528333113,-0.0030612133753241,,,,
0.1,0.6,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0008570950556687,-0.0038746558791045,,,,,-0.00053918344278,-0.0037820354826726,,,,
0.1,0.5,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0010653557644573,-0.0031819621874278,,,,,-0.0006848604077391,-0.0031102076809564,,,,
0.1,0.4,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0010020835968926,-0.0019802763158766,,,,,-0.0007336839948253,-0.0020664178535858,,,,
0.1,0.3,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0011024988645714,-0.0042416298786966,,,,,-0.0009010391694769,-0.0042107614776436,,,,
0.1,0.2,0.0842238068580627,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0005670901695401,-0.0017594411592029,-0.0546244945153825,-0.2146369487525784,0.0467424777979034,0.1118392118587574,-0.0002241068397015,-0.001592765200337,0.0459196779441476,0.1116897556752828,0.0459196779441476,0.1116897556752828
0.1,0.1,1.0678788221574913,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,-0.0009333672946425,-0.0017052983646693,-0.0006390724312602,-0.0008696493001213,-0.0010481396837481,-0.0027672675656902,-0.0006954128424373,-0.0017912601234064,-0.0008930206466281,-0.002896767224128,-0.0008930206466281,-0.002896767224128
0.2,0.9,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.002138447919094,-0.0073055874261176,,,,,-0.0015694207602891,-0.0072130271450117,,,,
0.2,0.8,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0020454361104938,-0.004902504178797,,,,,-0.0016268244685783,-0.0050014693357095,,,,
0.2,0.7,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0018174124085679,-0.0064448275541401,,,,,-0.0015740212100869,-0.0061500338209794,,,,
0.2,0.6,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0016590593242756,-0.0058026002099337,,,,,-0.001335424244898,-0.0059324086000196,,,,
0.2,0.5,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0019048891167735,-0.0050909295926684,,,,,-0.0013551402420853,-0.0048814300789475,,,,
0.2,0.4,0.1969503164291381,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0016766098315911,-0.0063710554367759,-0.0240654635515855,-0.0941139592640633,0.0148101139403729,0.0359620486320036,-0.0009879205682254,-0.0062275647548326,0.0140508090321901,0.0357677526186347,0.0140508090321901,0.0357677526186347
0.2,0.3,0.6558318735740907,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0014846080255016,-0.0062233384053045,-0.0040678007319991,-0.0136435962674916,0.0002505463447374,-0.0014674325565371,-0.0011521503747032,-0.0060617232511331,0.000151450499788,-0.0012916019711175,0.000151450499788,-0.0012916019711175
0.2,0.2,1.146720403372712,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,-0.0016565311689497,-0.004462717529573,-0.000956106340048,-0.0018851421630034,-0.0020225649303087,-0.0052402571410334,-0.0012327859747934,-0.0044638453047717,-0.0013950077821582,-0.0052081433439529,-0.0013950077821582,-0.0052081433439529
0.3,0.9,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0035028484773865,-0.0102459399314852,,,,,-0.0027703893459485,-0.010072696697619,,,,
0.3,0.8,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0029788919937147,-0.0103763987914616,,,,,-0.0024676078914492,-0.0102711452333366,,,,
0.3,0.7,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0028307156541594,-0.0078352350298378,,,,,-0.0022085557031658,-0.0077407116106424,,,,
0.3,0.6,0.0542061912175148,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0027040345779183,-0.0090650838788093,-0.1091088958249892,-0.8441040429228364,0.0685591855987734,0.1897901900695681,-0.0020728885933635,-0.0090122548314855,0.067995296074394,0.1896443109285868,0.067995296074394,0.1896443109285868
0.3,0.5,0.5828996559875119,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.002627669602369,-0.0075949311469812,-0.0071358651128294,-0.0273233562801769,-0.0001672929142807,-0.0003990227552235,-0.0024147570689707,-0.0073540442318064,-0.0005136625044669,-0.000406181095394,-0.0005136625044669,-0.000406181095394
0.3,0.4,0.9476175694143072,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0022825663919054,-0.0083335676003493,-0.0026721963114922,-0.007307396721514,-0.002035228559496,-0.0085732527889656,-0.0019525017762463,-0.0079897299294004,-0.0016919415155712,-0.008242020750166,-0.0016919415155712,-0.008242020750166
0.3,0.3,1.239732240375534,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,-0.0025266717577908,-0.0081405738261239,-0.0013589257865461,-0.0016939302952126,-0.0032331895627277,-0.0100343875751628,-0.001664543965303,-0.007875376492518,-0.0023007408340762,-0.0095088199080988,-0.0023007408340762,-0.0095088199080988
0.4,0.9,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,-0.0047318697345676,-0.0140098086192219,,,,,-0.0038211062651363,-0.0139597094435187,,,,
0.4,0.8,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,-0.004481995301121,-0.0139357390426112,,,,,-0.0036697820055899,-0.0137450552239556,,,,
0.4,0.7,0.5565492766542918,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,-0.0045748843593583,-0.011421813021668,-0.0096570452438477,-0.038094437525165,-0.0010693847875409,-0.0051665688580373,-0.0037891463290689,-0.0111699151213146,-0.0010317195569658,-0.0049926923233295,-0.0010317195569658,-0.0049926923233295
0.4,0.6,0.939892178874537,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,-0.0040789815162135,-0.0114823370197156,-0.0043705349528817,-0.0154104608664238,-0.0038856696976037,-0.0116370671297464,-0.0031582178848984,-0.0115277658634879,-0.0030639137367272,-0.0116027983761764,-0.0030639137367272,-0.0116027983761764
0.4,0.5,1.169559458837251,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,-0.0038648676195462,-0.0121291343118479,-0.002954472182481,-0.007369072694057,-0.0044734684352764,-0.0139575247997651,-0.00317321407528,-0.0120323407984678,-0.0036987932237521,-0.0139692121470845,-0.0036987932237521,-0.0139692121470845
0.4,0.4,1.3516519409771797,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,-0.0035042582212042,-0.0097606014837463,-0.0022434581678337,-0.0032753312883213,-0.004421780846528,-0.0130993132066524,-0.0027106681506521,-0.0098326130403105,-0.0035530273211686,-0.0129046247946415,-0.0035530273211686,-0.0129046247946415
0.5,0.9,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,-0.0063679014460756,-0.0212093903905075,,,,,-0.0056819861373425,-0.0211618887279014,,,,
0.5,0.8,0.5258403076416316,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,-0.0059521999990799,-0.0223111064643005,-0.0136783290910583,-0.0491886700850928,-0.0019860376026311,-0.0146583005384041,-0.0052723353414248,-0.0220297244396801,-0.001926422194141,-0.0144803874365036,-0.001926422194141,-0.0144803874365036
0.5,0.7,1.1419580257817248,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,-0.005923987882935,-0.019888146385361,-0.0046646420113981,-0.0134492454651303,-0.0064626514427894,-0.0204315118207191,-0.005195778641237,-0.0200472420280291,-0.00546572848099,-0.0203298585298217,-0.00546572848099,-0.0203298585298217
0.5,0.6,1.3619804581563222,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,-0.0052589867073553,-0.0176528225755727,-0.003370923113247,-0.007222433808302,-0.0064302627995051,-0.0205476628329722,-0.0042961821832112,-0.0171081473814868,-0.005184364125568,-0.0203947436969968,-0.005184364125568,-0.0203947436969968
0.5,0.5,1.4898801181941692,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,-0.0053700650730507,-0.0177527880381825,-0.0025975152739012,-0.0055971400087454,-0.0066515294523894,-0.0203908730858278,-0.0045797566546353,-0.0173469622140421,-0.005555411325913,-0.0201362076425992,-0.005555411325913,-0.0201362076425992
0.6,0.9,,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,-0.0082888520381742,-0.0293411030814943,,,,,-0.0072845295095126,-0.0293380279845049,,,,
0.6,0.8,1.1504947316609877,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,-0.0084938004450537,-0.0275167861242659,-0.0072955565112632,-0.021606058882911,-0.0089613163127119,-0.0283200677310829,-0.0072624121609546,-0.0274651619884963,-0.0078113697175102,-0.0280311464085245,-0.0078113697175102,-0.0280311464085245
0.6,0.7,1.0,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,-0.0077846483717626,-0.0267816111193804,-0.0079640980945052,-0.0250896186337437,-0.0076795999210782,-0.0271103578432014,-0.0067643038267623,-0.0265521438668007,-0.0067848284110517,-0.0267044762622987,-0.0067848284110517,-0.0267044762622987
0.6,0.6,1.6668960315996626,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,-0.0068816081686971,-0.0254294065022634,-0.0036421538444757,-0.0087042024180245,-0.0085364295221521,-0.0292893622625673,-0.0060674952450689,-0.025210345763479,-0.0070164635829509,-0.0289571907849274,-0.0070164635829509,-0.0289571907849274
0.7,0.9,0.0305777057820934,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,-0.012957022593063,-0.045389245879749,-3.7703920480171713,-12.741797244801624,0.1227229412176277,0.3895360697485708,-0.0116887464884272,-0.0451921124102627,0.1227200902623383,0.3894973099759034,0.1227200902623383,0.3894973099759034
0.7,0.8,1.6989129250349178,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,-0.0117035431192688,-0.0413488063936461,-0.0069054106297121,-0.0154886147614319,-0.0135426513304247,-0.0451495060066471,-0.0106672351303778,-0.041058714831411,-0.011818972348955,-0.0447799166625986,-0.011818972348955,-0.0447799166625986
