m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,,,,
0.1,0.3,0.3117058697243695,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.013671743791769,,0.014217027234997,
0.1,0.2,1.1467204006373657,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.0035606317282241,,0.0051208117622445,
0.1,0.1,2.0917345707455715,1.10447432489283e-06,1.4109559005377446,1.4142135623730956,0.0019966754236365,,0.0043366035172728,
0.2,0.9,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,,,,
0.2,0.6,0.0938055749762697,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0455307075606806,,0.0456976117424778,
0.2,0.5,0.8317965641677488,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0050178255668119,,0.0061639023969762,
0.2,0.4,1.3516519423924434,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0033455864490665,,0.0050251352931657,
0.2,0.3,1.7873901856317849,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0022777572048684,,0.0044778011899376,
0.2,0.2,2.195703432115422,1.2425336155044336e-06,1.4109559005377446,1.4142135623730956,0.0018325754902146,,0.0041642199935052,
0.3,0.9,,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,,,,
0.3,0.8,0.6555876770041492,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0064343354242647,,0.0074130521374077,
0.3,0.7,1.3417092459390991,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.003169940398455,,0.0049384811288943,
0.3,0.6,1.6538596199166304,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0026695565667027,,0.0045281141045165,
0.3,0.5,1.8847752157086264,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0022012385477222,,0.0042583468910979,
0.3,0.4,2.098935712798196,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0019355856566012,,0.0042427113892658,
0.3,0.3,2.3152271401989224,1.420038417719353e-06,1.4109559005377446,1.4142135623730956,0.0018140240049575,,0.0041750608546698,
0.4,0.9,,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,,,,
0.4,0.8,1.5736412697537372,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0027256527646323,,0.0046518040895201,
0.4,0.7,2.025359189137069,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0020126033958709,,0.0042400126815128,
0.4,0.6,2.214356503318317,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0019433077668875,,0.0041679167154339,
0.4,0.5,2.337355079671674,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0017551412104935,,0.0041755921334709,
0.4,0.4,2.455171130268763,1.656711487339245e-06,1.4109559005377446,1.4142135623730956,0.0017379872288514,,0.004144411451345,
0.5,0.9,,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,,,,
0.5,0.8,2.0882727424955005,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0019249286057898,,0.004227973100558,
0.5,0.7,2.433763081857055,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0017013024470485,,0.0042197421072738,
0.5,0.6,2.5512438364419507,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0016404837013958,,0.0040703527742622,
0.5,0.5,2.623081256179673,1.9880537848070942e-06,1.4109559005377446,1.4142135623730956,0.0016025331980675,,0.0041713011397023,
0.6,0.9,1.279512022868854,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.003168930843657,,0.0048322465021818,
0.6,0.8,2.5341435514937785,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.001661373012242,,0.0040588833680858,
0.6,0.7,2.771511280216936,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0015347513957969,,0.0041426774767881,
0.6,0.6,2.831602647473932,2.485067231008867e-06,1.4109559005377446,1.4142135623730956,0.0014544074454963,,0.0040665280398878,
0.7,0.9,2.260867813191561,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0017949110418443,,0.0041229036897447,
0.7,0.8,2.9966523786733648,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.001307099913372,,0.0040619090150561,
0.7,0.7,3.104445573945072,3.3134229746784887e-06,1.4109559005377446,1.4142135623730956,0.0013235909200678,,0.0040611655464018,
0.8,0.9,3.1868178261226445,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.001283543954691,,0.004042097312713,
0.8,0.8,3.494848010906983,4.970134462017735e-06,1.4109559005377446,1.4142135623730956,0.0012361775639509,,0.0039897423843078,
0.9,0.9,4.172702168273062,9.94026892403547e-06,1.4109559005377446,1.4142135623730956,0.0009835520155849,,0.0039448548420724,
0.01,0.09,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.08,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.07,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.06,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.05,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.04,,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,,,,
0.01,0.03,2.0,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0021938147308227,,0.0044838295324527,
0.01,0.02,1.012817910484383,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0041157257598399,,0.0054395087752319,
0.01,0.01,2.00869605896152,1.0040675680843909e-06,1.4109559005377446,1.4142135623730956,0.0021339584315917,,0.0042386347925961,
0.02,0.09,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.08,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.07,,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,,,,
0.02,0.06,2.0,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0020294841854016,,0.0042709561809419,
0.02,0.05,0.5204973909530104,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0074952683280053,,0.0083603974694295,
0.02,0.04,1.0259974685366282,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0040342390698206,,0.005643858482365,
0.02,0.03,1.5237427937005603,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0027884239757506,,0.0045750781369342,
0.02,0.02,2.0174923284661896,1.0143131555138237e-06,1.4109559005377446,1.4142135623730956,0.0021215418560025,,0.004319117669905,
0.03,0.09,2.0,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0021190770817854,,0.0043132342133695,
0.03,0.08,0.3576838871361288,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0114897223000867,,0.0119044134223271,
0.03,0.07,0.7026364437979777,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0057672585373539,,0.0070557180756789,
0.03,0.06,1.0395553856952602,1.024769992168605e-06,1.4109559005377446,1.4142135623730956,0.0040207353050692,,0.0055396772559225,
