m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,8.946242031631923e-07,8.68108832519859,-0.1729382818271325,-0.174200520963748,-0.3888077062614501,-0.3777479593645465,-0.0968333378494165,-0.0721583286674832,-0.1550449917016747,-0.1353657275344335
0.1,0.8,8.946242031631923e-07,7.823214990557688,-0.1719678971331517,-0.1483694646470854,-0.3765921654827382,-0.3555015873473579,-0.0886302806460189,-0.0751856857744833,-0.1383765808693593,-0.1275280983895761
0.1,0.7,8.946242031631923e-07,7.07045861030067,-0.1186806313373535,-0.1504121094870761,-0.3268464359287041,-0.3457960745051719,-0.0557591031572525,-0.0722415571243861,-0.1180330636560992,-0.1311531959290414
0.1,0.6,8.946242031631923e-07,6.268530136416277,-0.1288536978880148,-0.1068861927414231,-0.3315424681845437,-0.3000523141475981,-0.0441904651387089,-0.0523872676722247,-0.1266778076765488,-0.1251907351268806
0.1,0.5,8.946242031631923e-07,5.433780830483028,-0.1160386527723391,-0.1238818011390301,-0.2765444742577955,-0.2874269227109108,-0.0073338964171328,-0.0395063413264347,-0.0762611881449686,-0.0881864922029713
0.1,0.4,8.946242031631923e-07,4.575557117651626,-0.1204578476431403,-0.1352902255924479,-0.2599344736209641,-0.2856267726529182,-0.0637231066522983,-0.0611353310662612,-0.102358403628011,-0.1040598326775377
0.1,0.3,8.946242031631923e-07,3.699706179357965,-0.0897872129883535,-0.1019522227553149,-0.2162635717430195,-0.2350651610724327,-0.0495929983128589,-0.0278626784860464,-0.0890009611743436,-0.0976965261090431
0.1,0.2,8.946242031631923e-07,2.810130496971241,-0.0864309517748343,-0.0881574893543252,-0.1581998967838897,-0.1636473446696272,-0.0094284878377322,-0.0251010480488996,-0.0416227664784957,-0.0686635293529742
0.1,0.1,8.946242031631923e-07,1.9095647993081504,-0.0824967842575404,-0.0705265186358147,-0.0534079607402211,-0.0473311006459167,-0.0174890545203082,-0.015092084139983,-0.0070605794126759,-0.0131906494337729
0.2,0.9,7.952215139228375e-07,5.230080940978918,-0.2262423080691341,-0.2464196245334602,-0.391748656338565,-0.4019534924274628,-0.1354180951390686,-0.1399528171429176,-0.1823019453249434,-0.1828215301798261
0.2,0.8,7.952215139228375e-07,3.970459955123288,-0.2507601831313842,-0.2271557375381788,-0.3936513986191818,-0.3431969292858157,-0.1311234315984534,-0.1172060263822587,-0.1957674552110164,-0.1633890115214966
