m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0122140155225139,0.0482134159745261,0.012205464983002,0.0482270240134538
0.1,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0120832316907784,0.0462457818443739,0.0120855308648996,0.0462634984374832
0.1,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0113760935877581,0.0483886723658676,0.0114181646113256,0.0483745728074555
0.1,0.6,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0118503917389773,0.0454235132333043,0.0118427195140667,0.0454295448740939
0.1,0.5,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0117782159869421,0.0450809931753377,0.011795144061598,0.0450562509219514
0.1,0.4,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.011801166407468,0.0459469682588751,0.0118122746569619,0.0459101847412129
0.1,0.3,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.011269184059176,0.0435807829065015,0.0112926736558986,0.0435854680086777
0.1,0.2,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0107851332034341,0.0430609743798826,0.0107712017109572,0.043029149757065
0.1,0.1,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0106895312920755,0.0425723663835142,0.0106769827977407,0.0425582414304386
0.2,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0139343044659167,0.0544400531957713,0.013937803995658,0.0544261319623278
0.2,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.01360008250504,0.0529689640138973,0.0135903189081433,0.0530024629351175
0.2,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0142207174356314,0.0525185669563656,0.0142495008810001,0.052532080173954
0.2,0.6,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0136180907717211,0.0506032025442233,0.0136218124381728,0.0506236312467428
0.2,0.5,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0133327095936977,0.0500692106092032,0.0133580789928963,0.0500599644098625
0.2,0.4,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0120988309697159,0.0506914091732947,0.012114841836907,0.0507082937288462
0.2,0.3,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0126764720011216,0.0460243275454129,0.012680622219991,0.04600690596756
0.2,0.2,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.012168331091169,0.0499465062479566,0.0121812298212311,0.0499382484805196
0.3,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0161454866500455,0.0638098090055147,0.016172867477395,0.0638255191127391
0.3,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0162296268427184,0.0580021704693371,0.0162735397426652,0.0580104775293462
0.3,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0156157543714307,0.0617034077548246,0.0156179441746197,0.0616739720098063
0.3,0.6,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0152214522715219,0.0570682023152001,0.0152098136171797,0.0570825766982125
0.3,0.5,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0155300439201448,0.0560504600235348,0.0154910373932841,0.0560325671231352
0.3,0.4,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0146605747019763,0.0579233653135285,0.0146595056789825,0.0579152487507292
0.3,0.3,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0141375314217265,0.0549188751382014,0.0141255773815744,0.0549388704369059
0.4,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0180042284393874,0.0736215358251266,0.0179930059186357,0.0736450745828672
0.4,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0180332517796742,0.0679289215072966,0.0180231910715501,0.067908743115824
0.4,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0180560133027525,0.0691528451072185,0.0180586759616849,0.0691384150226256
0.4,0.6,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0174079192524607,0.0690091201881221,0.0174217056232756,0.0689615738755816
0.4,0.5,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0169357502986719,0.0642886691138709,0.0169554071072988,0.0642943587575679
0.4,0.4,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0169761304908384,0.0658820899486717,0.0169811586353312,0.0658421397529161
0.5,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0219369298376929,0.0865737317181629,0.0219359981301708,0.0865530789781748
0.5,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0226254509393031,0.0848969300708577,0.0226462229098832,0.0848924324132507
0.5,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0221864182824148,0.0798785986929957,0.0221991144059801,0.0798975844994959
0.5,0.6,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0209259812301758,0.0794314140274939,0.0209530121106577,0.079389888817743
0.5,0.5,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0197934468447942,0.0780487695254701,0.0197697793067158,0.0780434842243534
0.6,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0284293607293677,0.1062269085227521,0.0284180247102271,0.106225384733796
0.6,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0260328366961192,0.1036784263221999,0.0260220900946644,0.1036699331467659
0.6,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0264710630531983,0.1021202470357335,0.0264796379550809,0.1021097501622058
0.6,0.6,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0240443120464581,0.0933274957757175,0.024057432060593,0.093305310521087
0.7,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0356315991921164,0.1452826644329757,0.0356488661105562,0.1452946318708993
0.7,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0356979197260565,0.1401448343489717,0.0356873709945188,0.1401219869364665
0.7,0.7,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0349097013177015,0.1205952976999308,0.0348894883977515,0.1205887382839155
0.8,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0556303351300436,0.212906004591682,0.0556333003504654,0.2129017315769525
0.8,0.8,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0487768196612979,0.2029890849053482,0.0487799911295684,0.2029801316570576
0.9,0.9,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0986613432668323,0.4224918301854539,0.0986584954921865,0.4224814450479585
0.01,0.09,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0099187637688289,0.0400373617792003,0.0099164832538315,0.0400398736248155
0.01,0.08,0.5,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0095947766086822,0.0408580910784999,0.0095909624508359,0.0408542373467705
