m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,8.946242031631923e-07,8.069960856551647,-0.0862589930658841,-0.0687776272701098,-0.295168661994228,-0.2850962801169424,-0.0866115916923546,-0.0677236349095908,-0.291101500503498,-0.2805359939710135
0.1,0.8,8.946242031631923e-07,7.121991283339271,-0.0522283996864864,-0.0727631890819898,-0.2737945605227357,-0.2936237560007574,-0.0524156855543404,-0.0722566999647396,-0.2700197212913489,-0.2890247995954684
0.1,0.7,8.946242031631923e-07,6.177825113937635,-0.0728209571777442,-0.0515184864457728,-0.2838009936902114,-0.2765835951626952,-0.0725755562539622,-0.0509700419209132,-0.2797466042781789,-0.2728719767119341
0.1,0.6,8.946242031631923e-07,5.230705692735597,-0.0578703671899058,-0.0514197947905851,-0.2766613909950464,-0.2693741339752986,-0.057828615953951,-0.050186297018079,-0.2730353307975586,-0.2651666635841135
0.1,0.5,8.946242031631923e-07,4.280929803620162,-0.0459692549639831,-0.0496932838521202,-0.2708317922112242,-0.2536248667737245,-0.0457829245115352,-0.049888080250818,-0.2678233383345151,-0.2516319172146918
0.1,0.4,8.946242031631923e-07,3.328751625269407,-0.0609021233111539,-0.0447080486717119,-0.250047396688241,-0.2446051985852565,-0.0604466681711934,-0.0434214660678473,-0.2478042140623066,-0.2420345584479848
0.1,0.3,8.946242031631923e-07,2.374390515085868,-0.0392138896949659,-0.0417671553044859,-0.2225316048392867,-0.2267872273634102,-0.0389561545371847,-0.0415210453933033,-0.2219299936562438,-0.2261424424420929
0.1,0.2,8.946242031631923e-07,1.4180370928606565,-0.0342446230545584,-0.0184256898103323,-0.1879915213508408,-0.1825226319910683,-0.0342461005758686,-0.0184936194793519,-0.1864175732035243,-0.1818915768571513
0.1,0.1,8.946242031631923e-07,0.459858051249595,-0.0270315797420946,-0.0364068050242822,-0.0193056613823255,-0.0286544893674763,-0.0262272009473714,-0.0363114579080916,-0.0185373575876987,-0.029726179838607
0.2,0.9,7.952215139228375e-07,4.284565468042477,-0.1007156929551106,-0.1167477377451773,-0.3193013916937434,-0.3169919623714093,-0.1013463804057402,-0.1164127611399582,-0.3174024868024462,-0.3144212805980801
0.2,0.8,7.952215139228375e-07,3.1311913858301987,-0.0930401072516806,-0.0912101007205898,-0.2930013173989653,-0.291554189629034,-0.0937554694088561,-0.0909434367107237,-0.2918939288747281,-0.2895764239094581
0.2,0.7,7.952215139228375e-07,2.677825113937636,-0.0918452864483271,-0.1053257953859661,-0.292776046286922,-0.2954423900989281,-0.0915254543020385,-0.1052099838928321,-0.2907932353979839,-0.2946622397794878
0.2,0.6,7.952215139228375e-07,2.230705692735597,-0.0803151566262243,-0.0805179921933546,-0.2575870794392321,-0.2749105363813525,-0.0799539485144244,-0.080494396501691,-0.255600079015165,-0.2737216797100453
0.2,0.5,7.952215139228375e-07,1.7809298036201613,-0.0786160377286996,-0.0923126639579222,-0.2541181152561981,-0.257419448368335,-0.0788194593374858,-0.0919608925297834,-0.2529892803199896,-0.2557386584167105
0.2,0.4,7.952215139228375e-07,1.3287516252694076,-0.0750736114243603,-0.0639777884452716,-0.2323863109749721,-0.2162576585920896,-0.0741276026433488,-0.0637724132734474,-0.2309548372445833,-0.2149611420331431
0.2,0.3,7.952215139228375e-07,0.8743905150858681,-0.0688698717724456,-0.0668678882229115,-0.1561164909132114,-0.1692430388305169,-0.0686771869700778,-0.0659065587253243,-0.1558452863400283,-0.1687181307957168
0.2,0.2,7.952215139228375e-07,0.4180370928606561,-0.0707464139412127,-0.0590920922704172,-0.0162234422114539,-0.017649161283285,-0.0704167435375126,-0.0584954619913882,-0.0155928935745373,-0.0170861642485171
0.3,0.9,6.958188246824828e-07,3.2806469044451063,-0.1522276251270417,-0.1677069541713124,-0.3591089995125189,-0.3588983339807081,-0.1520803303908451,-0.1678950888956789,-0.3571932773287748,-0.3569135936611888
0.3,0.8,6.958188246824828e-07,1.929887714963421,-0.1379553338618598,-0.1552483070608792,-0.3154017139667331,-0.328843822355055,-0.1374800048697693,-0.1544401598145432,-0.3144184036322552,-0.3269053159927346
0.3,0.7,6.958188246824828e-07,1.5192287736285803,-0.1439966261621867,-0.1469390485446692,-0.3005065883985107,-0.3131482823817125,-0.1442859523705148,-0.1467185421798246,-0.3000279951492039,-0.3119550468644368
