m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0020030934660839,-0.0076044159992839,,,,,-0.0019864973383656,-0.0075608772345458,,,,
0.1,0.8,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0021303375892484,-0.0068596703373127,,,,,-0.002120920059952,-0.0068434786061073,,,,
0.1,0.7,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0018651915785236,-0.0064449528534406,,,,,-0.0018606178248685,-0.0064013592396319,,,,
0.1,0.6,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0016357374665224,-0.0043801537703744,,,,,-0.0015941740664094,-0.0043741454274102,,,,
0.1,0.5,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0007470941327306,-0.0046685134872608,,,,,-0.0007488262859755,-0.0046582039851745,,,,
0.1,0.4,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0011744932225884,-0.0033791337026907,,,,,-0.001167930015764,-0.0034009529029675,,,,
0.1,0.3,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0012816158300026,-0.0024750598904643,,,,,-0.0012828076193993,-0.0024795852865849,,,,
0.1,0.2,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.001306857799727,-0.004372582809852,,,,,-0.0013099085919266,-0.0043702957117741,,,,
0.1,0.1,0.806971777059995,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0010338029083988,-0.0034227097491452,-0.0007012334932766,-0.0011648535272901,-0.0017470763217851,-0.0051912732624124,-0.0010064847264976,-0.0034612307775956,-0.0017503544493999,-0.0052034858025815,-0.0017503544493999,-0.0052034858025815
0.2,0.9,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0038103263703891,-0.0114946879308155,,,,,-0.0038018210697191,-0.011487018456547,,,,
0.2,0.8,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0027205313740191,-0.008751692853199,,,,,-0.0027148112106056,-0.0087961836435906,,,,
0.2,0.7,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0026507562855207,-0.0104960569312006,,,,,-0.0026152661666618,-0.0104925386683103,,,,
0.2,0.6,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0019599914040601,-0.0086850322206143,,,,,-0.0019630327141145,-0.008727651054103,,,,
0.2,0.5,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0024427737929436,-0.0083684593074408,,,,,-0.0024320169278238,-0.0083668269614077,,,,
0.2,0.4,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0016624501180059,-0.0101317165504945,,,,,-0.0016674314306097,-0.0101597463909748,,,,
0.2,0.3,0.3405713879183368,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0020376624478196,-0.0059536998868301,-0.0119263165798268,-0.043826675870026,0.0053448196371844,0.0089218916057789,-0.0019974544129464,-0.005949308907937,0.0053617998692499,0.0089529607754072,0.0053617998692499,0.0089529607754072
0.2,0.2,0.8739050165931117,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.002101019843052,-0.0059971635762784,-0.000613034811265,-0.0011673886930959,-0.0029000033647647,-0.0085298570662949,-0.0020847976097233,-0.0060621053282929,-0.0029163095418424,-0.0085828672463387,-0.0029163095418424,-0.0085828672463387
0.3,0.9,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.003938402384214,-0.0162600879968411,,,,,-0.0039240449287002,-0.0162488511973766,,,,
0.3,0.8,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0044614790568878,-0.0173720549157004,,,,,-0.0044953747112295,-0.0173501598083238,,,,
0.3,0.7,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.004265585119114,-0.0131036042643863,,,,,-0.0042362765737332,-0.0130839835688065,,,,
0.3,0.6,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0039092459196355,-0.0135787764882681,,,,,-0.0039237827155299,-0.0135497894894278,,,,
