m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.3,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.2,0.0842238068580627,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,0.0664607230477276,0.266214770090997,0.0664845953333209,0.266178371411419
0.1,0.1,1.0678788221574913,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,0.0053013018756799,0.0202335414042746,0.0053034829799094,0.0202164381692106
0.2,0.9,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.6,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.5,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.4,0.1969503164291381,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0321159574993587,0.1269623938877476,0.0321108014494225,0.1269915699139178
0.2,0.3,0.6558318735740907,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0098391959613208,0.0369198777810776,0.0098428797494068,0.0369476027867925
0.2,0.2,1.146720403372712,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0056999248613415,0.0215704696745557,0.0057115244481327,0.0215902547283385
0.3,0.9,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,,,,
0.3,0.8,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,,,,
0.3,0.7,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,,,,
