m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.8,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.7,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.6,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.5,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.4,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,,,,
0.1,0.3,0.3117058697243695,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,0.01549548782288,,0.0155094376051571,
0.1,0.2,1.1467204006373657,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,0.0044364739461029,,0.0044441899247209,
0.1,0.1,2.0917345707455715,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,0.0024602346184927,,0.0024839398663341,
0.2,0.9,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.8,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.7,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,,,,
0.2,0.6,0.0938055749762697,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0525531646919597,,0.052547183874734,
0.2,0.5,0.8317965641677488,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0056754280536204,,0.0056998972054242,
0.2,0.4,1.3516519423924434,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0035959642095956,,0.0036053772093403,
0.2,0.3,1.7873901856317849,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0028428887806299,,0.0028794222377869,
0.2,0.2,2.195703432115422,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,0.0021977176239935,,0.0022800816561223,
0.3,0.9,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,,,,
0.3,0.8,0.6555876770041492,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,0.0073877067725473,,0.007397882876463,
