m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.1,0.9,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0011687341492081,,,,,,-0.0011267486150772,,,,,
0.1,0.8,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0012229871619556,,,,,,-0.001199811432594,,,,,
0.1,0.7,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0011509544304246,,,,,,-0.0010793486414025,,,,,
0.1,0.6,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0011339059380862,,,,,,-0.0010768267812575,,,,,
0.1,0.5,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.001003481869126,,,,,,-0.0009630014616439,,,,,
0.1,0.4,,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0007284617391832,,,,,,-0.0006283363679861,,,,,
0.1,0.3,0.3117058697243695,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0007558948732524,,-0.0162559826186954,,0.0122612659413589,,-0.0007600760791942,,0.0122229797699949,,0.0122229797699949,
0.1,0.2,1.1467204006373657,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0007645561223229,,-0.0026941361948636,,0.0012496575852819,,-0.0007398858804633,,0.0012435414951588,,0.0012435414951588,
0.1,0.1,2.0917345707455715,1.10447432489283e-06,1.4136814440607743,1.4142135623730956,-0.0005810468590082,,-0.0004339251429821,,-0.0006138363938505,,-0.0005196683433156,,-0.0005744921700097,,-0.0005744921700097,
0.2,0.9,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0017795079959525,,,,,,-0.0017722825856643,,,,,
0.2,0.8,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0018904390047869,,,,,,-0.0018318654644497,,,,,
0.2,0.7,,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.001685736241773,,,,,,-0.0016539238771207,,,,,
0.2,0.6,0.0938055749762697,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0014040856365651,,-0.0697913408060807,,0.0486867324782777,,-0.0013650352617395,,0.0486627968074733,,0.0486627968074733,
0.2,0.5,0.8317965641677488,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0015036868339966,,-0.0055992638015487,,0.0017927947418679,,-0.0014981694596005,,0.001785409820984,,0.001785409820984,
0.2,0.4,1.3516519423924434,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0014243590869843,,-0.0028446113309674,,-0.0003463550250891,,-0.0013836086714217,,-0.0003540980178494,,-0.0003540980178494,
0.2,0.3,1.7873901856317849,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0011397545880115,,-0.0017130981499607,,-0.0007843271099935,,-0.0010838697233375,,-0.0007374527896001,,-0.0007374527896001,
0.2,0.2,2.195703432115422,1.2425336155044336e-06,1.4136814440607743,1.4142135623730956,-0.0012376177828154,,-0.0011462679827747,,-0.0014482523286586,,-0.0012449359116099,,-0.0013968462238617,,-0.0013968462238617,
0.3,0.9,,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0026988019363331,,,,,,-0.0026370796174104,,,,,
