m,M,delta prima,epsilon prima,average weight,average_laplacian weight,average_gaussian weight,average volume,average_laplacian volume,average_gaussian volume,L2_laplacian_prima,L2_gaussian_prima
0.1,0.9,8.946242031631922e-07,8.195987029498756,139.88104711199523,139.751225015198,140.04905194859845,119.54886147346866,119.7501621089766,119.72420394485472,0.3525733467723506,0.2801241826315783
0.1,0.8,8.946242031631922e-07,7.2953945291203475,139.88104711199523,139.7731265309029,139.57592702439618,119.54886147346866,119.55066150655894,119.51579254147948,0.5033653272405929,0.6436573246102116
0.1,0.7,8.946242031631922e-07,6.415735221843628,139.88104711199523,139.92361906171493,139.47438024395603,119.54886147346866,119.6493941854688,119.34505743005964,0.3588293256081344,0.8397772906335355
0.1,0.6,8.946242031631922e-07,5.523137163611585,139.88104711199523,139.91689243676012,139.55349729475697,119.54886147346866,119.56894628756449,119.78414993831824,0.4389922209699404,0.4959394266615258
0.1,0.5,8.946242031631922e-07,4.620114506958277,139.88104711199523,139.9751278227827,139.8496480688161,119.54886147346866,119.54140484023006,119.7073943448342,0.4592691430566042,0.3289738175687072
0.1,0.4,8.946242031631922e-07,3.7085130668623143,139.88104711199523,140.02728586855713,140.1751966254617,119.54886147346866,119.565292694661,119.30230368394868,0.4355628082584812,0.719356661889462
0.1,0.3,8.946242031631922e-07,2.789728043577631,139.88104711199523,139.7942773400137,140.70835974002716,119.54886147346866,119.52232320004124,118.99075059993402,0.5200932013117345,1.2330279286475614
0.1,0.2,8.946242031631922e-07,1.8648397251631903,139.88104711199523,140.07439398060905,140.34970107380008,119.54886147346866,119.7944679474504,121.00120546813186,0.2185815385070669,1.060520264037448
0.1,0.1,8.946242031631922e-07,0.9347016640011662,139.88104711199523,139.37400073701696,142.36692920992604,119.54886147346866,118.5241140479264,119.80998513731603,1.603157640652828,2.374544068414381
0.2,0.9,7.952215139228376e-07,4.536418382828267,139.88104711199523,139.8917921601288,139.9668065782581,119.54886147346866,119.49917146266677,119.169721280795,0.5123847776983153,0.8309419683778331
0.2,0.8,7.952215139228376e-07,3.335993124944123,139.88104711199523,139.86130405624348,140.23777887682743,119.54886147346866,119.490604276045,120.3806360524143,0.5279399287780234,0.4488012908435762
0.2,0.7,7.952215139228376e-07,2.915735221843628,139.88104711199523,140.3512725139069,140.28572306182502,119.54886147346866,119.2342915918084,120.15038656482444,0.8424379771839782,0.3228835501204162
0.2,0.6,7.952215139228376e-07,2.523137163611585,139.88104711199523,139.56113281357108,140.52104441812,119.54886147346866,119.45342736752212,120.22104320513446,0.7009608048228153,0.5659923888093593
0.2,0.5,7.952215139228376e-07,2.1201145069582776,139.88104711199523,140.05154438138624,139.5238792579319,119.54886147346866,119.48243838729633,119.1853147727062,0.5201219531964899,0.9436116683245404
0.2,0.4,7.952215139228376e-07,1.7085130668623152,139.88104711199523,140.0435531952583,139.5613473739696,119.54886147346866,119.58551280762931,120.76841739360206,0.4167691368809965,0.8848058640818103
0.2,0.3,7.952215139228376e-07,1.289728043577631,139.88104711199523,140.07139114412848,137.0923541779039,119.54886147346866,119.53978211609385,120.52538451535624,0.465722230655833,2.954730633362207
0.2,0.2,7.952215139228376e-07,0.8648397251631903,139.88104711199523,138.59678216905732,138.84560508157506,119.54886147346866,119.79741199374516,118.65458701344912,1.4177666173788217,1.7727841752636038
0.3,0.9,6.958188246824828e-07,3.55575364861844,139.88104711199523,139.7678093720917,138.71656620584068,119.54886147346866,119.48377806112975,118.96704024328544,0.5660367283660921,1.6474854059996915
0.3,0.8,6.958188246824828e-07,2.180266386740503,139.88104711199523,140.32660649629642,141.31457268561095,119.54886147346866,119.64860104813285,119.81971222985383,0.4797426672668985,1.3268779242336763
0.3,0.7,6.958188246824828e-07,1.7804540248006575,139.88104711199523,139.71997458990995,141.08747629598395,119.54886147346866,119.59523309769057,118.08124770759612,0.4921894711402035,2.2054965549581023
0.3,0.6,6.958188246824828e-07,1.5238551221072782,139.88104711199523,139.76426928070765,138.55904630182877,119.54886147346866,118.87535304695028,119.36872328567428,1.1490864810892771,1.5731680934735484
0.3,0.5,6.958188246824828e-07,1.2867811736249442,139.88104711199523,139.65182365804455,141.4795153207544,119.54886147346866,119.39736689506016,120.82319633493684,0.6959837816119677,1.6931089126811667
0.3,0.4,6.958188246824828e-07,1.041846400195649,139.88104711199523,140.0413258068021,138.94037019167305,119.54886147346866,119.78281793840792,118.73509355890982,0.2210788777455352,1.6500920081639128
0.3,0.3,6.958188246824828e-07,0.7897280435776314,139.88104711199523,139.7408840914346,138.14694369148063,119.54886147346866,119.27684075571172,120.22367055260904,0.7681798921289565,1.8665064153781723
0.4,0.9,5.964161354421281e-07,2.970877397374573,139.88104711199523,139.86444826352752,139.56763189020086,119.54886147346866,119.17982578701586,119.61710098337704,0.831300194216783,0.5775412013892266
0.4,0.8,5.964161354421281e-07,1.6219243544110258,139.88104711199523,139.55961122070778,140.58931771209097,119.54886147346866,119.10887501093292,117.27427488757064,0.994005041771052,2.7887044939025327
0.4,0.7,5.964161354421281e-07,1.2474029062976228,139.88104711199523,139.75442198009347,140.5476633737239,119.54886147346866,119.43947379897108,119.4350981648617,0.6119625690359887,0.7867968316288975
0.4,0.6,5.964161354421281e-07,1.040004453643959,139.88104711199523,139.15292078092338,139.29947507074272,119.54886147346866,119.69336270418265,118.91852758265377,0.9008715971644584,1.2885331838923126
0.4,0.5,5.964161354421281e-07,0.8719887568651667,139.88104711199523,139.09860557862308,139.56093289865362,119.54886147346866,119.30626396569842,120.42840240317106,1.1374452022747803,0.6134399225086803
0.4,0.4,5.964161354421281e-07,0.7085130668623151,139.88104711199523,140.63670710465777,140.0219424997039,119.54886147346866,119.39740411693596,120.28970077968958,0.8766514332432033,0.2905305750622596
0.5,0.9,4.970134462017734e-07,2.41573522184363,139.88104711199523,140.37309849649233,141.2616219489032,119.54886147346866,119.53037070461026,119.95031085930488,0.5997951009912466,1.2626000762938985
0.5,0.8,4.970134462017734e-07,1.24047842129593,139.88104711199523,139.8126573021121,139.84148665353428,119.54886147346866,119.29826304390456,117.79157297020662,0.7263140106056213,2.2141084948416125
0.5,0.7,4.970134462017734e-07,0.9109181462991324,139.88104711199523,139.77061351503164,137.97477502821178,119.54886147346866,118.95103569491732,121.1858747968774,1.0737524262248364,2.346877759966116
0.5,0.6,4.970134462017734e-07,0.744131224208421,139.88104711199523,141.3411175460962,148.21467060851282,119.54886147346866,119.65916564225309,121.01609299641753,1.383750097332551,8.277273596041942
0.5,0.5,4.970134462017734e-07,0.6201145069582775,139.88104711199523,140.37351999818262,134.0371102188025,119.54886147346866,119.26818268294018,120.34637685790192,0.8216287328173087,5.972941609491895
0.6,0.9,3.976107569614188e-07,1.8573740195087889,139.88104711199523,139.74792830139546,141.52946920052776,119.54886147346866,119.638792309251,120.1942511188823,0.4404669534637088,1.541755341339878
0.6,0.8,3.976107569614188e-07,0.9168332207542772,139.88104711199523,139.99126572328566,142.54411734653962,119.54886147346866,120.5845216820106,118.1151687708567,0.5845869347926026,3.166247279559456
0.6,0.7,3.976107569614188e-07,0.6491258279171364,139.88104711199523,139.89763860924887,140.8892570347836,119.54886147346866,119.08851161951353,115.92867678063442,0.9172180341000504,4.167307383726026
0.6,0.6,3.976107569614188e-07,0.5231371636115855,139.88104711199523,138.81348960085288,138.3901249521862,119.54886147346866,118.18191963870969,115.94852400363612,2.17099588378094,4.35960496131086
0.7,0.9,2.982080677210641e-07,1.2953945291203477,139.88104711199523,140.02068741362294,140.28772822525465,119.54886147346866,119.08621102499797,118.70433924783684,0.9140231178245448,1.3272242901274187
0.7,0.8,2.982080677210641e-07,0.6073740195087887,139.88104711199523,140.501635292309,136.807349828572,119.54886147346866,120.520920969275,119.9294460189595,0.7231850542705903,3.193429658119918
0.7,0.7,2.982080677210641e-07,0.4157352218436286,139.88104711199523,141.05073363875985,143.58776338553758,119.54886147346866,119.01914931227992,117.89590062227744,1.4373966923652275,4.159240351546965
0.8,0.9,1.9880537848070934e-07,0.7293182678690191,139.88104711199523,139.8287281643983,133.23816114004282,119.54886147346866,120.40528460096492,119.14170947696526,0.4399882378537817,6.816093264470364
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,139.88104711199523,141.5702221676561,146.40055196482083,119.54886147346866,120.01688836287316,112.62423753379473,1.5703129855538978,9.765702095203109
0.9,0.9,9.94026892403547e-08,0.1585650787404291,139.88104711199523,139.22360542014778,132.91273250079394,119.54886147346866,113.05678191537469,106.64874690293364,6.986491674244801,15.115730874397926
